file path,line #,comment,satd
12306/TickerConfig.py,1,-*- coding=utf-8 -*-,not
12306/TickerConfig.py,2,关于软件使用配置说明，一定要看！！！,not
12306/TickerConfig.py,3,ps: 如果是候补车票，需要通过人证一致性核验的用户及激活的“铁路畅行”会员可以提交候补需求，请您按照操作说明在铁路12306app.上完成人证核验,not
12306/TickerConfig.py,4,关于候补了之后是否还能继续捡漏的问题在此说明： 软件为全自动候补加捡漏，如果软件候补成功则会停止抢票，发出邮件通知，但是不会影响你继续捡漏，,not
12306/TickerConfig.py,5,如果这个时候捡漏捡到的话，也是可以付款成功的，也就是说，捡漏+候补，可以最大程度提升抢票成功率,not
12306/TickerConfig.py,7,刷票模式：1=刷票 2=候补+刷票,not
12306/TickerConfig.py,10,"出发日期(list) ""2018-01-06"", ""2018-01-07""",not
12306/TickerConfig.py,15,"填入需要购买的车次(list)，""G1353""",not
12306/TickerConfig.py,16,修改车次填入规则，注：(以前设置的车次逻辑不变)，如果车次填入为空，那么就是当日乘车所有车次都纳入筛选返回,not
12306/TickerConfig.py,17,"不填车次是整个list为空才算，如果不是为空，依然会判断车次的，这种是错误的写法 [""""], 正确的写法 []",not
12306/TickerConfig.py,20,出发城市，比如深圳北，就填深圳就搜得到,not
12306/TickerConfig.py,23,到达城市 比如深圳北，就填深圳就搜得到,not
12306/TickerConfig.py,26,座位(list) 多个座位ex:,not
12306/TickerConfig.py,27,"""商务座"",",not
12306/TickerConfig.py,28,"""一等座"",",not
12306/TickerConfig.py,29,"""二等座"",",not
12306/TickerConfig.py,30,"""特等座"",",not
12306/TickerConfig.py,31,"""软卧"",",not
12306/TickerConfig.py,32,"""硬卧"",",not
12306/TickerConfig.py,33,"""硬座"",",not
12306/TickerConfig.py,34,"""无座"",",not
12306/TickerConfig.py,35,"""动卧"",",not
12306/TickerConfig.py,38,当余票小于乘车人，如果选择优先提交，则删减联系人和余票数一致在提交,not
12306/TickerConfig.py,39,bool,not
12306/TickerConfig.py,42,乘车人(list) 多个乘车人ex:,not
12306/TickerConfig.py,43,"""张三"",",not
12306/TickerConfig.py,44,"""李四""",not
12306/TickerConfig.py,47,12306登录账号,not
12306/TickerConfig.py,51,加入小黑屋时间默认为5分钟，此功能为了防止僵尸票导致一直下单不成功错过正常的票,not
12306/TickerConfig.py,54,自动打码,not
12306/TickerConfig.py,57,设置2本地自动打码，需要配置tensorflow和keras库，3为云打码，由于云打码服务器资源有限(为2h4C的cpu服务器)，请不要恶意请求，不然只能关闭服务器,not
12306/TickerConfig.py,58,ps: 请不要一直依赖云服务器资源，在此向所有提供服务器同学表示感谢,not
12306/TickerConfig.py,61,此处设置云打码服务器地址，如果有自建的服务器，可以自行更改,not
12306/TickerConfig.py,65,"HOST=""12306.yinaoxiong.cn"" #备用服务器稳定性较差",not
12306/TickerConfig.py,66,"REQ_URL=""/verify/base64/""",not
12306/TickerConfig.py,67,"HTTP_TYPE=""https""",not
12306/TickerConfig.py,69,邮箱配置，如果抢票成功，将通过邮件配置通知给您,not
12306/TickerConfig.py,70,列举163,not
12306/TickerConfig.py,71,"email: ""xxx@163.com""",not
12306/TickerConfig.py,72,"notice_email_list: ""123@qq.com""",not
12306/TickerConfig.py,73,"username: ""xxxxx""",not
12306/TickerConfig.py,74,"password: ""xxxxx",not
12306/TickerConfig.py,75,"host: ""smtp.163.com""",not
12306/TickerConfig.py,76,列举qq  ，qq设置比较复杂，需要在邮箱-->账户-->开启smtp服务，取得授权码==邮箱登录密码,not
12306/TickerConfig.py,77,"email: ""xxx@qq.com""",not
12306/TickerConfig.py,78,"notice_email_list: ""123@qq.com""",not
12306/TickerConfig.py,79,"username: ""xxxxx""",not
12306/TickerConfig.py,80,"password: ""授权码""",not
12306/TickerConfig.py,81,"host: ""smtp.qq.com""",not
12306/TickerConfig.py,91,是否开启 server酱 微信提醒， 使用前需要前往 http://sc.ftqq.com/3.version 扫码绑定获取 SECRET 并关注获得抢票结果通知的公众号,not
12306/TickerConfig.py,97,是否开启cdn查询，可以更快的检测票票 1为开启，2为关闭,not
12306/TickerConfig.py,100,下单接口分为两种，1 模拟网页自动捡漏下单（不稳定），2 模拟车次后面的购票按钮下单（稳如老狗）,not
12306/TickerConfig.py,103,"下单模式 1 为预售，整点刷新，刷新间隔0.1-0.5S, 然后会校验时间，比如12点的预售，那脚本就会在12.00整检票，刷新订单",not
12306/TickerConfig.py,104,2 是捡漏，捡漏的刷新间隔时间为0.5-3秒，时间间隔长，不容易封ip,not
12306/TickerConfig.py,107,"是否开启代理, 0代表关闭， 1表示开始",not
12306/TickerConfig.py,108,开启此功能的时候请确保代理ip是否可用，在测试放里面经过充分的测试，再开启此功能，不然可能会耽误你购票的宝贵时间,not
12306/TickerConfig.py,109,使用方法：,not
12306/TickerConfig.py,110,1、在agency/proxy_list列表下填入代理ip,not
12306/TickerConfig.py,111,2、测试UnitTest/TestAll/testProxy 测试代理是否可以用,not
12306/TickerConfig.py,112,3、开启代理ip,not
12306/TickerConfig.py,115,"预售放票时间, 如果是捡漏模式，可以忽略此操作",not
12306/TickerConfig.py,117,1=使用selenium获取devicesID,not
12306/TickerConfig.py,118,2=使用网页端/otn/HttpZF/logdevice获取devicesId，这个接口的算法目前可能有点问题，如果登录一直302的请改为配置1,not
12306/TickerConfig.py,119,3=自己打开浏览器在headers-Cookies中抓取RAIL_DEVICEID和RAIL_EXPIRATION，这个就不用配置selenium,not
12306/TickerConfig.py,121,"如果COOKIE_TYPE=1，则需配置chromeDriver路径,下载地址http://chromedriver.storage.googleapis.com/index.html",not
12306/TickerConfig.py,122,chromedriver配置版本只要和chrome的大版本匹配就行,not
12306/TickerConfig.py,125,为了docker37 准备的环境变量，windows环境可以不用管这个参数,not
12306/TickerConfig.py,128,"如果COOKIE_TYPE=3, 则需配置RAIL_EXPIRATION、RAIL_DEVICEID的值",not
12306/TickerConfig.py,131,"RAIL_EXPIRATION = ""1577034103293""",not
12306/TickerConfig.py,132,"RAIL_DEVICEID = ""CDno29Erc_Pf3FSXb4dzq-Op64EhWrsi5yUZKVIKR1MAfYo2qFlCeXD8VkexY7_1qg-ClV-fE8j9jgVlPZxRh3wVc2iqLe_5A8sdr62qZx4B22JPF8lFCjpgTKZ5ODW90HJd5tiQsJ1KR9nOqHRxHj1FT5LEIwfw""",not
12306/TickerConfig.py,135,"1=>为一直随机ua,2->只启动的时候随机一次ua",not
12306/TickerConfig.py,150,保护12306官网请求频率，设置随机请求时间，原则为5分钟不大于80次,not
12306/TickerConfig.py,151,最大间隔请求时间,not
12306/TickerConfig.py,153,最小间隔请求时间,not
12306/TickerConfig.py,156,软件版本,not
12306/run.py,1,-*- coding=utf-8 -*-,not
12306/init/login.py,1,-*- coding=utf-8 -*-,not
12306/init/select_ticket_info.py,1,-*- coding=utf-8 -*-,not
12306/init/select_ticket_info.py,116,防止网上启动晚上到点休眠,not
12306/init/select_ticket_info.py,139,测试了一下有微妙级的误差，应该不影响，测试结果：2019-01-02 22:30:00.004555，预售还是会受到前一次刷新的时间影响，暂时没想到好的解决方案,not
12306/init/select_ticket_info.py,151,感谢群里大佬提供整点代码,not
12306/init/select_ticket_info.py,152,晚上到点休眠,not
12306/init/select_ticket_info.py,164,查询接口,not
12306/init/select_ticket_info.py,179,获取联系人,not
12306/init/select_ticket_info.py,182,候补订单需要设置多个坐席,not
12306/init/select_ticket_info.py,191,提交订单,not
12306/init/select_ticket_info.py,192,订单分为两种，一种为抢单，一种为候补订单,not
12306/init/select_ticket_info.py,193,正常下单,not
12306/init/select_ticket_info.py,194,快速下单,not
12306/init/select_ticket_info.py,208,普通下单,not
12306/init/select_ticket_info.py,214,候补订单,not
12306/UnitTest/TestAll.py,1,coding=utf-8,not
12306/UnitTest/TestAll.py,46,def testConfig(self):,not
12306/UnitTest/TestAll.py,47,"""""""",not
12306/UnitTest/TestAll.py,48,测试config是否配置正确,not
12306/UnitTest/TestAll.py,49,:return:,not
12306/UnitTest/TestAll.py,50,"""""""",not
12306/agency/cdn_utils.py,1,encoding=utf8,not
12306/agency/cdn_utils.py,33,如果有重复的cdn，则放弃加入,not
12306/agency/agency_tools.py,1,encoding=utf8,not
12306/agency/agency_tools.py,87,self.get_proxy(),not
12306/inter/QueryOrderWaitTime.py,1,coding=utf-8,not
12306/inter/QueryOrderWaitTime.py,30,排队失败，自动取消排队订单,not
12306/inter/CheckRandCodeAnsyn.py,1,coding=utf-8,not
12306/inter/CheckRandCodeAnsyn.py,26,校验验证码是否正确,not
12306/inter/GetPassengerDTOs.py,1,coding=utf-8,not
12306/inter/GetPassengerDTOs.py,34,如果配置乘车人没有在账号，则默认返回第一个用户,not
12306/inter/GetPassengerDTOs.py,44,raise PassengerUserException(ticket.DTO_NOT_FOUND),not
12306/inter/GetPassengerDTOs.py,77,如果缓存中有联系人方式，则读取缓存中的联系人,not
12306/inter/GetPassengerDTOs.py,85,如果乘车人填错了导致没有这个乘车人的话，可能乘车人数会小于自动乘车人,not
12306/inter/Query.py,1,coding=utf-8,not
12306/inter/Query.py,95,筛选未在开始时间内的车次,not
12306/inter/Query.py,99,过滤有效目标车次,not
12306/inter/Query.py,122,GD开头的无座直接强制改为二等座车次,not
12306/inter/Query.py,160,如果最后一位为1，则是可以候补的，不知道这些正确嘛？,not
12306/inter/GetRepeatSubmitToken.py,1,coding=utf-8,not
12306/inter/ConfirmSingleForQueueAsys.py,1,coding=utf-8,not
12306/inter/GetQueueCount.py,1,coding=utf-8,not
12306/inter/GetQueueCount.py,101,else:,not
12306/inter/GetQueueCount.py,102,"print(u""当前排队人数: {1} 当前余票还剩余:{0} 张，继续排队中"".format(ticket_split, countT))",not
12306/inter/GetPassCodeNewOrderAndLogin.py,1,coding=utf-8,not
12306/inter/LoginAysnSuggest.py,1,coding=utf-8,not
12306/inter/SubmitOrderRequest.py,1,coding=utf-8,not
12306/inter/SubmitOrderRequest.py,26,self.secretStr = secretStr,not
12306/inter/SubmitOrderRequest.py,45,字符串加密,not
12306/inter/SubmitOrderRequest.py,46,出发时间,not
12306/inter/SubmitOrderRequest.py,47,返程时间,not
12306/inter/SubmitOrderRequest.py,48,旅途类型,not
12306/inter/SubmitOrderRequest.py,49,成人票还是学生票,not
12306/inter/SubmitOrderRequest.py,50,起始车站,not
12306/inter/SubmitOrderRequest.py,51,终点车站,not
12306/inter/CheckUser.py,1,coding=utf-8,not
12306/inter/CheckUser.py,21,防止cpu占用过高,not
12306/inter/CheckUser.py,22,修复晚上查询线程休眠时，检查登录线程为休眠，造成快豆迅速消耗,not
12306/inter/LiftTicketInit.py,1,coding=utf-8,not
12306/inter/LiftTicketInit.py,15,获取初始化的结果,not
12306/inter/LiftTicketInit.py,17,用正则表达式查出CLeftTicketUrl的值,not
12306/inter/LiftTicketInit.py,20,如果有值，替换queryUrl,not
12306/inter/AutoSubmitOrderRequest.py,1,coding=utf-8,not
12306/inter/AutoSubmitOrderRequest.py,103,如果需要验证码,not
12306/inter/GetRandCode.py,1,coding=utf-8,not
12306/inter/GetRandCode.py,65,"选择的答案的left值,通过浏览器点击8个小图的中点得到的,这样基本没问题",not
12306/inter/GetRandCode.py,66,选择的答案的top值,not
