file path,line #,comment,satd
AiLearning/tool/DecisionTree_getInfoGain.py,1,!/usr/bin/python,
AiLearning/tool/DecisionTree_getInfoGain.py,2,coding: utf8,
AiLearning/tool/DecisionTree_getInfoGain.py,17,求list的长度，表示计算参与训练的数据量,
AiLearning/tool/DecisionTree_getInfoGain.py,19,"print(type(dataSet), 'numEntries: ', numEntries)",
AiLearning/tool/DecisionTree_getInfoGain.py,21,计算分类标签label出现的次数,
AiLearning/tool/DecisionTree_getInfoGain.py,23,the the number of unique elements and their occurance,
AiLearning/tool/DecisionTree_getInfoGain.py,29,"print('-----', featVec, labelCounts)",
AiLearning/tool/DecisionTree_getInfoGain.py,31,对于label标签的占比，求出label标签的香农熵,
AiLearning/tool/DecisionTree_getInfoGain.py,35,log base 2,
AiLearning/tool/DecisionTree_getInfoGain.py,37,"print('---', prob, prob * log(prob, 2), shannonEnt)",
AiLearning/tool/DecisionTree_getInfoGain.py,55,axis列为value的数据集【该数据集需要排除axis列】,
AiLearning/tool/DecisionTree_getInfoGain.py,57,chop out axis used for splitting,
AiLearning/tool/DecisionTree_getInfoGain.py,63,收集结果值 axis列为value的行【该行需要排除axis列】,
AiLearning/tool/DecisionTree_getInfoGain.py,78,求第一行有多少列的 Feature,
AiLearning/tool/DecisionTree_getInfoGain.py,80,label的信息熵,
AiLearning/tool/DecisionTree_getInfoGain.py,82,"最优的信息增益值, 和最优的Featurn编号",
AiLearning/tool/DecisionTree_getInfoGain.py,84,iterate over all the features,
AiLearning/tool/DecisionTree_getInfoGain.py,86,create a list of all the examples of this feature,
AiLearning/tool/DecisionTree_getInfoGain.py,87,获取每一个feature的list集合,
AiLearning/tool/DecisionTree_getInfoGain.py,89,get a set of unique values,
AiLearning/tool/DecisionTree_getInfoGain.py,90,获取剔重后的集合,
AiLearning/tool/DecisionTree_getInfoGain.py,92,创建一个临时的信息熵,
AiLearning/tool/DecisionTree_getInfoGain.py,94,遍历某一列的value集合，计算该列的信息熵,
AiLearning/tool/DecisionTree_getInfoGain.py,99,gain[信息增益] 值越大，意味着该分类提供的信息量越大，该特征对分类的不确定程度越小,
AiLearning/tool/DecisionTree_getInfoGain.py,100,"gain[信息增益]=0, 表示与类别相同，无需其他的分类",
AiLearning/tool/DecisionTree_getInfoGain.py,101,"gain[信息增益]=baseEntropy, 表示分类和没分类没有区别",
AiLearning/tool/DecisionTree_getInfoGain.py,103,print(infoGain),
AiLearning/tool/python2libsvm.py,1,!/usr/bin/python,
AiLearning/tool/python2libsvm.py,2,coding:utf8,
AiLearning/tool/python2libsvm.py,24,print len(features),
AiLearning/tool/python2libsvm.py,29,print svm_format,
AiLearning/tool/python2libsvm.py,31,print svm_format,
AiLearning/tool/python2libsvm.py,48,获取数据集,
AiLearning/tool/python2libsvm.py,52,导出数据为 libsvm,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,1,*-* coding:utf-8 *-*,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,16,该目录下的 config.py文件， 数据文件是: poetry.txt,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,21,读取文本内容，合并到一个大字符中，用 ] 隔开,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,25,"每行的末尾加上""]""符号代表一首诗结束",
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,29,按照字存到字典中，字+频率,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,38,去掉低频的字,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,39,"[('。', 567), ('，', 565), ('风', 47), ('花', 42), ('云', 40)]",
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,41,print(wordPairs),
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,44,word到id的映射,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,58,文件预处理,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,61,如果模型文件存在则直接加载模型，否则开始训练,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,79,设置优化器,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,91,如果给的text不到四个字，则随机补全,
AiLearning/src/py3.x/tensorflow2.x/text_PoetryModel.py,122,如果越界了，就从0再开始,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,24,save initial config data,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,34,"in windows the new line is '\r\n\r\n' the space is '\r\n' . so if you use windows system,",
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,35,you have to use recorsponding instructions,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,54,set to <unk> (index 1) if not in vocab,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,58,left padding,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,73,left padding,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,84,Random embedding,
AiLearning/src/py3.x/tensorflow2.x/text_NER.py,99,train model,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,1,-*- coding: utf-8 -*-,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,17,Commented out IPython magic to ensure Python compatibility.,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,21,Colab only,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,22,%tensorflow_version 2.x,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,65,一个映射单词到整数索引的词典,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,68,保留第一个索引,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,72,unknown,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,125,"输入形状是用于电影评论的词汇数目（10,000 词）",
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,217,"“bo”代表 ""蓝点""",
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,219,b代表“蓝色实线”,
AiLearning/src/py3.x/tensorflow2.x/text_classification.py,228,清除数字,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,1,%%,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,2,-*- coding: utf-8 -*-,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,6,%%,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,7,载入并准备好 MNIST 数据集,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,8,存放地址: /home/xxx/.keras/datasets/mnist.npz,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,13,%%,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,14,将模型的各层堆叠起来，以搭建 tf.keras.Sequential 模型。为训练选择优化器和损失函数：,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,22,%%,
AiLearning/src/py3.x/tensorflow2.x/quickstart.py,27,%%,
