file path,line #,comment,satd
CppCoreGuidelines/scripts/python/cpplint.py,1,!/usr/bin/env python,not
CppCoreGuidelines/scripts/python/cpplint.py,2,,not
CppCoreGuidelines/scripts/python/cpplint.py,3,Copyright (c) 2009 Google Inc. All rights reserved.,not
CppCoreGuidelines/scripts/python/cpplint.py,4,,not
CppCoreGuidelines/scripts/python/cpplint.py,5,"Redistribution and use in source and binary forms, with or without",not
CppCoreGuidelines/scripts/python/cpplint.py,6,"modification, are permitted provided that the following conditions are",not
CppCoreGuidelines/scripts/python/cpplint.py,7,met:,not
CppCoreGuidelines/scripts/python/cpplint.py,8,,not
CppCoreGuidelines/scripts/python/cpplint.py,9,* Redistributions of source code must retain the above copyright,not
CppCoreGuidelines/scripts/python/cpplint.py,10,"notice, this list of conditions and the following disclaimer.",not
CppCoreGuidelines/scripts/python/cpplint.py,11,* Redistributions in binary form must reproduce the above,not
CppCoreGuidelines/scripts/python/cpplint.py,12,"copyright notice, this list of conditions and the following disclaimer",not
CppCoreGuidelines/scripts/python/cpplint.py,13,in the documentation and/or other materials provided with the,not
CppCoreGuidelines/scripts/python/cpplint.py,14,distribution.,not
CppCoreGuidelines/scripts/python/cpplint.py,15,* Neither the name of Google Inc. nor the names of its,not
CppCoreGuidelines/scripts/python/cpplint.py,16,contributors may be used to endorse or promote products derived from,not
CppCoreGuidelines/scripts/python/cpplint.py,17,this software without specific prior written permission.,not
CppCoreGuidelines/scripts/python/cpplint.py,18,,not
CppCoreGuidelines/scripts/python/cpplint.py,19,THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS,not
CppCoreGuidelines/scripts/python/cpplint.py,20,"""AS IS"" AND ANY EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT",not
CppCoreGuidelines/scripts/python/cpplint.py,21,"LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR",not
CppCoreGuidelines/scripts/python/cpplint.py,22,A PARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT,not
CppCoreGuidelines/scripts/python/cpplint.py,23,"OWNER OR CONTRIBUTORS BE LIABLE FOR ANY DIRECT, INDIRECT, INCIDENTAL,",not
CppCoreGuidelines/scripts/python/cpplint.py,24,"SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT",not
CppCoreGuidelines/scripts/python/cpplint.py,25,"LIMITED TO, PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE,",not
CppCoreGuidelines/scripts/python/cpplint.py,26,"DATA, OR PROFITS; OR BUSINESS INTERRUPTION) HOWEVER CAUSED AND ON ANY",not
CppCoreGuidelines/scripts/python/cpplint.py,27,"THEORY OF LIABILITY, WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT",not
CppCoreGuidelines/scripts/python/cpplint.py,28,(INCLUDING NEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE USE,not
