file path,line #,comment,satd
DeepFaceLab/main.py,2,Fix for linux,
DeepFaceLab/main.py,257,========== XSeg,
DeepFaceLab/mainscripts/VideoEd.py,42,highest quality for jpg,
DeepFaceLab/mainscripts/VideoEd.py,97,Check extension of all images,
DeepFaceLab/mainscripts/VideoEd.py,110,Rename to temporary filenames,
DeepFaceLab/mainscripts/VideoEd.py,120,Rename to sequental filenames,
DeepFaceLab/mainscripts/VideoEd.py,131,Process image sequence in ffmpeg,
DeepFaceLab/mainscripts/VideoEd.py,147,Rename to temporary filenames,
DeepFaceLab/mainscripts/VideoEd.py,157,Rename to initial filenames,
DeepFaceLab/mainscripts/VideoEd.py,203,probing reference file,
DeepFaceLab/mainscripts/VideoEd.py,206,getting first video and audio streams id with fps,
DeepFaceLab/mainscripts/VideoEd.py,216,has audio track,
DeepFaceLab/mainscripts/VideoEd.py,220,if fps not specified and not overwritten by reference-file,
DeepFaceLab/mainscripts/Extractor.py,42,override,
DeepFaceLab/mainscripts/Extractor.py,53,transfer and set stdin in order to work code.interact in debug subprocess,
DeepFaceLab/mainscripts/Extractor.py,74,"for head type, extract ""3D landmarks""",
DeepFaceLab/mainscripts/Extractor.py,80,override,
DeepFaceLab/mainscripts/Extractor.py,135,Image is too small,
DeepFaceLab/mainscripts/Extractor.py,217,if re-extracting from dflimg and more than 1 or zero faces detected - dont process and just copy it,
DeepFaceLab/mainscripts/Extractor.py,228,cannot extract more than 1 face from dflimg,
DeepFaceLab/mainscripts/Extractor.py,251,get rid of faces which umeyama-landmark-area > 4*detector-rect-area,
DeepFaceLab/mainscripts/Extractor.py,262,if extracting from dflimg and jpg copy it in order not to lose quality,
DeepFaceLab/mainscripts/Extractor.py,288,overridable,
DeepFaceLab/mainscripts/Extractor.py,290,return string identificator of your data,
DeepFaceLab/mainscripts/Extractor.py,348,override,
DeepFaceLab/mainscripts/Extractor.py,371,override,
DeepFaceLab/mainscripts/Extractor.py,378,override,
DeepFaceLab/mainscripts/Extractor.py,396,override,
DeepFaceLab/mainscripts/Extractor.py,406,need remark image from input data that already has a marked face?,
DeepFaceLab/mainscripts/Extractor.py,408,If there was already a face then lock the rectangle to it until the mouse is clicked,
DeepFaceLab/mainscripts/Extractor.py,478,confirm frame,
DeepFaceLab/mainscripts/Extractor.py,484,confirm skip frame,
DeepFaceLab/mainscripts/Extractor.py,488,go prev frame,
DeepFaceLab/mainscripts/Extractor.py,492,Only save the face if the rect is still locked,
DeepFaceLab/mainscripts/Extractor.py,503,go next frame,
DeepFaceLab/mainscripts/Extractor.py,507,Only save the face if the rect is still locked,
DeepFaceLab/mainscripts/Extractor.py,515,skip remaining,
DeepFaceLab/mainscripts/Extractor.py,569,override,
DeepFaceLab/mainscripts/Extractor.py,574,override,
DeepFaceLab/mainscripts/Extractor.py,619,override,
DeepFaceLab/mainscripts/Extractor.py,626,override,
DeepFaceLab/mainscripts/Extractor.py,631,override,
DeepFaceLab/mainscripts/Extractor.py,636,override,
DeepFaceLab/mainscripts/Extractor.py,638,return string identificator of your data,
DeepFaceLab/mainscripts/Extractor.py,641,override,
DeepFaceLab/mainscripts/Extractor.py,648,override,
DeepFaceLab/mainscripts/Extractor.py,653,override,
DeepFaceLab/mainscripts/Extractor.py,657,override,
DeepFaceLab/mainscripts/Extractor.py,661,override,
DeepFaceLab/mainscripts/Extractor.py,667,override,
DeepFaceLab/mainscripts/Extractor.py,671,override,
DeepFaceLab/mainscripts/Extractor.py,677,override,
DeepFaceLab/mainscripts/Merger.py,45,Initialize model,
DeepFaceLab/mainscripts/Merger.py,54,Preparing MP functions,
DeepFaceLab/mainscripts/Merger.py,154,center+up,
DeepFaceLab/mainscripts/Merger.py,244,interpolate landmarks,
DeepFaceLab/mainscripts/Merger.py,245,from facelib import LandmarksProcessor,
DeepFaceLab/mainscripts/Merger.py,246,from facelib import FaceType,
DeepFaceLab/mainscripts/Merger.py,247,a = sorted(alignments.keys()),
DeepFaceLab/mainscripts/Merger.py,248,a_len = len(a),
DeepFaceLab/mainscripts/Merger.py,249,,
DeepFaceLab/mainscripts/Merger.py,250,box_pts = 3,
DeepFaceLab/mainscripts/Merger.py,251,box = np.ones(box_pts)/box_pts,
DeepFaceLab/mainscripts/Merger.py,252,for i in range( a_len ):,
DeepFaceLab/mainscripts/Merger.py,253,if i >= box_pts and i <= a_len-box_pts-1:,
DeepFaceLab/mainscripts/Merger.py,254,af0 = alignments[ a[i] ][0] ##first face,
DeepFaceLab/mainscripts/Merger.py,255,"m0 = LandmarksProcessor.get_transform_mat (af0, 256, face_type=FaceType.FULL)",
DeepFaceLab/mainscripts/Merger.py,256,,
DeepFaceLab/mainscripts/Merger.py,257,points = [],
DeepFaceLab/mainscripts/Merger.py,258,,
DeepFaceLab/mainscripts/Merger.py,259,"for j in range(-box_pts, box_pts+1):",
DeepFaceLab/mainscripts/Merger.py,260,af = alignments[ a[i+j] ][0] ##first face,
DeepFaceLab/mainscripts/Merger.py,261,"m = LandmarksProcessor.get_transform_mat (af, 256, face_type=FaceType.FULL)",
DeepFaceLab/mainscripts/Merger.py,262,"p = LandmarksProcessor.transform_points (af, m)",
DeepFaceLab/mainscripts/Merger.py,263,points.append (p),
DeepFaceLab/mainscripts/Merger.py,264,,
DeepFaceLab/mainscripts/Merger.py,265,points = np.array(points),
DeepFaceLab/mainscripts/Merger.py,266,points_len = len(points),
DeepFaceLab/mainscripts/Merger.py,267,"t_points = np.transpose(points, [1,0,2])",
DeepFaceLab/mainscripts/Merger.py,268,,
DeepFaceLab/mainscripts/Merger.py,269,"p1 = np.array ( [ int(np.convolve(x[:,0], box, mode='same')[points_len//2]) for x in t_points ] )",
DeepFaceLab/mainscripts/Merger.py,270,"p2 = np.array ( [ int(np.convolve(x[:,1], box, mode='same')[points_len//2]) for x in t_points ] )",
DeepFaceLab/mainscripts/Merger.py,271,,
DeepFaceLab/mainscripts/Merger.py,272,"new_points = np.concatenate( [np.expand_dims(p1,-1),np.expand_dims(p2,-1)], -1 )",
DeepFaceLab/mainscripts/Merger.py,273,,
DeepFaceLab/mainscripts/Merger.py,274,"alignments[ a[i] ][0]  = LandmarksProcessor.transform_points (new_points, m0, True).astype(np.int32)",
DeepFaceLab/mainscripts/Sorter.py,26,override,
DeepFaceLab/mainscripts/Sorter.py,39,override,
DeepFaceLab/mainscripts/Sorter.py,41,return string identificator of your data,
DeepFaceLab/mainscripts/Sorter.py,44,override,
DeepFaceLab/mainscripts/Sorter.py,51,override,
DeepFaceLab/mainscripts/Sorter.py,55,override,
DeepFaceLab/mainscripts/Sorter.py,59,override,
DeepFaceLab/mainscripts/Sorter.py,67,override,
DeepFaceLab/mainscripts/Sorter.py,74,override,
DeepFaceLab/mainscripts/Sorter.py,78,override,
DeepFaceLab/mainscripts/Sorter.py,87,override,
DeepFaceLab/mainscripts/Sorter.py,177,override,
DeepFaceLab/mainscripts/Sorter.py,204,override,
DeepFaceLab/mainscripts/Sorter.py,208,override,
DeepFaceLab/mainscripts/Sorter.py,227,override,
DeepFaceLab/mainscripts/Sorter.py,234,override,
DeepFaceLab/mainscripts/Sorter.py,239,override,
DeepFaceLab/mainscripts/Sorter.py,243,override,
DeepFaceLab/mainscripts/Sorter.py,249,override,
DeepFaceLab/mainscripts/Sorter.py,253,override,
DeepFaceLab/mainscripts/Sorter.py,258,override,
DeepFaceLab/mainscripts/Sorter.py,269,override,
DeepFaceLab/mainscripts/Sorter.py,274,override,
DeepFaceLab/mainscripts/Sorter.py,285,override,
DeepFaceLab/mainscripts/Sorter.py,287,return string identificator of your data,
DeepFaceLab/mainscripts/Sorter.py,290,override,
DeepFaceLab/mainscripts/Sorter.py,297,override,
DeepFaceLab/mainscripts/Sorter.py,301,override,
DeepFaceLab/mainscripts/Sorter.py,305,override,
DeepFaceLab/mainscripts/Sorter.py,312,override,
DeepFaceLab/mainscripts/Sorter.py,319,override,
DeepFaceLab/mainscripts/Sorter.py,323,override,
DeepFaceLab/mainscripts/Sorter.py,328,override,
DeepFaceLab/mainscripts/Sorter.py,426,override,
DeepFaceLab/mainscripts/Sorter.py,430,override,
DeepFaceLab/mainscripts/Sorter.py,462,override,
DeepFaceLab/mainscripts/Sorter.py,464,return string identificator of your data,
DeepFaceLab/mainscripts/Sorter.py,467,override,
