file path,line #,comment,satd
Detectron/setup.py,1,"Copyright (c) 2017-present, Facebook, Inc.",not
Detectron/setup.py,2,,not
Detectron/setup.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
Detectron/setup.py,4,you may not use this file except in compliance with the License.,not
Detectron/setup.py,5,You may obtain a copy of the License at,not
Detectron/setup.py,6,,not
Detectron/setup.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
Detectron/setup.py,8,,not
Detectron/setup.py,9,"Unless required by applicable law or agreed to in writing, software",not
Detectron/setup.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
Detectron/setup.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
Detectron/setup.py,12,See the License for the specific language governing permissions and,not
Detectron/setup.py,13,limitations under the License.,not
Detectron/setup.py,14,,not
Detectron/setup.py,29,Extension modules,not
Detectron/tools/visualize_results.py,1,!/usr/bin/env python,not
Detectron/tools/visualize_results.py,3,"Copyright (c) 2017-present, Facebook, Inc.",not
Detectron/tools/visualize_results.py,4,,not
Detectron/tools/visualize_results.py,5,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
Detectron/tools/visualize_results.py,6,you may not use this file except in compliance with the License.,not
Detectron/tools/visualize_results.py,7,You may obtain a copy of the License at,not
Detectron/tools/visualize_results.py,8,,not
Detectron/tools/visualize_results.py,9,http://www.apache.org/licenses/LICENSE-2.0,not
Detectron/tools/visualize_results.py,10,,not
Detectron/tools/visualize_results.py,11,"Unless required by applicable law or agreed to in writing, software",not
Detectron/tools/visualize_results.py,12,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
Detectron/tools/visualize_results.py,13,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
Detectron/tools/visualize_results.py,14,See the License for the specific language governing permissions and,not
Detectron/tools/visualize_results.py,15,limitations under the License.,not
Detectron/tools/visualize_results.py,16,,not
Detectron/tools/visualize_results.py,34,OpenCL may be enabled by default in OpenCV3; disable it because it's not,not
Detectron/tools/visualize_results.py,35,thread safe and causes unwanted GPU memory allocations.,not
Detectron/tools/generate_testdev_from_test.py,1,!/usr/bin/env python,not
Detectron/tools/generate_testdev_from_test.py,3,"Copyright (c) 2017-present, Facebook, Inc.",not
Detectron/tools/generate_testdev_from_test.py,4,,not
Detectron/tools/generate_testdev_from_test.py,5,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
