file path,line #,comment,satd
HanLP/setup.py,1,-*- coding:utf-8 -*-,
HanLP/setup.py,2,Author: hankcs,
HanLP/setup.py,3,Date: 2019-12-28 19:26,
HanLP/setup.py,40,entry_points={,
HanLP/setup.py,41,'console_scripts': [,
HanLP/setup.py,42,"'hanlp=pyhanlp.main:main',",
HanLP/setup.py,43,"],",
HanLP/setup.py,44,"},",
HanLP/hanlp/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/__init__.py,2,Author: hankcs,
HanLP/hanlp/__init__.py,3,Date: 2019-06-13 18:05,
HanLP/hanlp/__init__.py,13,prevent exporting _warn_preinit_stderr,
HanLP/hanlp/version.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/version.py,2,Author: hankcs,
HanLP/hanlp/version.py,3,Date: 2019-12-28 19:26,
HanLP/hanlp/transform/tsv.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/transform/tsv.py,2,Author: hankcs,
HanLP/hanlp/transform/tsv.py,3,Date: 2019-06-13 21:15,
HanLP/hanlp/transform/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/transform/__init__.py,2,Author: hankcs,
HanLP/hanlp/transform/__init__.py,3,Date: 2019-12-29 22:24,
HanLP/hanlp/transform/table.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/transform/table.py,2,Author: hankcs,
HanLP/hanlp/transform/table.py,3,Date: 2019-11-10 21:00,
HanLP/hanlp/transform/table.py,59,the second one regardless of t is pair or triple,
HanLP/hanlp/transform/table.py,65,It's crucial to use tuple instead of list for all the three,
HanLP/hanlp/transform/text.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/transform/text.py,2,Author: hankcs,
HanLP/hanlp/transform/text.py,3,Date: 2019-12-04 11:46,
HanLP/hanlp/transform/txt.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/transform/txt.py,2,Author: hankcs,
HanLP/hanlp/transform/txt.py,3,Date: 2019-10-24 15:07,
HanLP/hanlp/transform/txt.py,74,TODO: optimize ngram generation using https://www.tensorflow.org/api_docs/python/tf/strings/ngrams,
HanLP/hanlp/transform/txt.py,77,"x, y",
HanLP/hanlp/transform/txt.py,107,single char,
HanLP/hanlp/transform/txt.py,111,bi chars,
HanLP/hanlp/transform/txt.py,115,tri chars,
HanLP/hanlp/transform/txt.py,123,four chars,
HanLP/hanlp/transform/txt.py,200,allow for [CLS] and [SEP],
HanLP/hanlp/datasets/glue.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/glue.py,2,Author: hankcs,
HanLP/hanlp/datasets/glue.py,3,Date: 2019-11-10 11:47,
HanLP/hanlp/datasets/glue.py,28,_test_sst2(),
HanLP/hanlp/datasets/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/__init__.py,3,Date: 2019-06-13 18:15,
HanLP/hanlp/datasets/cws/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/cws/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/cws/__init__.py,3,Date: 2019-12-21 15:40,
HanLP/hanlp/datasets/cws/ctb.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/cws/ctb.py,2,Author: hankcs,
HanLP/hanlp/datasets/cws/ctb.py,3,Date: 2019-12-28 22:19,
HanLP/hanlp/datasets/cws/sighan2005/msr.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/cws/sighan2005/msr.py,2,Author: hankcs,
HanLP/hanlp/datasets/cws/sighan2005/msr.py,3,Date: 2019-12-21 15:42,
HanLP/hanlp/datasets/cws/sighan2005/pku.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/cws/sighan2005/pku.py,2,Author: hankcs,
HanLP/hanlp/datasets/cws/sighan2005/pku.py,3,Date: 2019-12-21 15:42,
HanLP/hanlp/datasets/cws/sighan2005/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/cws/sighan2005/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/cws/sighan2005/__init__.py,3,Date: 2019-12-21 15:42,
HanLP/hanlp/datasets/parsing/semeval2016.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/parsing/semeval2016.py,2,Author: hankcs,
HanLP/hanlp/datasets/parsing/semeval2016.py,3,Date: 2019-12-28 00:51,
HanLP/hanlp/datasets/parsing/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/parsing/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/parsing/__init__.py,3,Date: 2019-12-28 00:51,
HanLP/hanlp/datasets/parsing/ctb.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/parsing/ctb.py,2,Author: hankcs,
HanLP/hanlp/datasets/parsing/ctb.py,3,Date: 2019-12-28 18:44,
HanLP/hanlp/datasets/classification/sentiment.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/classification/sentiment.py,2,Author: hankcs,
HanLP/hanlp/datasets/classification/sentiment.py,3,Date: 2019-12-30 21:03,
HanLP/hanlp/datasets/classification/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/classification/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/classification/__init__.py,3,Date: 2019-11-10 11:49,
HanLP/hanlp/datasets/ner/conll03.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/ner/conll03.py,2,Author: hankcs,
HanLP/hanlp/datasets/ner/conll03.py,3,Date: 2019-12-06 15:31,
HanLP/hanlp/datasets/ner/msra.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/ner/msra.py,2,Author: hankcs,
HanLP/hanlp/datasets/ner/msra.py,3,Date: 2019-12-28 23:13,
HanLP/hanlp/datasets/ner/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/ner/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/ner/__init__.py,3,Date: 2019-12-06 15:32,
HanLP/hanlp/datasets/pos/__init__.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/pos/__init__.py,2,Author: hankcs,
HanLP/hanlp/datasets/pos/__init__.py,3,Date: 2019-12-28 22:50,
HanLP/hanlp/datasets/pos/ctb.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/datasets/pos/ctb.py,2,Author: hankcs,
HanLP/hanlp/datasets/pos/ctb.py,3,Date: 2019-12-28 22:51,
HanLP/hanlp/utils/log_util.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/utils/log_util.py,2,Author: hankcs,
HanLP/hanlp/utils/log_util.py,3,Date: 2019-08-24 22:12,
HanLP/hanlp/utils/log_util.py,64,shut_up_python_logging(),
HanLP/hanlp/utils/log_util.py,66,shut up tensorflow,
HanLP/hanlp/utils/log_util.py,67,set_tf_loglevel(),
HanLP/hanlp/utils/util.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/utils/util.py,2,Author: hankcs,
HanLP/hanlp/utils/util.py,3,Date: 2019-10-27 19:09,
HanLP/hanlp/utils/util.py,54,infer whitespace after field,
HanLP/hanlp/utils/util.py,102,final json output,
HanLP/hanlp/utils/util.py,103,accumulation list for sublevel entries,
HanLP/hanlp/utils/util.py,104,holder for consecutive entries at exact indent level,
HanLP/hanlp/utils/util.py,108,"found a line indented further than the indent level, so add",
HanLP/hanlp/utils/util.py,109,it to the sublevel list,
HanLP/hanlp/utils/util.py,111,the first item in the sublevel will be the pending item,
HanLP/hanlp/utils/util.py,112,that was the previous line in the json,
HanLP/hanlp/utils/util.py,120,found a line at the exact indent level *and* we have sublevel,
HanLP/hanlp/utils/util.py,121,items. This means the sublevel items have come to an end,
HanLP/hanlp/utils/util.py,126,found a line at the exact indent level but no items indented,
HanLP/hanlp/utils/util.py,127,"further, so possibly start a new sub-level",
HanLP/hanlp/utils/util.py,129,"if there is already a pending item, it means that",
HanLP/hanlp/utils/util.py,130,consecutive entries in the json had the exact same,
HanLP/hanlp/utils/util.py,131,indentation and that last pending item was not the start,
HanLP/hanlp/utils/util.py,132,of a new sublevel.,
HanLP/hanlp/utils/util.py,137,it's possible that an item will be pending but not added to,
HanLP/hanlp/utils/util.py,138,"the output yet, so make sure it's not forgotten.",
HanLP/hanlp/utils/tf_util.py,1,-*- coding:utf-8 -*-,
HanLP/hanlp/utils/tf_util.py,2,Author: hankcs,
HanLP/hanlp/utils/tf_util.py,3,Date: 2019-08-27 01:27,
