file path,line #,comment,satd
HelloGitHub/script/make_content/make_content.py,1,!/usr/bin/env python,not
HelloGitHub/script/make_content/make_content.py,2,-*- coding:utf-8 -*-,not
HelloGitHub/script/make_content/make_content.py,3,,not
HelloGitHub/script/make_content/make_content.py,4,Author  :   XueWeiHan,not
HelloGitHub/script/make_content/make_content.py,5,E-mail  :   595666367@qq.com,not
HelloGitHub/script/make_content/make_content.py,6,Date    :   16/10/21 下午1:41,not
HelloGitHub/script/make_content/make_content.py,7,Desc    :   HelloGitHub项目——生成月刊脚本,not
HelloGitHub/script/make_content/make_content.py,59,如果 content 和 template 文件不存在,not
HelloGitHub/script/make_content/make_content.py,74,忽略‘script’的目录,not
HelloGitHub/script/make_content/make_content.py,83,获取输入的参数,not
HelloGitHub/script/github_bot/github_bot.py,1,!/usr/bin/env python,not
HelloGitHub/script/github_bot/github_bot.py,2,-*- coding:utf-8 -*-,not
HelloGitHub/script/github_bot/github_bot.py,3,,not
HelloGitHub/script/github_bot/github_bot.py,4,Author  :   XueWeiHan,not
HelloGitHub/script/github_bot/github_bot.py,5,E-mail  :   595666367@qq.com,not
HelloGitHub/script/github_bot/github_bot.py,6,Date    :   16/8/30 下午10:43,not
HelloGitHub/script/github_bot/github_bot.py,7,Desc    :   Github Bot,not
HelloGitHub/script/github_bot/github_bot.py,24,设置log名称,not
HelloGitHub/script/github_bot/github_bot.py,25,github帐号,not
HelloGitHub/script/github_bot/github_bot.py,35,发送邮件，邮箱的信息,not
HelloGitHub/script/github_bot/github_bot.py,37,发送邮件的邮箱地址,not
HelloGitHub/script/github_bot/github_bot.py,44,接收邮件的邮箱地址,not
HelloGitHub/script/github_bot/github_bot.py,47,几天前,not
HelloGitHub/script/github_bot/github_bot.py,50,项目stars临界值,not
HelloGitHub/script/github_bot/github_bot.py,53,qq邮件服务文档：http://service.mail.qq.com/cgi-bin/help?id=28,not
HelloGitHub/script/github_bot/github_bot.py,113,不统计自己项目的star事件,not
HelloGitHub/script/github_bot/github_bot.py,159,过滤掉star数量低于临界值的项目,not
HelloGitHub/script/github_bot/github_bot.py,190,发送邮件的邮箱,not
HelloGitHub/script/github_bot/github_bot.py,191,接收邮件的邮箱，可设置多个,not
HelloGitHub/script/github_bot/github_bot.py,193,三个参数：第一个为文本内容，第二个 html 设置文本格式，第三个 utf-8 设置编码,not
HelloGitHub/script/github_bot/github_bot.py,201,设置邮件主题,not
HelloGitHub/script/github_bot/github_bot.py,204,qq邮箱要求是https连接，所以需要用SMTP_SSL,not
HelloGitHub/script/github_bot/github_bot.py,205,设置SMTP地址和端口号,not
