file path,line #,comment,satd
ItChat/setup.py,46,You can just specify the packages manually here if your project is,not
ItChat/setup.py,47,simple. Or you can use find_packages().,not
ItChat/setup.py,52,List additional groups of dependencies here,not
ItChat/itchat/returnvalues.py,1,coding=utf8,not
ItChat/itchat/log.py,24,clear old fileHandler,not
ItChat/itchat/log.py,27,add new fileHandler,not
ItChat/itchat/utils.py,49,fix missing bug,SATD
ItChat/itchat/utils.py,157,these values will be updated somewhere else,not
ItChat/itchat/config.py,5,"Windows, Linux, Darwin",not
ItChat/itchat/__init__.py,17,I really want to use sys.modules[__name__] = originInstance,not
ItChat/itchat/__init__.py,18,"but it makes auto-fill a real mess, so forgive me for my following **",not
ItChat/itchat/__init__.py,19,"actually it toke me less than 30 seconds, god bless Uganda",not
ItChat/itchat/__init__.py,21,components.login,not
ItChat/itchat/__init__.py,31,components.contact,not
ItChat/itchat/__init__.py,46,components.messages,not
ItChat/itchat/__init__.py,55,components.hotreload,not
ItChat/itchat/__init__.py,58,components.register,not
ItChat/itchat/__init__.py,63,other functions,not
ItChat/itchat/storage/templates.py,218,return the only userName match,not
ItChat/itchat/storage/templates.py,230,select based on name,not
ItChat/itchat/storage/templates.py,237,select again based on matchDict,not
ItChat/itchat/storage/messagequeue.py,23,''[1:] == '',not
ItChat/itchat/storage/__init__.py,51,I tried to solve everything in pickle,not
ItChat/itchat/storage/__init__.py,52,but this way is easier and more storage-saving,not
ItChat/itchat/storage/__init__.py,66,my own account,not
ItChat/itchat/storage/__init__.py,67,return the only userName match,not
ItChat/itchat/storage/__init__.py,79,select based on name,not
ItChat/itchat/storage/__init__.py,86,select again based on matchDict,not
ItChat/itchat/components/login.py,69,log in process is stopped by user,not
ItChat/itchat/components/login.py,199,deal with login info,not
ItChat/itchat/components/login.py,209,deal with contact list returned when init,not
ItChat/itchat/components/login.py,216,don't let dirty info pollute the list,not
ItChat/itchat/components/login.py,219,mp will be dealt in update_local_friends as well,not
ItChat/itchat/components/login.py,310,will return a package with status '0 -',not
ItChat/itchat/components/login.py,311,and value like:,not
ItChat/itchat/components/login.py,312,6f:00:8a:9c:09:74:e4:d8:e0:14:bf:96:3a:56:a0:64:1b:a4:25:5d:12:f4:31:a5:30:f1:c6:48:5f:c3:75:6a:99:93,not
ItChat/itchat/components/login.py,313,"seems like status of typing, but before I make further achievement code will remain like this",not
ItChat/itchat/components/contact.py,107,format new chatrooms,not
ItChat/itchat/components/contact.py,116,update it to old chatrooms,not
ItChat/itchat/components/contact.py,121,- update other values,not
ItChat/itchat/components/contact.py,136,delete useless members,not
ItChat/itchat/components/contact.py,147,- update OwnerUin,not
ItChat/itchat/components/contact.py,152,- update IsAdmin,not
ItChat/itchat/components/contact.py,158,- update Self,not
ItChat/itchat/components/contact.py,295,mp will be dealt in update_local_friends as well,not
ItChat/itchat/components/contact.py,362,3,not
ItChat/itchat/components/messages.py,55,get actual opposite,not
ItChat/itchat/components/messages.py,60,produce basic message,not
ItChat/itchat/components/messages.py,65,set user of msg,not
ItChat/itchat/components/messages.py,69,we don't need to update chatroom here because we have,not
ItChat/itchat/components/messages.py,70,updated once when producing basic message,not
ItChat/itchat/components/messages.py,77,by default we think there may be a user missing not a mp,not
ItChat/itchat/components/messages.py,79,words,not
ItChat/itchat/components/messages.py,91,picture,not
ItChat/itchat/components/messages.py,99,voice,not
ItChat/itchat/components/messages.py,106,friends,not
ItChat/itchat/components/messages.py,116,name card,not
ItChat/itchat/components/messages.py,120,tiny video,not
ItChat/itchat/components/messages.py,143,sharing,not
ItChat/itchat/components/messages.py,144,chat history,not
ItChat/itchat/components/messages.py,201,phone init,not
ItChat/itchat/components/messages.py,345,save it on server,not
ItChat/itchat/components/messages.py,416,specific fileDir to send gifs,not
ItChat/itchat/components/messages.py,458,specific fileDir to send other formats,not
