file path,line #,comment,satd
ML-From-Scratch/setup.py,9,get the dependencies and installs,not
ML-From-Scratch/mlfromscratch/utils/misc.py,24,Sort eigenvalues and eigenvector by largest eigenvalues,not
ML-From-Scratch/mlfromscratch/utils/misc.py,28,Project the data onto principal components,not
ML-From-Scratch/mlfromscratch/utils/misc.py,66,Plot the dataset X and the corresponding labels y in 2D using PCA.,not
ML-From-Scratch/mlfromscratch/utils/misc.py,77,Plot the different class distributions,not
ML-From-Scratch/mlfromscratch/utils/misc.py,84,Plot legend,not
ML-From-Scratch/mlfromscratch/utils/misc.py,88,Plot title,not
ML-From-Scratch/mlfromscratch/utils/misc.py,97,Axis labels,not
ML-From-Scratch/mlfromscratch/utils/misc.py,103,Plot the dataset X and the corresponding labels y in 3D using PCA.,not
ML-From-Scratch/mlfromscratch/utils/data_operation.py,43,Squared distance between each coordinate,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,64,Concatenate x and y and do a random shuffle,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,69,Uses 50% of training samples without replacements,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,72,100% with replacements,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,100,X_std = (X - X.mean(axis=0)) / X.std(axis=0),not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,108,Split the training data from test data in the ratio specified in,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,109,test_size,not
ML-From-Scratch/mlfromscratch/utils/data_manipulation.py,140,Add left over samples to last set as training samples,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,33,Parameters used to update velocity,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,47,Set intial best as the current initialization,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,50,Set initial velocity to zero,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,69,Two random parameters used to update the velocity,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,74,Layer weights velocity,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,81,Bias weight velocity,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,88,Update layer weights with velocity,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,104,The best individual of the population is initialized as population's first ind.,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,109,Calculate new velocity and update the NN weights,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,111,Calculate the fitness of the updated individual,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,114,If the current fitness is higher than the individual's previous highest,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,115,=> update the individual's best layer setup,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,119,If the individual's fitness is higher than the highest recorded fitness for the,not
ML-From-Scratch/mlfromscratch/supervised_learning/particle_swarm_optimization.py,120,whole population => update the best individual,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,14,Project data onto vector,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,19,Separate data by class,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,23,Calculate the covariance matrices of the two datasets,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,28,Calculate the mean of the two datasets,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,33,Determine the vector which when X is projected onto it best separates the,not
ML-From-Scratch/mlfromscratch/supervised_learning/linear_discriminant_analysis.py,34,data by class. w = (mean1 - mean2) / (cov1 + cov2),not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,64,Insert constant ones for bias weights,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,69,Do gradient descent for n_iterations,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,72,Calculate l2 loss,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,75,Gradient of l2 loss w.r.t w,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,77,Update the weights,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,81,Insert constant ones for bias weights,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,100,No regularization,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,106,If not gradient descent => Least squares approximation of w,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,108,Insert constant ones for bias weights,not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,110,Calculate weights by least squares (using Moore-Penrose pseudoinverse),not
ML-From-Scratch/mlfromscratch/supervised_learning/regression.py,163,No regularization,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,26,Within class scatter matrix:,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,27,SW = sum{ (X_for_class - mean_of_X_for_class)^2 },not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,28,<=> (n_samples_X_for_class - 1) * covar(X_for_class),not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,34,Between class scatter:,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,35,SB = sum{ n_samples_for_class * (mean_for_class - total_mean)^2 },not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,48,Determine SW^-1 * SB by calculating inverse of SW,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,51,Get eigenvalues and eigenvectors of SW^-1 * SB,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,54,Sort the eigenvalues and corresponding eigenvectors from largest,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,55,to smallest eigenvalue and select the first n_components,not
ML-From-Scratch/mlfromscratch/supervised_learning/multi_class_lda.py,60,Project the data onto eigenvectors,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,13,Calculate the mean and variance of each feature for each class,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,15,Only select the rows where the label equals the given class,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,18,Add the mean and variance for each feature (column),not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,25,Added in denominator to prevent division by zero,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,52,Go through list of classes,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,54,Initialize posterior as prior,not
ML-From-Scratch/mlfromscratch/supervised_learning/naive_bayes.py,56,Naive assumption (independence):,not
