file path,line #,comment,satd
Mask_RCNN/setup.py,27,parse_requirements() returns generator of pip.req.InstallRequirement objects,not
Mask_RCNN/mrcnn/model.py,28,Requires TensorFlow 1.3+ and Keras 2.0.8+.,not
Mask_RCNN/mrcnn/model.py,34,,not
Mask_RCNN/mrcnn/model.py,35,Utility Functions,not
Mask_RCNN/mrcnn/model.py,36,,not
Mask_RCNN/mrcnn/model.py,80,Currently supports ResNet only,not
Mask_RCNN/mrcnn/model.py,88,,not
Mask_RCNN/mrcnn/model.py,89,Resnet Graph,not
Mask_RCNN/mrcnn/model.py,90,,not
Mask_RCNN/mrcnn/model.py,92,Code adopted from:,not
Mask_RCNN/mrcnn/model.py,93,https://github.com/fchollet/deep-learning-models/blob/master/resnet50.py,not
Mask_RCNN/mrcnn/model.py,178,Stage 1,not
Mask_RCNN/mrcnn/model.py,184,Stage 2,not
Mask_RCNN/mrcnn/model.py,188,Stage 3,not
Mask_RCNN/mrcnn/model.py,193,Stage 4,not
Mask_RCNN/mrcnn/model.py,199,Stage 5,not
Mask_RCNN/mrcnn/model.py,209,,not
Mask_RCNN/mrcnn/model.py,210,Proposal Layer,not
Mask_RCNN/mrcnn/model.py,211,,not
Mask_RCNN/mrcnn/model.py,218,"Convert to y, x, h, w",not
Mask_RCNN/mrcnn/model.py,223,Apply deltas,not
Mask_RCNN/mrcnn/model.py,228,"Convert back to y1, x1, y2, x2",not
Mask_RCNN/mrcnn/model.py,242,Split,not
Mask_RCNN/mrcnn/model.py,245,Clip,not
Mask_RCNN/mrcnn/model.py,277,"Box Scores. Use the foreground class confidence. [Batch, num_rois, 1]",not
Mask_RCNN/mrcnn/model.py,279,"Box deltas [batch, num_rois, 4]",not
Mask_RCNN/mrcnn/model.py,282,Anchors,not
Mask_RCNN/mrcnn/model.py,285,Improve performance by trimming to top anchors by score,not
Mask_RCNN/mrcnn/model.py,286,and doing the rest on the smaller subset.,not
Mask_RCNN/mrcnn/model.py,298,Apply deltas to anchors to get refined anchors.,not
Mask_RCNN/mrcnn/model.py,299,"[batch, N, (y1, x1, y2, x2)]",not
Mask_RCNN/mrcnn/model.py,305,"Clip to image boundaries. Since we're in normalized coordinates,",not
Mask_RCNN/mrcnn/model.py,306,"clip to 0..1 range. [batch, N, (y1, x1, y2, x2)]",not
Mask_RCNN/mrcnn/model.py,313,Filter out small boxes,not
Mask_RCNN/mrcnn/model.py,314,"According to Xinlei Chen's paper, this reduces detection accuracy",not
Mask_RCNN/mrcnn/model.py,315,"for small objects, so we're skipping it.",not
Mask_RCNN/mrcnn/model.py,317,Non-max suppression,not
Mask_RCNN/mrcnn/model.py,323,Pad if needed,not
Mask_RCNN/mrcnn/model.py,335,,not
Mask_RCNN/mrcnn/model.py,336,ROIAlign Layer,not
Mask_RCNN/mrcnn/model.py,337,,not
Mask_RCNN/mrcnn/model.py,369,"Crop boxes [batch, num_boxes, (y1, x1, y2, x2)] in normalized coords",not
Mask_RCNN/mrcnn/model.py,372,Image meta,not
Mask_RCNN/mrcnn/model.py,373,Holds details about the image. See compose_image_meta(),not
Mask_RCNN/mrcnn/model.py,376,Feature Maps. List of feature maps from different level of the,not
Mask_RCNN/mrcnn/model.py,377,"feature pyramid. Each is [batch, height, width, channels]",not
Mask_RCNN/mrcnn/model.py,380,Assign each ROI to a level in the pyramid based on the ROI area.,not
Mask_RCNN/mrcnn/model.py,384,Use shape of first image. Images in a batch must have the same size.,not
Mask_RCNN/mrcnn/model.py,386,Equation 1 in the Feature Pyramid Networks paper. Account for,not
Mask_RCNN/mrcnn/model.py,387,the fact that our coordinates are normalized here.,not
Mask_RCNN/mrcnn/model.py,388,e.g. a 224x224 ROI (in pixels) maps to P4,not
Mask_RCNN/mrcnn/model.py,395,Loop through levels and apply ROI pooling to each. P2 to P5.,not
Mask_RCNN/mrcnn/model.py,402,Box indices for crop_and_resize.,not
Mask_RCNN/mrcnn/model.py,405,Keep track of which box is mapped to which level,not
Mask_RCNN/mrcnn/model.py,408,Stop gradient propogation to ROI proposals,not
Mask_RCNN/mrcnn/model.py,412,Crop and Resize,not
Mask_RCNN/mrcnn/model.py,413,"From Mask R-CNN paper: ""We sample four regular locations, so",not
Mask_RCNN/mrcnn/model.py,414,"that we can evaluate either max or average pooling. In fact,",not
Mask_RCNN/mrcnn/model.py,415,interpolating only a single value at each bin center (without,not
Mask_RCNN/mrcnn/model.py,416,"pooling) is nearly as effective.""",not
Mask_RCNN/mrcnn/model.py,417,,not
Mask_RCNN/mrcnn/model.py,418,"Here we use the simplified approach of a single value per bin,",not
Mask_RCNN/mrcnn/model.py,419,which is how it's done in tf.crop_and_resize(),not
Mask_RCNN/mrcnn/model.py,420,"Result: [batch * num_boxes, pool_height, pool_width, channels]",not
Mask_RCNN/mrcnn/model.py,425,Pack pooled features into one tensor,not
Mask_RCNN/mrcnn/model.py,428,Pack box_to_level mapping into one array and add another,not
Mask_RCNN/mrcnn/model.py,429,column representing the order of pooled boxes,not
Mask_RCNN/mrcnn/model.py,435,Rearrange pooled features to match the order of the original boxes,not
Mask_RCNN/mrcnn/model.py,436,Sort box_to_level by batch then box index,not
Mask_RCNN/mrcnn/model.py,437,"TF doesn't have a way to sort by two columns, so merge them and sort.",not
Mask_RCNN/mrcnn/model.py,444,Re-add the batch dimension,not
Mask_RCNN/mrcnn/model.py,453,,not
Mask_RCNN/mrcnn/model.py,454,Detection Target Layer,not
Mask_RCNN/mrcnn/model.py,455,,not
Mask_RCNN/mrcnn/model.py,461,1. Tile boxes2 and repeat boxes1. This allows us to compare,not
Mask_RCNN/mrcnn/model.py,462,every boxes1 against every boxes2 without loops.,not
Mask_RCNN/mrcnn/model.py,463,TF doesn't have an equivalent to np.repeat() so simulate it,not
Mask_RCNN/mrcnn/model.py,464,using tf.tile() and tf.reshape.,not
Mask_RCNN/mrcnn/model.py,468,2. Compute intersections,not
Mask_RCNN/mrcnn/model.py,476,3. Compute unions,not
Mask_RCNN/mrcnn/model.py,480,"4. Compute IoU and reshape to [boxes1, boxes2]",not
Mask_RCNN/mrcnn/model.py,507,Assertions,not
Mask_RCNN/mrcnn/model.py,515,Remove zero padding,not
Mask_RCNN/mrcnn/model.py,523,Handle COCO crowds,not
Mask_RCNN/mrcnn/model.py,524,A crowd box in COCO is a bounding box around several instances. Exclude,not
Mask_RCNN/mrcnn/model.py,525,them from training. A crowd box is given a negative class ID.,not
Mask_RCNN/mrcnn/model.py,533,"Compute overlaps matrix [proposals, gt_boxes]",not
Mask_RCNN/mrcnn/model.py,536,"Compute overlaps with crowd boxes [proposals, crowd_boxes]",not
Mask_RCNN/mrcnn/model.py,541,Determine positive and negative ROIs,not
Mask_RCNN/mrcnn/model.py,543,1. Positive ROIs are those with >= 0.5 IoU with a GT box,not
Mask_RCNN/mrcnn/model.py,546,2. Negative ROIs are those with < 0.5 with every GT box. Skip crowds.,not
Mask_RCNN/mrcnn/model.py,549,Subsample ROIs. Aim for 33% positive,not
Mask_RCNN/mrcnn/model.py,550,Positive ROIs,not
Mask_RCNN/mrcnn/model.py,555,Negative ROIs. Add enough to maintain positive:negative ratio.,not
Mask_RCNN/mrcnn/model.py,559,Gather selected ROIs,not
Mask_RCNN/mrcnn/model.py,563,Assign positive ROIs to GT boxes.,not
Mask_RCNN/mrcnn/model.py,573,Compute bbox refinement for positive ROIs,not
Mask_RCNN/mrcnn/model.py,577,Assign positive ROIs to GT masks,not
Mask_RCNN/mrcnn/model.py,578,"Permute masks to [N, height, width, 1]",not
Mask_RCNN/mrcnn/model.py,580,Pick the right mask for each ROI,not
Mask_RCNN/mrcnn/model.py,583,Compute mask targets,not
Mask_RCNN/mrcnn/model.py,586,Transform ROI coordinates from normalized image space,not
Mask_RCNN/mrcnn/model.py,587,to normalized mini-mask space.,not
Mask_RCNN/mrcnn/model.py,601,Remove the extra dimension from masks.,not
Mask_RCNN/mrcnn/model.py,604,Threshold mask pixels at 0.5 to have GT masks be 0 or 1 to use with,not
Mask_RCNN/mrcnn/model.py,605,binary cross entropy loss.,not
Mask_RCNN/mrcnn/model.py,608,Append negative ROIs and pad bbox deltas and masks that,not
