file path,line #,comment,satd
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,1,!/usr/bin/python,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,34,image width/height (square),
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,43,look for 'FF DA' (SOS),
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,47,look for 'FF D9' (EOI),
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,49,enough size ?,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,65,make sure the exploit-jpg directory exists or create it,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,71,start generation,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,74,loop over every payload,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,76,not done yet,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,79,loop while not done and timeout not reached,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,82,"we create a NxN pixels image, true colors",
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,84,we create a palette,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,88,we shuffle this palette,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,90,and fill the image with it,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,97,write down the image,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,102,"now, we try to insert the payload various ways",
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,107,write down the new jpeg file,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,112,load it with GD,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,117,does it contain our payload ?,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,119,Yay !,
PayloadsAllTheThings/Upload Insecure Files/Picture Resize/exploit_JPG.py,128,"payload not found, we remove the file",
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,4,"Shellcodes - Bypass included : Keyword Recognition : System, GET, php",
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,5,--- How to use : http://localhost/shell.php?c=echo%20'<pre>';ls,
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,7,"shellcode  = ""<?=@`$_GET[c]`;""",
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,9,--- How to use : http://localhost/shell.php?_=system&__=echo%20'<pre>';ls,
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,15,Create a backdoored PNG,
PayloadsAllTheThings/Upload Insecure Files/Picture Metadata/Build_image_to_LFI.py,21,undocumented class,
