file path,line #,comment,satd
PySnooper/setup.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/setup.py,2,This program is distributed under the MIT license.,
PySnooper/tests/test_pysnooper.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_pysnooper.py,2,This program is distributed under the MIT license.,
PySnooper/tests/test_pysnooper.py,311,doesn't have attributes,
PySnooper/tests/test_pysnooper.py,651,Multi-line decorator for extra confusion!,
PySnooper/tests/test_pysnooper.py,673,inside lambda,
PySnooper/tests/test_pysnooper.py,679,back in my_function,
PySnooper/tests/test_pysnooper.py,846,Testing that a single Tracer can handle many mixed uses,
PySnooper/tests/test_pysnooper.py,856,"There should be line entries for these three lines,",
PySnooper/tests/test_pysnooper.py,857,"no line entries for anything else in this function,",
PySnooper/tests/test_pysnooper.py,858,but calls to all bar functions should be traced,
PySnooper/tests/test_pysnooper.py,879,"not traced, mustn't show up",
PySnooper/tests/test_pysnooper.py,889,In first with,
PySnooper/tests/test_pysnooper.py,900,In with in recursive call,
PySnooper/tests/test_pysnooper.py,910,Call to bar1 from if block outside with,
PySnooper/tests/test_pysnooper.py,918,In with in recursive call,
PySnooper/tests/test_pysnooper.py,921,Call to bar2 from within with,
PySnooper/tests/test_pysnooper.py,929,In with in recursive call,
PySnooper/tests/test_pysnooper.py,932,Call to bar3 from after with,
PySnooper/tests/test_pysnooper.py,940,"-- Similar to previous few sections,",
PySnooper/tests/test_pysnooper.py,941,-- but from first call to foo,
PySnooper/tests/test_pysnooper.py,943,In with in first call,
PySnooper/tests/test_pysnooper.py,946,Call to bar2 from within with,
PySnooper/tests/test_pysnooper.py,954,In with in first call,
PySnooper/tests/test_pysnooper.py,957,Call to bar3 from after with,
PySnooper/tests/test_pysnooper.py,1211,Pause and resume:,
PySnooper/tests/test_pysnooper.py,1227,Pause and resume:,
PySnooper/tests/test_pysnooper.py,1512,"Do simple property operations, make sure we didn't mess up the normal behavior",
PySnooper/tests/test_pysnooper.py,1523,"The property methods will not be traced, but their calls to plain_method will be.",
PySnooper/tests/test_pysnooper.py,1535,Called from getter,
PySnooper/tests/test_pysnooper.py,1542,Called from setter,
PySnooper/tests/test_pysnooper.py,1549,Called from deleter,
PySnooper/tests/test_not_implemented.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_not_implemented.py,2,This program is distributed under the MIT license.,
PySnooper/tests/utils.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/utils.py,2,This program is distributed under the MIT license.,
PySnooper/tests/utils.py,347,to copy paste into expected_output,
PySnooper/tests/utils.py,348,show pytest diff (may need -vv flag to see in full),
PySnooper/tests/test_chinese.py,1,-*- coding: utf-8 -*-,
PySnooper/tests/test_chinese.py,2,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_chinese.py,3,This program is distributed under the MIT license.,
PySnooper/tests/test_multiple_files/test_multiple_files.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_multiple_files/test_multiple_files.py,2,This program is distributed under the MIT license.,
PySnooper/tests/test_multiple_files/multiple_files/bar.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_multiple_files/multiple_files/bar.py,2,This program is distributed under the MIT license.,
PySnooper/tests/test_multiple_files/multiple_files/foo.py,1,Copyright 2019 Ram Rachum and collaborators.,
PySnooper/tests/test_multiple_files/multiple_files/foo.py,2,This program is distributed under the MIT license.,
PySnooper/tests/mini_toolbox/contextlib.py,11,Backwards compatibility,
PySnooper/tests/mini_toolbox/contextlib.py,60,Issue 19330: ensure context manager instances have good docstrings,
PySnooper/tests/mini_toolbox/contextlib.py,65,"Unfortunately, this still doesn't provide good help output when",
PySnooper/tests/mini_toolbox/contextlib.py,66,"inspecting the created context manager instances, since pydoc",
PySnooper/tests/mini_toolbox/contextlib.py,67,currently bypasses the instance docstring and shows the docstring,
PySnooper/tests/mini_toolbox/contextlib.py,68,for the class instead.,
PySnooper/tests/mini_toolbox/contextlib.py,69,See http://bugs.python.org/issue19404 for more details.,
PySnooper/tests/mini_toolbox/contextlib.py,72,"_GCM instances are one-shot context managers, so the",
PySnooper/tests/mini_toolbox/contextlib.py,73,CM must be recreated each time a decorated function is,
PySnooper/tests/mini_toolbox/contextlib.py,74,called,
PySnooper/tests/mini_toolbox/contextlib.py,93,Need to force instantiation so we can reliably,
PySnooper/tests/mini_toolbox/contextlib.py,94,tell if we get the same exception back,
PySnooper/tests/mini_toolbox/contextlib.py,100,Suppress StopIteration *unless* it's the same exception that,
PySnooper/tests/mini_toolbox/contextlib.py,101,was passed to throw().  This prevents a StopIteration,
PySnooper/tests/mini_toolbox/contextlib.py,102,"raised inside the ""with"" statement from being suppressed.",
PySnooper/tests/mini_toolbox/contextlib.py,105,Don't re-raise the passed in exception,
PySnooper/tests/mini_toolbox/contextlib.py,108,"Likewise, avoid suppressing if a StopIteration exception",
PySnooper/tests/mini_toolbox/contextlib.py,109,was passed to throw() and later wrapped into a RuntimeError,
PySnooper/tests/mini_toolbox/contextlib.py,110,(see PEP 479).,
PySnooper/tests/mini_toolbox/contextlib.py,115,only re-raise if it's *not* the exception that was,
PySnooper/tests/mini_toolbox/contextlib.py,116,"passed to throw(), because __exit__() must not raise",
PySnooper/tests/mini_toolbox/contextlib.py,117,an exception unless __exit__() itself failed.  But throw(),
PySnooper/tests/mini_toolbox/contextlib.py,118,"has to raise the exception to signal propagation, so this",
PySnooper/tests/mini_toolbox/contextlib.py,119,fixes the impedance mismatch between the throw() protocol,
PySnooper/tests/mini_toolbox/contextlib.py,120,and the __exit__() protocol.,
PySnooper/tests/mini_toolbox/contextlib.py,121,,
PySnooper/tests/mini_toolbox/contextlib.py,191,We use a list of old targets to make this CM re-entrant,
PySnooper/tests/mini_toolbox/contextlib.py,243,"Unlike isinstance and issubclass, CPython exception handling",
PySnooper/tests/mini_toolbox/contextlib.py,244,currently only looks at the concrete type hierarchy (ignoring,
PySnooper/tests/mini_toolbox/contextlib.py,245,the instance and subclass checking hooks). While Guido considers,
PySnooper/tests/mini_toolbox/contextlib.py,246,"that a bug rather than a feature, it's a fairly hard one to fix",
PySnooper/tests/mini_toolbox/contextlib.py,247,due to various internal implementation details. suppress provides,
PySnooper/tests/mini_toolbox/contextlib.py,248,"the simpler issubclass based semantics, rather than trying to",
PySnooper/tests/mini_toolbox/contextlib.py,249,exactly reproduce the limitations of the CPython interpreter.,
PySnooper/tests/mini_toolbox/contextlib.py,250,,
PySnooper/tests/mini_toolbox/contextlib.py,251,See http://bugs.python.org/issue12029 for more details,
PySnooper/tests/mini_toolbox/contextlib.py,255,Context manipulation is Python 3 only,
PySnooper/tests/mini_toolbox/contextlib.py,260,"Context may not be correct, so find the end of the chain",
PySnooper/tests/mini_toolbox/contextlib.py,264,Context is already set correctly (see issue 20317),
PySnooper/tests/mini_toolbox/contextlib.py,269,Change the end of the chain to point to the exception,
PySnooper/tests/mini_toolbox/contextlib.py,270,we expect it to reference,
PySnooper/tests/mini_toolbox/contextlib.py,276,"bare ""raise exc_details[1]"" replaces our carefully",
PySnooper/tests/mini_toolbox/contextlib.py,277,set-up context,
PySnooper/tests/mini_toolbox/contextlib.py,284,No exception context in Python 2,
PySnooper/tests/mini_toolbox/contextlib.py,288,"Use 3 argument raise in Python 2,",
PySnooper/tests/mini_toolbox/contextlib.py,289,but use exec to avoid SyntaxError in Python 3,
PySnooper/tests/mini_toolbox/contextlib.py,294,Handle old-style classes if they exist,
PySnooper/tests/mini_toolbox/contextlib.py,298,Python 3 doesn't have old-style classes,
PySnooper/tests/mini_toolbox/contextlib.py,301,Need to handle old-style context managers on Python 2,
PySnooper/tests/mini_toolbox/contextlib.py,305,Old-style class,
PySnooper/tests/mini_toolbox/contextlib.py,306,New-style class,
PySnooper/tests/mini_toolbox/contextlib.py,308,Inspired by discussions on http://bugs.python.org/issue13585,
PySnooper/tests/mini_toolbox/contextlib.py,346,We use an unbound method rather than a bound method to follow,
PySnooper/tests/mini_toolbox/contextlib.py,347,the standard lookup behaviour for special methods,
PySnooper/tests/mini_toolbox/contextlib.py,352,"Not a context manager, so assume its a callable",
PySnooper/tests/mini_toolbox/contextlib.py,356,Allow use as a decorator,
PySnooper/tests/mini_toolbox/contextlib.py,365,"We changed the signature, so using @wraps is not appropriate, but",
PySnooper/tests/mini_toolbox/contextlib.py,366,setting __wrapped__ may still help with introspection,
PySnooper/tests/mini_toolbox/contextlib.py,369,Allow use as a decorator,
PySnooper/tests/mini_toolbox/contextlib.py,377,We look up the special methods on the type to match the with statement,
PySnooper/tests/mini_toolbox/contextlib.py,394,We manipulate the exception state so it behaves as though,
PySnooper/tests/mini_toolbox/contextlib.py,395,we were actually nesting multiple with statements,
PySnooper/tests/mini_toolbox/contextlib.py,399,Callbacks are invoked in LIFO order to match the behaviour of,
PySnooper/tests/mini_toolbox/contextlib.py,400,nested context managers,
