file path,line #,comment,satd
python/setup.py,1,Copyright 2016 The Kubernetes Authors.,not
python/setup.py,2,,not
python/setup.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/setup.py,4,you may not use this file except in compliance with the License.,not
python/setup.py,5,You may obtain a copy of the License at,not
python/setup.py,6,,not
python/setup.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/setup.py,8,,not
python/setup.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/setup.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/setup.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/setup.py,12,See the License for the specific language governing permissions and,not
python/setup.py,13,limitations under the License.,not
python/setup.py,17,Do not edit these constants. They will be updated automatically,not
python/setup.py,18,by scripts/update-client.sh.,not
python/setup.py,23,"To install the library, run the following",not
python/setup.py,24,,not
python/setup.py,25,python setup.py install,not
python/setup.py,26,,not
python/setup.py,27,prerequisite: setuptools,not
python/setup.py,28,http://pypi.python.org/pypi/setuptools,not
python/doc/source/conf.py,1,-*- coding: utf-8 -*-,not
python/doc/source/conf.py,2,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/doc/source/conf.py,3,you may not use this file except in compliance with the License.,not
python/doc/source/conf.py,4,You may obtain a copy of the License at,not
python/doc/source/conf.py,5,,not
python/doc/source/conf.py,6,http://www.apache.org/licenses/LICENSE-2.0,not
python/doc/source/conf.py,7,,not
python/doc/source/conf.py,8,"Unless required by applicable law or agreed to in writing, software",not
python/doc/source/conf.py,9,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/doc/source/conf.py,10,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or",not
python/doc/source/conf.py,11,implied.,not
python/doc/source/conf.py,12,See the License for the specific language governing permissions and,not
python/doc/source/conf.py,13,limitations under the License.,not
python/doc/source/conf.py,22,Work around https://github.com/readthedocs/recommonmark/issues/152,not
python/doc/source/conf.py,34,apparently index.rst can't search for markdown not in the same directory,not
python/doc/source/conf.py,38,-- General configuration ----------------------------------------------------,not
python/doc/source/conf.py,42,"Add any Sphinx extension module names here, as strings. They can be",not
python/doc/source/conf.py,43,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom ones.,not
python/doc/source/conf.py,48,"'sphinx.ext.intersphinx',",not
python/doc/source/conf.py,51,autodoc generation is a bit aggressive and a nuisance when doing heavy,not
python/doc/source/conf.py,52,text edit cycles.,not
python/doc/source/conf.py,53,"execute ""export SPHINX_DEBUG=1"" in your terminal to disable",not
python/doc/source/conf.py,55,The suffix of source filenames.,not
python/doc/source/conf.py,58,The master toctree document.,not
python/doc/source/conf.py,61,General information about the project.,not
python/doc/source/conf.py,65,"If true, '()' will be appended to :func: etc. cross-reference text.",not
python/doc/source/conf.py,68,"If true, the current module name will be prepended to all description",not
python/doc/source/conf.py,69,unit titles (such as .. function::).,not
python/doc/source/conf.py,72,The name of the Pygments (syntax highlighting) style to use.,not
python/doc/source/conf.py,75,-- Options for HTML output --------------------------------------------------,not
python/doc/source/conf.py,77,The theme to use for HTML and HTML Help pages.  Major themes that come with,not
python/doc/source/conf.py,78,Sphinx are currently 'default' and 'sphinxdoc'.,not
python/doc/source/conf.py,79,"html_theme_path = ["".""]",not
python/doc/source/conf.py,80,html_theme = '_theme',not
python/doc/source/conf.py,81,html_static_path = ['static'],not
python/doc/source/conf.py,83,Output file base name for HTML help builder.,not
python/doc/source/conf.py,86,Grouping the document tree into LaTeX files. List of tuples,not
python/doc/source/conf.py,87,"(source start file, target name, title, author, documentclass",not
python/doc/source/conf.py,88,[howto/manual]).,not
python/doc/source/conf.py,96,Example configuration for intersphinx: refer to the Python standard library.,not
python/doc/source/conf.py,97,intersphinx_mapping = {'http://docs.python.org/': None},not
python/scripts/constants.py,1,Copyright 2016 The Kubernetes Authors.,not
python/scripts/constants.py,2,,not
python/scripts/constants.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/scripts/constants.py,4,you may not use this file except in compliance with the License.,not
python/scripts/constants.py,5,You may obtain a copy of the License at,not
python/scripts/constants.py,6,,not
python/scripts/constants.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/scripts/constants.py,8,,not
python/scripts/constants.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/scripts/constants.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/scripts/constants.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/scripts/constants.py,12,See the License for the specific language governing permissions and,not
python/scripts/constants.py,13,limitations under the License.,not
python/scripts/constants.py,17,Kubernetes branch to get the OpenAPI spec from.,not
python/scripts/constants.py,20,client version for packaging and releasing.,not
python/scripts/constants.py,23,Name of the release package,not
python/scripts/constants.py,26,"Stage of development, mainly used in setup.py's classifiers.",not
python/scripts/constants.py,30,"If called directly, return the constant value given",not
python/scripts/constants.py,31,its name. Useful in bash scripts.,not
python/examples/job_crud.py,1,Copyright 2016 The Kubernetes Authors.,not
python/examples/job_crud.py,2,,not
python/examples/job_crud.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/job_crud.py,4,you may not use this file except in compliance with the License.,not
python/examples/job_crud.py,5,You may obtain a copy of the License at,not
python/examples/job_crud.py,6,,not
python/examples/job_crud.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/job_crud.py,8,,not
python/examples/job_crud.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/job_crud.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/job_crud.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/job_crud.py,12,See the License for the specific language governing permissions and,not
python/examples/job_crud.py,13,limitations under the License.,not
python/examples/job_crud.py,29,Configureate Pod template container,not
python/examples/job_crud.py,34,Create and configurate a spec section,not
python/examples/job_crud.py,38,Create the specification of deployment,not
python/examples/job_crud.py,42,Instantiate the job object,not
python/examples/job_crud.py,60,Update container image,not
python/examples/job_crud.py,80,Configs can be set in Configuration class directly or using helper,not
python/examples/job_crud.py,81,"utility. If no argument provided, the config will be loaded from",not
python/examples/job_crud.py,82,default location.,not
python/examples/job_crud.py,85,Create a job object with client-python API. The job we,not
python/examples/job_crud.py,86,created is same as the `pi-job.yaml` in the /examples folder.,not
python/examples/in_cluster_config.py,1,Copyright 2017 The Kubernetes Authors.,not
python/examples/in_cluster_config.py,2,,not
python/examples/in_cluster_config.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/in_cluster_config.py,4,you may not use this file except in compliance with the License.,not
python/examples/in_cluster_config.py,5,You may obtain a copy of the License at,not
python/examples/in_cluster_config.py,6,,not
python/examples/in_cluster_config.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/in_cluster_config.py,8,,not
python/examples/in_cluster_config.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/in_cluster_config.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/in_cluster_config.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/in_cluster_config.py,12,See the License for the specific language governing permissions and,not
python/examples/in_cluster_config.py,13,limitations under the License.,not
python/examples/remote_cluster.py,1,Copyright 2018 The Kubernetes Authors.,not
python/examples/remote_cluster.py,2,,not
python/examples/remote_cluster.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/remote_cluster.py,4,you may not use this file except in compliance with the License.,not
python/examples/remote_cluster.py,5,You may obtain a copy of the License at,not
python/examples/remote_cluster.py,6,,not
python/examples/remote_cluster.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/remote_cluster.py,8,,not
python/examples/remote_cluster.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/remote_cluster.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/remote_cluster.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/remote_cluster.py,12,See the License for the specific language governing permissions and,not
python/examples/remote_cluster.py,13,limitations under the License.,not
python/examples/remote_cluster.py,15,This example demonstrate communication with a remote Kube cluster from a,not
python/examples/remote_cluster.py,16,server outside of the cluster without kube client installed on it.,not
python/examples/remote_cluster.py,17,The communication is secured with the use of Bearer token.,not
python/examples/remote_cluster.py,23,Define the barer token we are going to use to authenticate.,not
python/examples/remote_cluster.py,24,See here to create the token:,not
python/examples/remote_cluster.py,25,https://kubernetes.io/docs/tasks/access-application-cluster/access-cluster/,not
python/examples/remote_cluster.py,28,Create a configuration object,not
python/examples/remote_cluster.py,31,Specify the endpoint of your Kube cluster,not
python/examples/remote_cluster.py,34,Security part.,not
python/examples/remote_cluster.py,35,In this simple example we are not going to verify the SSL certificate of,not
python/examples/remote_cluster.py,36,the remote cluster (for simplicity reason),not
python/examples/remote_cluster.py,38,Nevertheless if you want to do it you can with these 2 parameters,not
python/examples/remote_cluster.py,39,configuration.verify_ssl=True,not
python/examples/remote_cluster.py,40,ssl_ca_cert is the filepath to the file that contains the certificate.,not
python/examples/remote_cluster.py,41,"configuration.ssl_ca_cert=""certificate""",not
python/examples/remote_cluster.py,45,Create a ApiClient with our config,not
python/examples/remote_cluster.py,48,Do calls,not
python/examples/out_of_cluster_config.py,1,Copyright 2016 The Kubernetes Authors.,not
python/examples/out_of_cluster_config.py,2,,not
python/examples/out_of_cluster_config.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/out_of_cluster_config.py,4,you may not use this file except in compliance with the License.,not
python/examples/out_of_cluster_config.py,5,You may obtain a copy of the License at,not
python/examples/out_of_cluster_config.py,6,,not
python/examples/out_of_cluster_config.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/out_of_cluster_config.py,8,,not
python/examples/out_of_cluster_config.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/out_of_cluster_config.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/out_of_cluster_config.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/out_of_cluster_config.py,12,See the License for the specific language governing permissions and,not
python/examples/out_of_cluster_config.py,13,limitations under the License.,not
python/examples/out_of_cluster_config.py,23,Configs can be set in Configuration class directly or using helper,not
python/examples/out_of_cluster_config.py,24,"utility. If no argument provided, the config will be loaded from",not
python/examples/out_of_cluster_config.py,25,default location.,not
python/examples/node_labels.py,1,Copyright 2016 The Kubernetes Authors.,not
python/examples/node_labels.py,2,,not
python/examples/node_labels.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/node_labels.py,4,you may not use this file except in compliance with the License.,not
python/examples/node_labels.py,5,You may obtain a copy of the License at,not
python/examples/node_labels.py,6,,not
python/examples/node_labels.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/node_labels.py,8,,not
python/examples/node_labels.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/node_labels.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/node_labels.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/node_labels.py,12,See the License for the specific language governing permissions and,not
python/examples/node_labels.py,13,limitations under the License.,not
python/examples/multiple_clusters.py,1,Copyright 2016 The Kubernetes Authors.,not
python/examples/multiple_clusters.py,2,,not
python/examples/multiple_clusters.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/multiple_clusters.py,4,you may not use this file except in compliance with the License.,not
python/examples/multiple_clusters.py,5,You may obtain a copy of the License at,not
python/examples/multiple_clusters.py,6,,not
python/examples/multiple_clusters.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/multiple_clusters.py,8,,not
python/examples/multiple_clusters.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/multiple_clusters.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/multiple_clusters.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/multiple_clusters.py,12,See the License for the specific language governing permissions and,not
python/examples/multiple_clusters.py,13,limitations under the License.,not
python/examples/multiple_clusters.py,23,install pick using `pip install pick`,not
python/examples/pick_kube_config_context.py,1,Copyright 2016 The Kubernetes Authors.,not
python/examples/pick_kube_config_context.py,2,,not
python/examples/pick_kube_config_context.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/pick_kube_config_context.py,4,you may not use this file except in compliance with the License.,not
python/examples/pick_kube_config_context.py,5,You may obtain a copy of the License at,not
python/examples/pick_kube_config_context.py,6,,not
python/examples/pick_kube_config_context.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/pick_kube_config_context.py,8,,not
python/examples/pick_kube_config_context.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/pick_kube_config_context.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
python/examples/pick_kube_config_context.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
python/examples/pick_kube_config_context.py,12,See the License for the specific language governing permissions and,not
python/examples/pick_kube_config_context.py,13,limitations under the License.,not
python/examples/pick_kube_config_context.py,23,install pick using `pip install pick`,not
python/examples/pick_kube_config_context.py,35,Configs can be set in Configuration class directly or using helper,not
python/examples/pick_kube_config_context.py,36,utility,not
python/examples/pod_exec.py,1,Copyright 2019 The Kubernetes Authors.,not
python/examples/pod_exec.py,2,,not
python/examples/pod_exec.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
python/examples/pod_exec.py,4,you may not use this file except in compliance with the License.,not
python/examples/pod_exec.py,5,You may obtain a copy of the License at,not
python/examples/pod_exec.py,6,,not
python/examples/pod_exec.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
python/examples/pod_exec.py,8,,not
python/examples/pod_exec.py,9,"Unless required by applicable law or agreed to in writing, software",not
python/examples/pod_exec.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
