file path,line #,comment,satd
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,11,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,12,Necessary Flags,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,13,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,29,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,30,status flags,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,31,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,41,Store all elemnts in FLAG structure!,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,44,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,45,handling errors!,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,46,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,50,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,51,Load and Organize Data,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,52,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,63,Download and get MNIST dataset(available in tensorflow.contrib.learn.python.learn.datasets.mnist),not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,64,It checks and download MNIST if it's not already downloaded then extract it.,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,65,The 'reshape' is True by default to extract feature vectors but we set it to false to we get the original images.,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,68,The 'input.provide_data' is provided to organize any custom dataset which has specific characteristics.,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,71,Dimentionality of train,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,74,Dimensions,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,80,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,81,Defining Graph,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,82,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,86,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,87,Parameters,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,88,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,90,global step,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,93,,not
TensorFlow-Course/codes/ipython/3-neural_networks/convolutional-neural-network/code/test_classifier.py,94,Defining place holders,not
