file path,line #,comment,satd
XX-Net/code/default/x_tunnel/local/front_dispatcher.py,100,"xlog.debug(""front request %s timeout:%d"", path, timeout)",
XX-Net/code/default/x_tunnel/local/direct_front.py,2,This front is for debug,
XX-Net/code/default/x_tunnel/local/direct_front.py,43,self.second_stats = Queue.deque(),
XX-Net/code/default/x_tunnel/local/direct_front.py,76,use http to avoid cert fail,
XX-Net/code/default/x_tunnel/local/direct_front.py,81,"xlog.debug(""gae_proxy %s %s"", method, url)",
XX-Net/code/default/x_tunnel/local/web_control.py,1,!/usr/bin/env python,
XX-Net/code/default/x_tunnel/local/web_control.py,2,coding:utf-8,
XX-Net/code/default/x_tunnel/local/web_control.py,216,username = utils.get_printable(username),
XX-Net/code/default/x_tunnel/local/web_control.py,281,"""auto""",
XX-Net/code/default/x_tunnel/local/web_control.py,285,"""selectable""",
XX-Net/code/default/x_tunnel/local/web_control.py,286,"""unselectable""",
XX-Net/code/default/x_tunnel/local/web_control.py,292,"""auto"" as default",
XX-Net/code/default/x_tunnel/local/client.py,20,"don't remove, launcher web_control need it.",
XX-Net/code/default/x_tunnel/local/client.py,45,"don't remove, launcher web_control need it.",
XX-Net/code/default/x_tunnel/local/client.py,90,performance parameters,
XX-Net/code/default/x_tunnel/local/client.py,91,range 2 - 100,
XX-Net/code/default/x_tunnel/local/client.py,94,min roundtrip on road if connectoin exist,
XX-Net/code/default/x_tunnel/local/client.py,97,"range 1 - 1000, ms",
XX-Net/code/default/x_tunnel/local/client.py,100,"range 1 - 20000, ms",
XX-Net/code/default/x_tunnel/local/client.py,103,"range 1 - resend_timeout, ms",
XX-Net/code/default/x_tunnel/local/client.py,106,max 10M,
XX-Net/code/default/x_tunnel/local/client.py,109,range 1 - 30,
XX-Net/code/default/x_tunnel/local/client.py,116,reporter,
XX-Net/code/default/x_tunnel/local/proxy_session.py,47,"lock for conn_id, sn generation, on_road_num change,",
XX-Net/code/default/x_tunnel/local/proxy_session.py,89,"sn => (payload, send_time)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,90,sn => acked,
XX-Net/code/default/x_tunnel/local/proxy_session.py,358,create connection,
XX-Net/code/default/x_tunnel/local/proxy_session.py,359,TCP,
XX-Net/code/default/x_tunnel/local/proxy_session.py,377,self.conn_list = {},
XX-Net/code/default/x_tunnel/local/proxy_session.py,391,"xlog.debug(""upload conn_id:%d, len:%d"", conn_id, len(data))",
XX-Net/code/default/x_tunnel/local/proxy_session.py,399,"xlog.debug(""notify on send conn data"")",
XX-Net/code/default/x_tunnel/local/proxy_session.py,464,"xlog.debug(""conn exist and on_road_num:%d"", self.on_road_num)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,487,"xlog.debug(""ack: %d"", sn)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,497,"xlog.debug(""last_ack:%d sn:%d"", last_ack, sn)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,516,"xlog.debug(""conn:%d upload data len:%d"", conn_id, len(payload))",
XX-Net/code/default/x_tunnel/local/proxy_session.py,528,"xlog.debug(""upload sn:%d len:%d"", sn, plen)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,594,"xlog.debug(""start roundtrip transfer_no:%d send_data_len:%d ack_len:%d timeout:%d"",",
XX-Net/code/default/x_tunnel/local/proxy_session.py,595,"transfer_no, send_data_len, send_ack_len, server_timeout)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,651,error report,
XX-Net/code/default/x_tunnel/local/proxy_session.py,654,"xlog.warn(""report code:%d, msg:%s"", error_code, message)",
XX-Net/code/default/x_tunnel/local/proxy_session.py,656,no quota,
XX-Net/code/default/x_tunnel/local/proxy_session.py,661,unpack error,
XX-Net/code/default/x_tunnel/local/proxy_session.py,666,session not exist,
XX-Net/code/default/x_tunnel/local/proxy_session.py,678,normal download traffic pack,
XX-Net/code/default/x_tunnel/local/gae_front.py,54,use http to avoid cert fail,
XX-Net/code/default/x_tunnel/local/gae_front.py,59,"xlog.debug(""gae_proxy %s %s"", method, url)",
XX-Net/code/default/x_tunnel/local/base_container.py,105,"xlog.info(""Ack_pool reset"")",
XX-Net/code/default/x_tunnel/local/base_container.py,109,"xlog.info(""Ack_pool reset finished"")",
XX-Net/code/default/x_tunnel/local/base_container.py,112,"xlog.debug(""Ack_pool put len:%d"", len(data))",
XX-Net/code/default/x_tunnel/local/base_container.py,122,"xlog.debug(""Ack_pool get len:%d"", len(data))",
