file path,line #,comment,satd
YouCompleteMe/.ycm_extra_conf.py,1,"This file is NOT licensed under the GPLv3, which is the license for the rest",
YouCompleteMe/.ycm_extra_conf.py,2,of YouCompleteMe.,
YouCompleteMe/.ycm_extra_conf.py,3,,
YouCompleteMe/.ycm_extra_conf.py,4,Here's the license text for this file:,
YouCompleteMe/.ycm_extra_conf.py,5,,
YouCompleteMe/.ycm_extra_conf.py,6,This is free and unencumbered software released into the public domain.,
YouCompleteMe/.ycm_extra_conf.py,7,,
YouCompleteMe/.ycm_extra_conf.py,8,"Anyone is free to copy, modify, publish, use, compile, sell, or",
YouCompleteMe/.ycm_extra_conf.py,9,"distribute this software, either in source code form or as a compiled",
YouCompleteMe/.ycm_extra_conf.py,10,"binary, for any purpose, commercial or non-commercial, and by any",
YouCompleteMe/.ycm_extra_conf.py,11,means.,
YouCompleteMe/.ycm_extra_conf.py,12,,
YouCompleteMe/.ycm_extra_conf.py,13,"In jurisdictions that recognize copyright laws, the author or authors",
YouCompleteMe/.ycm_extra_conf.py,14,of this software dedicate any and all copyright interest in the,
YouCompleteMe/.ycm_extra_conf.py,15,software to the public domain. We make this dedication for the benefit,
YouCompleteMe/.ycm_extra_conf.py,16,of the public at large and to the detriment of our heirs and,
YouCompleteMe/.ycm_extra_conf.py,17,successors. We intend this dedication to be an overt act of,
YouCompleteMe/.ycm_extra_conf.py,18,relinquishment in perpetuity of all present and future rights to this,
YouCompleteMe/.ycm_extra_conf.py,19,software under copyright law.,
YouCompleteMe/.ycm_extra_conf.py,20,,
YouCompleteMe/.ycm_extra_conf.py,21,"THE SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,",
YouCompleteMe/.ycm_extra_conf.py,22,"EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF",
YouCompleteMe/.ycm_extra_conf.py,23,"MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT.",
YouCompleteMe/.ycm_extra_conf.py,24,"IN NO EVENT SHALL THE AUTHORS BE LIABLE FOR ANY CLAIM, DAMAGES OR",
YouCompleteMe/.ycm_extra_conf.py,25,"OTHER LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE,",
YouCompleteMe/.ycm_extra_conf.py,26,"ARISING FROM, OUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR",
YouCompleteMe/.ycm_extra_conf.py,27,OTHER DEALINGS IN THE SOFTWARE.,
YouCompleteMe/.ycm_extra_conf.py,28,,
YouCompleteMe/.ycm_extra_conf.py,29,"For more information, please refer to <http://unlicense.org/>",
YouCompleteMe/.ycm_extra_conf.py,60,The concurrent.futures module is part of the standard library on Python 3.,
YouCompleteMe/run_tests.py,1,!/usr/bin/env python,
YouCompleteMe/run_tests.py,13,We don't include python-future (not to be confused with pythonfutures) because,
YouCompleteMe/run_tests.py,14,it needs to be inserted in sys.path AFTER the standard library imports but we,
YouCompleteMe/run_tests.py,15,can't do that with PYTHONPATH because the std lib paths are always appended to,
YouCompleteMe/run_tests.py,16,PYTHONPATH. We do it correctly inside Vim because we have access to the right,
YouCompleteMe/run_tests.py,17,"sys.path. So for dev, we rely on python-future being installed correctly with",
YouCompleteMe/run_tests.py,18,,
YouCompleteMe/run_tests.py,19,pip install -r python/test_requirements.txt,
YouCompleteMe/run_tests.py,20,,
YouCompleteMe/run_tests.py,21,Pip knows how to install this correctly so that it doesn't matter where in,
YouCompleteMe/run_tests.py,22,sys.path the path is.,
YouCompleteMe/install.py,1,!/usr/bin/env python3,
YouCompleteMe/install.py,40,Remove old YCM libs if present so that YCM can start.,
YouCompleteMe/python/ycm/base.py,1,"Copyright (C) 2011, 2012  Google Inc.",
YouCompleteMe/python/ycm/base.py,2,,
YouCompleteMe/python/ycm/base.py,3,This file is part of YouCompleteMe.,
YouCompleteMe/python/ycm/base.py,4,,
YouCompleteMe/python/ycm/base.py,5,YouCompleteMe is free software: you can redistribute it and/or modify,
YouCompleteMe/python/ycm/base.py,6,it under the terms of the GNU General Public License as published by,
YouCompleteMe/python/ycm/base.py,7,"the Free Software Foundation, either version 3 of the License, or",
YouCompleteMe/python/ycm/base.py,8,(at your option) any later version.,
YouCompleteMe/python/ycm/base.py,9,,
YouCompleteMe/python/ycm/base.py,10,"YouCompleteMe is distributed in the hope that it will be useful,",
YouCompleteMe/python/ycm/base.py,11,but WITHOUT ANY WARRANTY; without even the implied warranty of,
YouCompleteMe/python/ycm/base.py,12,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,
YouCompleteMe/python/ycm/base.py,13,GNU General Public License for more details.,
YouCompleteMe/python/ycm/base.py,14,,
YouCompleteMe/python/ycm/base.py,15,You should have received a copy of the GNU General Public License,
YouCompleteMe/python/ycm/base.py,16,"along with YouCompleteMe.  If not, see <http://www.gnu.org/licenses/>.",
YouCompleteMe/python/ycm/base.py,27,We only evaluate the keys of the vim globals and not the whole dictionary,
YouCompleteMe/python/ycm/base.py,28,to avoid unicode issues.,
YouCompleteMe/python/ycm/base.py,29,See https://github.com/Valloric/YouCompleteMe/pull/2151 for details.,
YouCompleteMe/python/ycm/base.py,53,"If the whole line is whitespace, that means the user probably finished an",
YouCompleteMe/python/ycm/base.py,54,identifier on the previous line.,
YouCompleteMe/python/ycm/base.py,120,Truncate the longer string.,
YouCompleteMe/python/ycm/base.py,129,Start by looking for a single character match,
YouCompleteMe/python/ycm/base.py,130,and increase length until no match is found.,
YouCompleteMe/python/ycm/signature_help.py,1,Copyright (C) 2011-2018 YouCompleteMe contributors,
YouCompleteMe/python/ycm/signature_help.py,2,,
YouCompleteMe/python/ycm/signature_help.py,3,This file is part of YouCompleteMe.,
YouCompleteMe/python/ycm/signature_help.py,4,,
YouCompleteMe/python/ycm/signature_help.py,5,YouCompleteMe is free software: you can redistribute it and/or modify,
YouCompleteMe/python/ycm/signature_help.py,6,it under the terms of the GNU General Public License as published by,
YouCompleteMe/python/ycm/signature_help.py,7,"the Free Software Foundation, either version 3 of the License, or",
YouCompleteMe/python/ycm/signature_help.py,8,(at your option) any later version.,
YouCompleteMe/python/ycm/signature_help.py,9,,
YouCompleteMe/python/ycm/signature_help.py,10,"YouCompleteMe is distributed in the hope that it will be useful,",
YouCompleteMe/python/ycm/signature_help.py,11,but WITHOUT ANY WARRANTY; without even the implied warranty of,
YouCompleteMe/python/ycm/signature_help.py,12,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,
YouCompleteMe/python/ycm/signature_help.py,13,GNU General Public License for more details.,
YouCompleteMe/python/ycm/signature_help.py,14,,
YouCompleteMe/python/ycm/signature_help.py,15,You should have received a copy of the GNU General Public License,
YouCompleteMe/python/ycm/signature_help.py,16,"along with YouCompleteMe.  If not, see <http://www.gnu.org/licenses/>.",
YouCompleteMe/python/ycm/signature_help.py,54,1-based,
YouCompleteMe/python/ycm/signature_help.py,73,noqa,
YouCompleteMe/python/ycm/signature_help.py,81,TODO/FIXME: Should we use popup_hide() instead ?,
YouCompleteMe/python/ycm/signature_help.py,90,Generate the buffer as a list of lines,
YouCompleteMe/python/ycm/signature_help.py,94,anchor 0-based,
YouCompleteMe/python/ycm/signature_help.py,95,anchor 0-based,
YouCompleteMe/python/ycm/signature_help.py,97,Simulate 'flip' at the screen boundaries by using screenpos and hiding the,
YouCompleteMe/python/ycm/signature_help.py,98,signature help menu if it overlaps the completion popup (pum).,
YouCompleteMe/python/ycm/signature_help.py,99,,
YouCompleteMe/python/ycm/signature_help.py,100,FIXME: revert to cursor-relative positioning and the 'flip' option when that,
YouCompleteMe/python/ycm/signature_help.py,101,is implemented (if that is indeed better).,
YouCompleteMe/python/ycm/signature_help.py,103,By default display above the anchor,
YouCompleteMe/python/ycm/signature_help.py,104,-1 to display above the cur line,
YouCompleteMe/python/ycm/signature_help.py,109,"No room at the top, display below",
YouCompleteMe/python/ycm/signature_help.py,113,Don't allow the popup to overlap the cursor,
YouCompleteMe/python/ycm/signature_help.py,119,Don't allow the popup to overlap the pum,
YouCompleteMe/python/ycm/signature_help.py,130,Nowhere to put it so hide it,
YouCompleteMe/python/ycm/signature_help.py,132,TODO/FIXME: Should we use popup_hide() instead ?,
YouCompleteMe/python/ycm/signature_help.py,139,"-1 for padding,",
YouCompleteMe/python/ycm/signature_help.py,140,-1 for the trigger character inserted (the anchor is set _after_ the,
YouCompleteMe/python/ycm/signature_help.py,141,"character is inserted, so we remove it).",
YouCompleteMe/python/ycm/signature_help.py,142,FIXME: multi-byte characters would be wrong. Need to set anchor before,
YouCompleteMe/python/ycm/signature_help.py,143,inserting the char ?,
YouCompleteMe/python/ycm/signature_help.py,154,"NOTE: We *dont'* use ""cursorline"" here - that actually uses PMenuSel,",
YouCompleteMe/python/ycm/signature_help.py,155,which is just too invasive for us (it's more selected item than actual,
