file path,line #,comment,satd
ZeroNet/zeronet.py,1,!/usr/bin/env python3,
ZeroNet/zeronet.py,18,Prevent closing,
ZeroNet/zeronet.py,34,Updater,
ZeroNet/zeronet.py,78,Close log files,
ZeroNet/zeronet.py,88,Wait for files to close,
ZeroNet/zeronet.py,93,Frozen mac fix,
ZeroNet/zeronet.py,98,Don't open browser after restart,
ZeroNet/zeronet.py,100,argument value,
ZeroNet/zeronet.py,101,argument key,
ZeroNet/zeronet.py,104,Only the executable,
ZeroNet/zeronet.py,106,"Interpter, .py file path",
ZeroNet/zeronet.py,124,Change working dir to zeronet.py dir,
ZeroNet/zeronet.py,125,External liblary directory,
ZeroNet/zeronet.py,126,Imports relative to src,
ZeroNet/start.py,1,!/usr/bin/env python3,
ZeroNet/start.py,4,Included modules,
ZeroNet/start.py,7,ZeroNet Modules,
ZeroNet/update.py,37,Keep file only in ZeroNet directory,
ZeroNet/update.py,40,Checking plugins,
ZeroNet/update.py,56,Make sure we have unix path,
ZeroNet/update.py,68,Keep plugin disabled/enabled status,
ZeroNet/update.py,72,Plugin was enabled,
ZeroNet/update.py,74,Plugin was disabled,
ZeroNet/update.py,108,Copy permissions,
ZeroNet/update.py,118,Imports relative to src,
ZeroNet/src/main.py,1,Included modules,
ZeroNet/src/main.py,13,Third party modules,
ZeroNet/src/main.py,16,Workaround for random crash when libuv used with threads,
ZeroNet/src/main.py,25,If set True then update and restart zeronet after main loop ended,
ZeroNet/src/main.py,26,If set True then restart zeronet after main loop ended,
ZeroNet/src/main.py,28,Load config,
ZeroNet/src/main.py,30,Plugins need to access the configuration,
ZeroNet/src/main.py,31,"Config parse failed, show the help screen and exit",
ZeroNet/src/main.py,70,Debug dependent configuration,
ZeroNet/src/main.py,73,Load plugins,
ZeroNet/src/main.py,77,Parse again to add plugin configuration options,
ZeroNet/src/main.py,79,Log current config,
ZeroNet/src/main.py,82,Modify stack size on special hardwares,
ZeroNet/src/main.py,87,Use pure-python implementation of msgpack to save CPU,
ZeroNet/src/main.py,91,Fix console encoding on Windows,
ZeroNet/src/main.py,100,Socket monkey patch,
ZeroNet/src/main.py,106,Do not accept connections anywhere but localhost,
ZeroNet/src/main.py,107,UDP not supported currently with proxy,
ZeroNet/src/main.py,114,Do not accept connections anywhere but localhost,
ZeroNet/src/main.py,124,-- Actions --,
ZeroNet/src/main.py,137,Default action: Start serving UiServer and FileServer,
ZeroNet/src/main.py,159,Site commands,
ZeroNet/src/main.py,215,If no privatekey defined,
ZeroNet/src/main.py,224,"Not found in users.json, ask from console",
ZeroNet/src/main.py,406,We need fileserver to handle incoming file requests,
ZeroNet/src/main.py,411,Serving the site even if its disabled,
ZeroNet/src/main.py,425,Dont check every site integrity,
ZeroNet/src/main.py,428,Started fileserver,
ZeroNet/src/main.py,430,Announce ip specificed,
ZeroNet/src/main.py,432,Just ask the tracker,
ZeroNet/src/main.py,434,Gather peers,
ZeroNet/src/main.py,435,Push to peers,
ZeroNet/src/main.py,444,Crypto commands,
ZeroNet/src/main.py,447,If no privatekey in args then ask it now,
ZeroNet/src/main.py,469,Peer,
ZeroNet/src/main.py,566,"No test specificed, list tests",
ZeroNet/src/main.py,577,Run tests,
