file path,line #,comment,satd
algorithms/tests/test_matrix.py,122,example taken from https://ece.uwaterloo.ca/~dwharder/NumericalAnalysis/04LinearAlgebra/cholesky/,
algorithms/tests/test_maths.py,251,def test_key_generator(self):  # this test takes a while!,
algorithms/tests/test_maths.py,252,for i in range(100):,
algorithms/tests/test_maths.py,253,"print(""step {0}"".format(i))",
algorithms/tests/test_maths.py,254,"n, e, d = generate_key(26)",
algorithms/tests/test_maths.py,255,data = 2,
algorithms/tests/test_maths.py,256,"en = encrypt(data, e, n)",
algorithms/tests/test_maths.py,257,"dec = decrypt(en, d, n)",
algorithms/tests/test_maths.py,258,"self.assertEqual(data,dec)",
algorithms/tests/test_backtrack.py,31,"""123"", 6 -> [""1+2+3"", ""1*2*3""]",
algorithms/tests/test_backtrack.py,35,"""232"", 8 -> [""2*3+2"", ""2+3*2""]",
algorithms/tests/test_queues.py,22,test __iter__(),
algorithms/tests/test_queues.py,29,test __len__(),
algorithms/tests/test_queues.py,32,test is_empty(),
algorithms/tests/test_queues.py,35,test peek(),
algorithms/tests/test_queues.py,38,test dequeue(),
algorithms/tests/test_queues.py,51,test __iter__(),
algorithms/tests/test_queues.py,58,test __len__(),
algorithms/tests/test_queues.py,61,test is_empty(),
algorithms/tests/test_queues.py,64,test peek(),
algorithms/tests/test_queues.py,67,test dequeue(),
algorithms/tests/test_unix.py,18,Test full path relative,
algorithms/tests/test_unix.py,21,Test full path with expanding user,
algorithms/tests/test_unix.py,22,~/file_name,
algorithms/tests/test_unix.py,27,Test url path,
algorithms/tests/test_unix.py,32,Test file path,
algorithms/tests/test_bit.py,42,8 -> 1000,
algorithms/tests/test_bit.py,45,109 -> 1101101,
algorithms/tests/test_bit.py,48,63 -> 111111,
algorithms/tests/test_bit.py,51,0 -> 0,
algorithms/tests/test_bit.py,56,8 -> 1000,
algorithms/tests/test_bit.py,59,109 -> 1101101,
algorithms/tests/test_bit.py,62,63 -> 111111,
algorithms/tests/test_bit.py,65,0 -> 0,
algorithms/tests/test_bit.py,69,29: 11101 and 15: 01111,
algorithms/tests/test_bit.py,71,45: 0000101101 and 987: 1111011011,
algorithms/tests/test_bit.py,73,34: 100010,
algorithms/tests/test_bit.py,75,34: 100010 and 53: 110101,
algorithms/tests/test_bit.py,99,1775: 11011101111,
algorithms/tests/test_bit.py,101,5: 101,
algorithms/tests/test_bit.py,103,71: 1000111,
algorithms/tests/test_bit.py,105,0: 0,
algorithms/tests/test_bit.py,122,bin(0) => 00000000000000000000000000000000,
algorithms/tests/test_bit.py,125,bin(2**32 - 1) => 11111111111111111111111111111111,
algorithms/tests/test_bit.py,137,nums contains pairs of random integers,
algorithms/tests/test_bit.py,148,nums contains triplets of random integers,
algorithms/tests/test_bit.py,170,22 = 10110,
algorithms/tests/test_bit.py,175,22 = 10110  --> after set bit at 3th position: 30 = 11110,
algorithms/tests/test_bit.py,179,22 = 10110 --> after clear bit at 2nd position: 20 = 10010,
algorithms/tests/test_bit.py,183,22 = 10110 --> after update bit at 3th position with value 1: 30 = 11110,
algorithms/tests/test_bit.py,185,22 = 10110 --> after update bit at 2nd position with value 0: 20 = 10010,
algorithms/tests/test_bit.py,201,22: 10110  --> 41: 101001,
algorithms/tests/test_bit.py,203,10: 1010   --> 5 : 0101,
algorithms/tests/test_bit.py,257,22 = 10110,
algorithms/tests/test_bit.py,259,6 = 110,
algorithms/tests/test_bit.py,261,8 = 1000,
algorithms/tests/test_bit.py,263,145 = 10010001,
algorithms/tests/test_ml.py,10,train set for the AND-function,
algorithms/tests/test_ml.py,13,train set for light or dark colors,
algorithms/tests/test_ml.py,18,AND-function,
algorithms/tests/test_ml.py,22,dark/light color test,
algorithms/tests/test_linkedlist.py,22,Convert from linked list Node to list for testing,
algorithms/tests/test_linkedlist.py,35,list test for palindrome,
algorithms/tests/test_linkedlist.py,65,head -> -2 -> 2 -> 2 -> 4 -> 9,
algorithms/tests/test_linkedlist.py,72,head -> 1 -> 2 -> 8 -> 4 -> 6,
algorithms/tests/test_linkedlist.py,76,Test case: middle case.,
algorithms/tests/test_linkedlist.py,82,Expect output: 0 4,
algorithms/tests/test_linkedlist.py,85,Test case: taking out the front node,
algorithms/tests/test_linkedlist.py,91,Expect output: 2 3 4,
algorithms/tests/test_linkedlist.py,94,Test case: removing all the nodes,
algorithms/tests/test_linkedlist.py,107,Expect output : 2 --> 1 --> 4 --> 3,
algorithms/tests/test_linkedlist.py,111,Given 1->2->3->4->5->NULL,
algorithms/tests/test_linkedlist.py,117,K = 2. Expect output: 4->5->1->2->3->NULL.,
algorithms/tests/test_linkedlist.py,121,create linked list => A -> B -> C -> D -> E -> C,
algorithms/tests/test_linkedlist.py,135,create linked list 1 -> 2 -> 3 -> 4,
algorithms/tests/test_linkedlist.py,156,Test recursive,
algorithms/tests/test_bfs.py,37,hit -> hot -> dot -> dog -> cog,
algorithms/tests/test_bfs.py,40,pick -> sick -> sink -> sank -> tank == 5,
algorithms/tests/test_bfs.py,44,"live -> life == 1, no matter what is the word_list.",
algorithms/tests/test_bfs.py,47,0 length from ate -> ate,
algorithms/tests/test_bfs.py,50,not possible to reach !,
algorithms/tests/test_sort.py,116,print(res),
algorithms/tests/test_stack.py,25,"Test case: bottom [6, 3, 5, 1, 2, 4] top",
algorithms/tests/test_stack.py,31,"Test case: bottom [2, 8, 3, -6, 7, 3] top",
algorithms/tests/test_stack.py,33,"Test case: 2 smallest value [2, 8, 3, 7, 3]",
algorithms/tests/test_stack.py,37,"Test case: bottom [3, 7, 1, 14, 9] top",
algorithms/tests/test_stack.py,44,Test case: even number of values in stack,
algorithms/tests/test_stack.py,45,"bottom [3, 8, 17, 9, 1, 10] top",
algorithms/tests/test_stack.py,50,Test case: odd number of values in stack,
algorithms/tests/test_stack.py,51,"bottom [3, 8, 17, 9, 1] top",
algorithms/tests/test_stack.py,77,test __iter__(),
algorithms/tests/test_stack.py,84,test __len__(),
algorithms/tests/test_stack.py,87,test __str__(),
algorithms/tests/test_stack.py,90,test is_empty(),
algorithms/tests/test_stack.py,93,test peek(),
algorithms/tests/test_stack.py,96,test pop(),
algorithms/tests/test_stack.py,110,test __iter__(),
algorithms/tests/test_stack.py,117,test __len__(),
algorithms/tests/test_stack.py,120,test __str__(),
algorithms/tests/test_stack.py,123,test is_empty(),
algorithms/tests/test_stack.py,126,test peek(),
algorithms/tests/test_stack.py,129,test pop(),
algorithms/tests/test_search.py,37,Test binary_search_recur,
algorithms/tests/test_search.py,67,test two_sum,
algorithms/tests/test_search.py,70,test two_sum1,
algorithms/tests/test_search.py,73,test two_sum2,
algorithms/tests/test_search.py,88,Test find min using recursion,
algorithms/tests/test_graph.py,26,Graph from https://en.wikipedia.org/wiki/File:Scc.png,
algorithms/tests/test_graph.py,42,Graph from https://en.wikipedia.org/wiki/Tarjan%27s_strongly_connected_components_algorithm#/media/File:Tarjan%27s_Algorithm_Animation.gif,
algorithms/tests/test_graph.py,231,adjacency list representation of graph,
algorithms/tests/test_map.py,35,and does not search forever,
algorithms/tests/test_strings.py,176,'Otto' is a old german name.,
algorithms/tests/test_strings.py,181,'Otto' is a old german name.,
algorithms/tests/test_strings.py,186,'Otto' is a old german name.,
algorithms/tests/test_strings.py,191,'Otto' is a old german name.,
algorithms/tests/test_strings.py,379,class TestStripUrlParams(unittest.TestCase):,
algorithms/tests/test_strings.py,380,"""""""[summary]",
algorithms/tests/test_strings.py,381,Test for the file strip_urls_params.py,
algorithms/tests/test_strings.py,383,Arguments:,
algorithms/tests/test_strings.py,384,unittest {[type]} -- [description],
algorithms/tests/test_strings.py,385,"""""""",
algorithms/tests/test_strings.py,387,def test_strip_url_params1(self):,
algorithms/tests/test_strings.py,388,"self.assertEqual(strip_url_params1(""www.saadbenn.com?a=1&b=2&a=2""), ""www.saadbenn.com?a=1&b=2"")",
algorithms/tests/test_strings.py,389,"self.assertEqual(strip_url_params1(""www.saadbenn.com?a=1&b=2"", ['b']), ""www.saadbenn.com?a=1"")",
algorithms/tests/test_strings.py,390,def test_strip_url_params2(self):,
algorithms/tests/test_strings.py,391,"self.assertEqual(strip_url_params2(""www.saadbenn.com?a=1&b=2&a=2""), ""www.saadbenn.com?a=1&b=2"")",
algorithms/tests/test_strings.py,392,"self.assertEqual(strip_url_params2(""www.saadbenn.com?a=1&b=2"", ['b']), ""www.saadbenn.com?a=1"")",
algorithms/tests/test_strings.py,393,def test_strip_url_params3(self):,
algorithms/tests/test_strings.py,394,"self.assertEqual(strip_url_params3(""www.saadbenn.com?a=1&b=2&a=2""), ""www.saadbenn.com?a=1&b=2"")",
algorithms/tests/test_strings.py,395,"self.assertEqual(strip_url_params3(""www.saadbenn.com?a=1&b=2"", ['b']), ""www.saadbenn.com?a=1"")",
algorithms/tests/test_strings.py,502,Test first solution,
algorithms/tests/test_strings.py,505,Test second solution,
algorithms/tests/test_strings.py,508,Test third solution,
algorithms/tests/test_heap.py,26,"Before insert 2: [0, 4, 50, 7, 55, 90, 87]",
