file path,line #,comment,satd
ansible/setup.py,54,We do not support absolute symlinks at all,not
ansible/setup.py,63,Count how many directory levels from the topdir we are,not
ansible/setup.py,66,Count the number of directory levels higher we walk up the tree in target,not
ansible/setup.py,71,"If we walk past the topdir, then don't store",not
ansible/setup.py,77,"If we managed to stay within the tree, store the symlink",not
ansible/setup.py,94,Try the cache first because going from git checkout to sdist is the,not
ansible/setup.py,95,only time we know that we're going to cache correctly,not
ansible/setup.py,99,"IOError on py2, OSError on py3.  Both have errno",not
ansible/setup.py,101,SYMLINKS_CACHE doesn't exist.  Fallback to trying to create the,not
ansible/setup.py,102,cache now.  Will work if we're running directly from a git,not
ansible/setup.py,103,checkout or from an sdist created earlier.,not
ansible/setup.py,111,Sanity check that something we know should be a symlink was,not
ansible/setup.py,112,found.  We'll take that to mean that the current directory,not
ansible/setup.py,113,structure properly reflects symlinks in the git repo,not
ansible/setup.py,134,File does not exist which is all we wanted,not
ansible/setup.py,165,have to generate the cache of symlinks for release as sdist is the,not
ansible/setup.py,166,only command that has access to symlinks from the git repo,not
ansible/setup.py,177,Print warnings at the end because no one will see warnings before all the normal status,not
ansible/setup.py,178,output,not
ansible/setup.py,219,Attempt to set version requirements,not
ansible/setup.py,242,Retrieve the long description from the README,not
ansible/setup.py,251,Use the distutils SDist so that symlinks are not expanded,not
ansible/setup.py,252,Use a custom Build for the same reason,not
ansible/setup.py,275,Ansible will also make use of a system copy of python-six and,not
ansible/setup.py,276,python-selectors2 if installed but use a Bundled copy if it's not.,not
ansible/setup.py,316,Installing as zip files would break due to references to __file__,not
ansible/lib/ansible/constants.py,1,"Copyright: (c) 2012-2014, Michael DeHaan <michael.dehaan@gmail.com>",not
ansible/lib/ansible/constants.py,2,"Copyright: (c) 2017, Ansible Project",not
ansible/lib/ansible/constants.py,3,GNU General Public License v3.0+ (see COPYING or https://www.gnu.org/licenses/gpl-3.0.txt),not
ansible/lib/ansible/constants.py,53,small reconstruction of the old code env/ini/default,not
ansible/lib/ansible/constants.py,88,Deprecated constants,not
ansible/lib/ansible/constants.py,97,"CONSTANTS ### yes, actual ones",not
ansible/lib/ansible/constants.py,102,characters included in auto-generated passwords,not
ansible/lib/ansible/constants.py,105,"FIXME: expand to other plugins, but never doc fragments",SATD
ansible/lib/ansible/constants.py,107,NOTE: always update the docs/docsite/Makefile to match,not
ansible/lib/ansible/constants.py,109,ignore during module search,not
ansible/lib/ansible/constants.py,121,"This matches a string that cannot be used as a valid python variable name i.e 'not-valid', 'not!valid@either' '1_nor_This'",not
ansible/lib/ansible/constants.py,125,FIXME: remove once play_context mangling is removed,SATD
ansible/lib/ansible/constants.py,126,the magic variable mapping dictionary below is used to translate,not
ansible/lib/ansible/constants.py,127,host/inventory variables to fields in the PlayContext,not
ansible/lib/ansible/constants.py,128,"object. The dictionary values are tuples, to account for aliases",not
ansible/lib/ansible/constants.py,129,in variable names.,not
ansible/lib/ansible/constants.py,137,base,not
ansible/lib/ansible/constants.py,143,connection common,not
ansible/lib/ansible/constants.py,152,networking modules,not
ansible/lib/ansible/constants.py,156,ssh TODO: remove,SATD
ansible/lib/ansible/constants.py,164,docker TODO: remove,SATD
ansible/lib/ansible/constants.py,167,become,not
ansible/lib/ansible/constants.py,176,POPULATE SETTINGS FROM CONFIG,not
ansible/lib/ansible/constants.py,179,Generate constants from config,not
ansible/lib/ansible/constants.py,192,not a python data structure,not
ansible/lib/ansible/constants.py,194,not templatable,not
ansible/lib/ansible/context.py,1,"Copyright: (c) 2018, Toshio Kuratomi <tkuratomi@ansible.com>",not
ansible/lib/ansible/context.py,2,GNU General Public License v3.0+ (see COPYING or https://www.gnu.org/licenses/gpl-3.0.txt),not
ansible/lib/ansible/context.py,4,Make coding more python3-ish,not
ansible/lib/ansible/context.py,25,Note: this is not the singleton version.  The Singleton is only created once the program has,not
ansible/lib/ansible/context.py,26,actually parsed the args,not
ansible/lib/ansible/context.py,30,"This should be called immediately after cli_args are processed (parsed, validated, and any",not
ansible/lib/ansible/context.py,31,normalization performed on them).  No other code should call it,not
ansible/lib/ansible/release.py,1,"(c) 2012-2014, Michael DeHaan <michael.dehaan@gmail.com>",not
ansible/lib/ansible/release.py,2,,not
ansible/lib/ansible/release.py,3,This file is part of Ansible,not
ansible/lib/ansible/release.py,4,,not
ansible/lib/ansible/release.py,5,Ansible is free software: you can redistribute it and/or modify,not
ansible/lib/ansible/release.py,6,it under the terms of the GNU General Public License as published by,not
ansible/lib/ansible/release.py,7,"the Free Software Foundation, either version 3 of the License, or",not
ansible/lib/ansible/release.py,8,(at your option) any later version.,not
ansible/lib/ansible/release.py,9,,not
ansible/lib/ansible/release.py,10,"Ansible is distributed in the hope that it will be useful,",not
ansible/lib/ansible/release.py,11,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
ansible/lib/ansible/release.py,12,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,not
ansible/lib/ansible/release.py,13,GNU General Public License for more details.,not
ansible/lib/ansible/release.py,14,,not
ansible/lib/ansible/release.py,15,You should have received a copy of the GNU General Public License,not
ansible/lib/ansible/release.py,16,"along with Ansible.  If not, see <http://www.gnu.org/licenses/>.",not
ansible/lib/ansible/release.py,18,Make coding more python3-ish,not
ansible/lib/ansible/__init__.py,1,"(c) 2012-2014, Michael DeHaan <michael.dehaan@gmail.com>",not
ansible/lib/ansible/__init__.py,2,,not
ansible/lib/ansible/__init__.py,3,This file is part of Ansible,not
ansible/lib/ansible/__init__.py,4,,not
ansible/lib/ansible/__init__.py,5,Ansible is free software: you can redistribute it and/or modify,not
ansible/lib/ansible/__init__.py,6,it under the terms of the GNU General Public License as published by,not
ansible/lib/ansible/__init__.py,7,"the Free Software Foundation, either version 3 of the License, or",not
ansible/lib/ansible/__init__.py,8,(at your option) any later version.,not
ansible/lib/ansible/__init__.py,9,,not
ansible/lib/ansible/__init__.py,10,"Ansible is distributed in the hope that it will be useful,",not
ansible/lib/ansible/__init__.py,11,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
ansible/lib/ansible/__init__.py,12,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the,not
