file path,line #,comment,satd
bert/extract_features.py,1,coding=utf-8,
bert/extract_features.py,2,Copyright 2018 The Google AI Language Team Authors.,
bert/extract_features.py,3,,
bert/extract_features.py,4,"Licensed under the Apache License, Version 2.0 (the ""License"");",
bert/extract_features.py,5,you may not use this file except in compliance with the License.,
bert/extract_features.py,6,You may obtain a copy of the License at,
bert/extract_features.py,7,,
bert/extract_features.py,8,http://www.apache.org/licenses/LICENSE-2.0,
bert/extract_features.py,9,,
bert/extract_features.py,10,"Unless required by applicable law or agreed to in writing, software",
bert/extract_features.py,11,"distributed under the License is distributed on an ""AS IS"" BASIS,",
bert/extract_features.py,12,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",
bert/extract_features.py,13,See the License for the specific language governing permissions and,
bert/extract_features.py,14,limitations under the License.,
bert/extract_features.py,120,This is for demo purposes and does NOT scale to large data sets. We do,
bert/extract_features.py,121,not use Dataset.from_generator() because that uses tf.py_func which is,
bert/extract_features.py,122,not TPU compatible. The right way to load data is with TFRecordReader.,
bert/extract_features.py,152,pylint: disable=unused-argument,
bert/extract_features.py,222,Modifies `tokens_a` and `tokens_b` in place so that the total,
bert/extract_features.py,223,length is less than the specified length.,
bert/extract_features.py,224,"Account for [CLS], [SEP], [SEP] with ""- 3""",
bert/extract_features.py,227,"Account for [CLS] and [SEP] with ""- 2""",
bert/extract_features.py,231,The convention in BERT is:,
bert/extract_features.py,232,(a) For sequence pairs:,
bert/extract_features.py,233,tokens:   [CLS] is this jack ##son ##ville ? [SEP] no it is not . [SEP],
bert/extract_features.py,234,type_ids: 0     0  0    0    0     0       0 0     1  1  1  1   1 1,
bert/extract_features.py,235,(b) For single sequences:,
bert/extract_features.py,236,tokens:   [CLS] the dog is hairy . [SEP],
bert/extract_features.py,237,type_ids: 0     0   0   0  0     0 0,
bert/extract_features.py,238,,
bert/extract_features.py,239,"Where ""type_ids"" are used to indicate whether this is the first",
bert/extract_features.py,240,sequence or the second sequence. The embedding vectors for `type=0` and,
bert/extract_features.py,241,`type=1` were learned during pre-training and are added to the wordpiece,
bert/extract_features.py,242,embedding vector (and position vector). This is not *strictly* necessary,
bert/extract_features.py,243,"since the [SEP] token unambiguously separates the sequences, but it makes",
bert/extract_features.py,244,it easier for the model to learn the concept of sequences.,
bert/extract_features.py,245,,
bert/extract_features.py,246,"For classification tasks, the first vector (corresponding to [CLS]) is",
bert/extract_features.py,247,"used as as the ""sentence vector"". Note that this only makes sense because",
bert/extract_features.py,248,the entire model is fine-tuned.,
bert/extract_features.py,268,The mask has 1 for real tokens and 0 for padding tokens. Only real,
bert/extract_features.py,269,tokens are attended to.,
bert/extract_features.py,272,Zero-pad up to the sequence length.,
bert/extract_features.py,305,This is a simple heuristic which will always truncate the longer sequence,
bert/extract_features.py,306,one token at a time. This makes more sense than truncating an equal percent,
bert/extract_features.py,307,"of tokens from each, since if one sequence is very short then each token",
bert/extract_features.py,308,that's truncated likely contains more information than a longer sequence.,
bert/extract_features.py,376,"If TPU is not available, this will fall back to normal Estimator on CPU",
bert/extract_features.py,377,or GPU.,
bert/tokenization.py,1,coding=utf-8,
bert/tokenization.py,2,Copyright 2018 The Google AI Language Team Authors.,
bert/tokenization.py,3,,
bert/tokenization.py,4,"Licensed under the Apache License, Version 2.0 (the ""License"");",
bert/tokenization.py,5,you may not use this file except in compliance with the License.,
bert/tokenization.py,6,You may obtain a copy of the License at,
bert/tokenization.py,7,,
bert/tokenization.py,8,http://www.apache.org/licenses/LICENSE-2.0,
bert/tokenization.py,9,,
bert/tokenization.py,10,"Unless required by applicable law or agreed to in writing, software",
bert/tokenization.py,11,"distributed under the License is distributed on an ""AS IS"" BASIS,",
bert/tokenization.py,12,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",
bert/tokenization.py,13,See the License for the specific language governing permissions and,
bert/tokenization.py,14,limitations under the License.,
bert/tokenization.py,31,The casing has to be passed in by the user and there is no explicit check,
bert/tokenization.py,32,as to whether it matches the checkpoint. The casing information probably,
bert/tokenization.py,33,"should have been stored in the bert_config.json file, but it's not, so",
bert/tokenization.py,34,we have to heuristically detect it to validate.,
bert/tokenization.py,101,"These functions want `str` for both Python2 and Python3, but in one case",
bert/tokenization.py,102,it's a Unicode string and in the other it's a byte string.,
bert/tokenization.py,201,"This was added on November 1st, 2018 for the multilingual and Chinese",
bert/tokenization.py,202,"models. This is also applied to the English models now, but it doesn't",
bert/tokenization.py,203,matter since the English models were not trained on any Chinese data,
bert/tokenization.py,204,and generally don't have any Chinese data in them (there are Chinese,
bert/tokenization.py,205,characters in the vocabulary because Wikipedia does have some Chinese,
bert/tokenization.py,206,words in the English Wikipedia.).,
bert/tokenization.py,266,"This defines a ""chinese character"" as anything in the CJK Unicode block:",
bert/tokenization.py,267,https://en.wikipedia.org/wiki/CJK_Unified_Ideographs_(Unicode_block),
bert/tokenization.py,268,,
bert/tokenization.py,269,"Note that the CJK Unicode block is NOT all Japanese and Korean characters,",
bert/tokenization.py,270,"despite its name. The modern Korean Hangul alphabet is a different block,",
