file path,line #,comment,satd
black/setup.py,1,Copyright (C) 2020 Łukasz Langa,not
black/setup.py,7,noqa E402,not
black/setup.py,10,for setuptools.build_meta,not
black/setup.py,22,"To compile with mypyc, a mypyc checkout must be present on the PYTHONPATH",not
black/src/blib2to3/pygram.py,1,"Copyright 2006 Google, Inc. All Rights Reserved.",not
black/src/blib2to3/pygram.py,2,Licensed to PSF under a Contributor Agreement.,not
black/src/blib2to3/pygram.py,6,Python imports,not
black/src/blib2to3/pygram.py,11,Local imports,not
black/src/blib2to3/pygram.py,17,Moved into initialize because mypyc can't handle __file__ (XXX bug),not
black/src/blib2to3/pygram.py,18,# The grammar file,not
black/src/blib2to3/pygram.py,19,"_GRAMMAR_FILE = os.path.join(os.path.dirname(__file__), ""Grammar.txt"")",not
black/src/blib2to3/pygram.py,20,"_PATTERN_GRAMMAR_FILE = os.path.join(os.path.dirname(__file__),",not
black/src/blib2to3/pygram.py,21,"""PatternGrammar.txt"")",not
black/src/blib2to3/pygram.py,166,The grammar file,not
black/src/blib2to3/pygram.py,172,Python 2,not
black/src/blib2to3/pygram.py,177,Python 2 + from __future__ import print_function,not
black/src/blib2to3/pygram.py,181,Python 3.0-3.6,not
black/src/blib2to3/pygram.py,186,Python 3.7+,not
black/src/blib2to3/pytree.py,1,"Copyright 2006 Google, Inc. All Rights Reserved.",not
black/src/blib2to3/pytree.py,2,Licensed to PSF under a Contributor Agreement.,not
black/src/blib2to3/pytree.py,13,mypy: allow-untyped-defs,not
black/src/blib2to3/pytree.py,37,"maximum repeat count, default max",not
black/src/blib2to3/pytree.py,47,printing tokens is possible but not as useful,not
black/src/blib2to3/pytree.py,48,from .pgen2 import token // token.__dict__.items():,not
black/src/blib2to3/pytree.py,74,Default values for instance variables,not
black/src/blib2to3/pytree.py,75,int: token number (< 256) or symbol number (>= 256),not
black/src/blib2to3/pytree.py,76,"Parent node pointer, or None",not
black/src/blib2to3/pytree.py,77,List of subnodes,not
black/src/blib2to3/pytree.py,96,type: Any  # For Py3 compatibility.,not
black/src/blib2to3/pytree.py,386,Default values for instance variables,not
black/src/blib2to3/pytree.py,392,Whitespace and comments preceding this token in the input,not
black/src/blib2to3/pytree.py,393,Line where this token starts in the input,not
black/src/blib2to3/pytree.py,394,Column where this token starts in the input,not
black/src/blib2to3/pytree.py,488,"If there's exactly one child, return that child instead of",not
black/src/blib2to3/pytree.py,489,creating a new node.,not
black/src/blib2to3/pytree.py,517,Defaults for instance variables,not
black/src/blib2to3/pytree.py,519,"Node type (token if < 256, symbol if >= 256)",not
black/src/blib2to3/pytree.py,520,Optional content matching pattern,not
black/src/blib2to3/pytree.py,521,Optional name used to store match in results dict,not
black/src/blib2to3/pytree.py,756,Protect against alterations,not
black/src/blib2to3/pytree.py,757,Check sanity of alternatives,not
black/src/blib2to3/pytree.py,760,Can't have zero alternatives,not
black/src/blib2to3/pytree.py,762,Can have empty alternatives,not
black/src/blib2to3/pytree.py,824,Shortcut for special case (see __init__.__doc__),not
black/src/blib2to3/pytree.py,833,The reason for this is that hitting the recursion limit usually,not
black/src/blib2to3/pytree.py,834,results in some ugly messages about how RuntimeErrors are being,SATD
black/src/blib2to3/pytree.py,835,"ignored. We only have to do this on CPython, though, because other",not
black/src/blib2to3/pytree.py,836,implementations don't have this nasty bug in the first place.,not
black/src/blib2to3/pytree.py,846,We fall back to the iterative pattern matching scheme if the recursive,not
black/src/blib2to3/pytree.py,847,scheme hits the recursion limit.,not
black/src/blib2to3/pytree.py,863,generate matches that use just one alt from self.content,not
black/src/blib2to3/pytree.py,869,"for each match, iterate down the nodes",not
black/src/blib2to3/pytree.py,873,stop if the entire set of nodes has been matched,not
black/src/blib2to3/pytree.py,888,type: _Results,not
black/src/blib2to3/pytree.py,932,We never match a node in its entirety,not
black/src/blib2to3/pytree.py,936,We only match an empty sequence of nodes in its entirety,not
black/src/blib2to3/pytree.py,941,Return a match if there is an empty sequence,not
black/src/blib2to3/pytree.py,945,Return a match if the argument pattern has no matches,not
black/src/blib2to3/__init__.py,1,empty,not
black/src/blib2to3/pgen2/conv.py,1,"Copyright 2004-2005 Elemental Security, Inc. All Rights Reserved.",not
black/src/blib2to3/pgen2/conv.py,2,Licensed to PSF under a Contributor Agreement.,not
black/src/blib2to3/pgen2/conv.py,4,mypy: ignore-errors,not
black/src/blib2to3/pgen2/conv.py,31,Python imports,not
black/src/blib2to3/pgen2/conv.py,34,Local imports,not
black/src/blib2to3/pgen2/conv.py,118,The code below essentially uses f's iterator-ness!,not
black/src/blib2to3/pgen2/conv.py,121,Expect the two #include lines,not
black/src/blib2to3/pgen2/conv.py,127,Parse the state definitions,not
black/src/blib2to3/pgen2/conv.py,166,Parse the dfas,not
black/src/blib2to3/pgen2/conv.py,197,Parse the labels,not
black/src/blib2to3/pgen2/conv.py,218,Parse the grammar struct,not
black/src/blib2to3/pgen2/conv.py,250,map from keyword strings to arc labels,not
black/src/blib2to3/pgen2/conv.py,251,map from numeric token values to arc labels,not
black/src/blib2to3/pgen2/token.py,6,Taken from Python (r53757) and modified to include some tokens,not
black/src/blib2to3/pgen2/token.py,7,originally monkeypatched in by pgen2.tokenize,not
black/src/blib2to3/pgen2/token.py,9,--start constants--,not
black/src/blib2to3/pgen2/token.py,72,--end constants--,not
black/src/blib2to3/pgen2/parse.py,1,"Copyright 2004-2005 Elemental Security, Inc. All Rights Reserved.",not
black/src/blib2to3/pgen2/parse.py,2,Licensed to PSF under a Contributor Agreement.,not
black/src/blib2to3/pgen2/parse.py,13,Local imports,not
black/src/blib2to3/pgen2/parse.py,134,"Each stack entry is a tuple: (dfa, state, node).",not
black/src/blib2to3/pgen2/parse.py,135,"A node is a tuple: (type, value, context, children),",not
black/src/blib2to3/pgen2/parse.py,136,"where children is a list of nodes or None, and context may be None.",not
black/src/blib2to3/pgen2/parse.py,145,Map from token to label,not
black/src/blib2to3/pgen2/parse.py,147,Loop until the token is shifted; may raise exceptions,not
black/src/blib2to3/pgen2/parse.py,152,Look for a state with this label,not
black/src/blib2to3/pgen2/parse.py,156,Look it up in the list of labels,not
black/src/blib2to3/pgen2/parse.py,158,Shift a token; we're done with it,not
black/src/blib2to3/pgen2/parse.py,160,Pop while we are in an accept-only state,not
black/src/blib2to3/pgen2/parse.py,165,Done parsing!,not
