file path,line #,comment,satd
celery/setup.py,1,!/usr/bin/env python,
celery/setup.py,2,-*- coding: utf-8 -*-,
celery/setup.py,19,-*- Python Versions -*-,
celery/setup.py,52,-*- Extras -*-,
celery/setup.py,89,-*- Distribution Meta -*-,
celery/setup.py,119,-*- Requirements -*-,
celery/setup.py,167,-*- Long Description -*-,
celery/setup.py,176,-*- Command: setup.py test -*-,
celery/setup.py,190,-*- %%% -*-,
celery/examples/periodic-tasks/myapp.py,35,"XXX The below 'myapp' is the name of this module, for generating",
celery/examples/periodic-tasks/myapp.py,36,task names when executed as __main__.,
celery/examples/periodic-tasks/myapp.py,39,## add result backend here if needed.,
celery/examples/periodic-tasks/myapp.py,40,backend='rpc',
celery/examples/periodic-tasks/myapp.py,53,Calls say('hello') every 10 seconds.,
celery/examples/periodic-tasks/myapp.py,56,See periodic tasks user guide for more examples:,
celery/examples/periodic-tasks/myapp.py,57,http://docs.celeryproject.org/en/latest/userguide/periodic-tasks.html,
celery/examples/app/myapp.py,32,## add result backend here if needed.,
celery/examples/app/myapp.py,33,backend='rpc',
celery/examples/next-steps/setup.py,27,"'requests',",
celery/examples/next-steps/proj/,10,"Optional configuration, see the application user guide.",
celery/examples/,1,!/usr/bin/env python,
celery/examples/,7,Assumed to be in the same directory.,
celery/examples/,3,noqa,
celery/examples/,9,Uncomment the next two lines to enable the admin:,
celery/examples/,10,from django.contrib import admin,
celery/examples/,11,admin.autodiscover(),
celery/examples/,5,Django settings for celery_http_gateway project.,
celery/examples/,15,"('Your Name', 'your_email@domain.com'),",
celery/examples/,39,Local time zone for this installation. Choices can be found here:,
celery/examples/,40,https://en.wikipedia.org/wiki/List_of_tz_zones_by_name,
celery/examples/,41,although not all choices may be available on all operating systems.,
celery/examples/,42,If running in a Windows environment this must be set to the same as your,
celery/examples/,43,system time zone.,
celery/examples/,46,Language code for this installation. All choices can be found here:,
celery/examples/,47,http://www.i18nguy.com/unicode/language-identifiers.html,
celery/examples/,52,"If you set this to False, Django will make some optimizations so as not",
celery/examples/,53,to load the internationalization machinery.,
celery/examples/,56,Absolute path to the directory that holds media.,
celery/examples/,57,Example: '/home/media/media.lawrence.com/',
celery/examples/,60,URL that handles the media served from MEDIA_ROOT. Make sure to use a,
celery/examples/,61,trailing slash if there's a path component (optional in other cases).,
celery/examples/,62,"Examples: 'http://media.lawrence.com', 'http://example.com/media/'",
celery/examples/,65,"URL prefix for admin media -- CSS, JavaScript and images. Make sure to use a",
celery/examples/,66,trailing slash.,
celery/examples/,67,"Examples: 'http://foo.com/media/', '/media/'.",
celery/examples/,70,"Make this unique, and don't share it with anybody.",
celery/examples/,71,"XXX TODO FIXME Set this secret key to anything you want, just change it!",
celery/examples/,74,List of callables that know how to import templates from various sources.,
celery/examples/,89,"Put strings here, like '/home/html/django_templates' or",
celery/examples/,90,'C:/www/django/templates'.,
celery/examples/,91,"Always use forward slashes, even on Windows.",
celery/examples/,92,"Don't forget to use absolute paths, not relative paths.",
celery/examples/django/manage.py,1,!/usr/bin/env python,
celery/examples/django/proj/urls.py,3,noqa,
celery/examples/django/proj/urls.py,5,Uncomment the next two lines to enable the admin:,
celery/examples/django/proj/urls.py,6,from django.contrib import admin,
celery/examples/django/proj/urls.py,7,admin.autodiscover(),
celery/examples/django/proj/urls.py,10,Examples:,
celery/examples/django/proj/urls.py,11,"url(r'^$', 'proj.views.home', name='home'),",
celery/examples/django/proj/urls.py,12,"url(r'^proj/', include('proj.foo.urls')),",
celery/examples/django/proj/urls.py,14,Uncomment the admin/doc line below to enable admin documentation:,
celery/examples/django/proj/urls.py,15,"url(r'^admin/doc/', include('django.contrib.admindocs.urls')),",
celery/examples/django/proj/urls.py,17,Uncomment the next line to enable the admin:,
celery/examples/django/proj/urls.py,18,"url(r'^admin/', include(admin.site.urls)),",
celery/examples/django/proj/__init__.py,3,This will make sure the app is always imported when,
celery/examples/django/proj/__init__.py,4,Django starts so that shared_task will use this app.,
celery/examples/django/proj/settings.py,5,^^^ The above is required if you want to import from the celery,
celery/examples/django/proj/settings.py,6,library.  If you don't have this then `from celery.schedules import`,
celery/examples/django/proj/settings.py,7,becomes `proj.celery.schedules` in Python 2.x since it allows,
celery/examples/django/proj/settings.py,8,for relative imports by default.,
celery/examples/django/proj/settings.py,10,Celery settings,
celery/examples/django/proj/settings.py,14,: Only add pickle to this list if your broker is secured,
celery/examples/django/proj/settings.py,15,: from unwanted access (see userguide/security.html),
celery/examples/django/proj/settings.py,34,"Build paths inside the project like this: os.path.join(BASE_DIR, ...)",
celery/examples/django/proj/settings.py,38,Quick-start development settings - unsuitable for production,
celery/examples/django/proj/settings.py,39,See https://docs.djangoproject.com/en/2.2/howto/deployment/checklist/,
celery/examples/django/proj/settings.py,41,SECURITY WARNING: keep the secret key used in production secret!,
celery/examples/django/proj/settings.py,44,SECURITY WARNING: don't run with debug turned on in production!,
celery/examples/django/proj/settings.py,50,Application definition,
celery/examples/django/proj/settings.py,93,Database,
celery/examples/django/proj/settings.py,94,https://docs.djangoproject.com/en/2.2/ref/settings/#databases,
celery/examples/django/proj/settings.py,104,Password validation,
celery/examples/django/proj/settings.py,105,https://docs.djangoproject.com/en/2.2/ref/settings/#auth-password-validators,
celery/examples/django/proj/settings.py,123,Internationalization,
celery/examples/django/proj/settings.py,124,https://docs.djangoproject.com/en/2.2/topics/i18n/,
celery/examples/django/proj/settings.py,137,"Static files (CSS, JavaScript, Images)",
celery/examples/django/proj/settings.py,138,https://docs.djangoproject.com/en/2.2/howto/static-files/,
celery/examples/django/proj/,7,set the default Django settings module for the 'celery' program.,
celery/examples/django/proj/,12,Using a string here means the worker doesn't have to serialize,
celery/examples/django/proj/,13,the configuration object to child processes.,
celery/examples/django/proj/,14,- namespace='CELERY' means all celery-related configuration keys,
celery/examples/django/proj/,15,should have a `CELERY_` prefix.,
celery/examples/django/proj/,18,Load task modules from all registered Django app configs.,
celery/examples/django/proj/wsgi.py,20,This application object is used by any WSGI server configured to use this,
