file path,line #,comment,satd
compose/setup.py,1,!/usr/bin/env python,
compose/setup.py,2,-*- coding: utf-8 -*-,
compose/contrib/migration/migrate-,1,!/usr/bin/env python,
compose/contrib/migration/migrate-,77,"""container:<service name>"" is now ""service:<service name>""",
compose/script/test/versions.py,1,!/usr/bin/env python,
compose/script/test/versions.py,67,non-GA releases should appear before GA releases,
compose/script/test/versions.py,68,Order: tp -> beta -> rc -> GA,
compose/script/test/versions.py,85,List of versions known to be broken and should not be used,
compose/script/release/release.py,1,!/usr/bin/env python3,
compose/tests/conftest.py,8,FIXME Skipping all the acceptance tests when in `--conformity`,
compose/tests/__init__.py,7,NOQA,
compose/tests/__init__.py,9,NOQA,
compose/tests/__init__.py,14,NOQA,
compose/tests/acceptance/context_test.py,1,-*- coding: utf-8 -*-,
compose/tests/acceptance/cli_test.py,1,-*- coding: utf-8 -*-,
compose/tests/acceptance/cli_test.py,175,Hack: allow project to be overridden,
compose/tests/acceptance/cli_test.py,184,Remove once Hijack and CloseNotifier sign a peace treaty,
compose/tests/acceptance/cli_test.py,197,Prevent tearDown from trying to create a project,
compose/tests/acceptance/cli_test.py,289,assert there are no python objects encoded in the output,
compose/tests/acceptance/cli_test.py,350,{'name': 'networks_foo'},
compose/tests/acceptance/cli_test.py,755,Make sure we have the latest busybox already,
compose/tests/acceptance/cli_test.py,762,"If previous build happened on another node, cache won't be available",
compose/tests/acceptance/cli_test.py,767,Make sure we have the latest busybox already,
compose/tests/acceptance/cli_test.py,848,96 * 1024 * 1024,
compose/tests/acceptance/cli_test.py,1078,Ensure containers don't have stdin and stdout connected in -d mode,
compose/tests/acceptance/cli_test.py,1091,Ensure containers don't have stdin and stdout connected in -d mode,
compose/tests/acceptance/cli_test.py,1166,The code below is a Swarm-compatible equivalent to volume.exists(),
compose/tests/acceptance/cli_test.py,1224,Two networks were created: back and front,
compose/tests/acceptance/cli_test.py,1252,One network was created: internal,
compose/tests/acceptance/cli_test.py,1271,One networks was created: front,
compose/tests/acceptance/cli_test.py,1294,Two networks were created: back and front,
compose/tests/acceptance/cli_test.py,1297,lookup by ID instead of name in case of duplicates,
compose/tests/acceptance/cli_test.py,1313,db and app joined the back network,
compose/tests/acceptance/cli_test.py,1316,web and app joined the front network,
compose/tests/acceptance/cli_test.py,1319,web can see app but not db,
compose/tests/acceptance/cli_test.py,1323,app can see db,
compose/tests/acceptance/cli_test.py,1326,"app has aliased db to ""database""",
compose/tests/acceptance/cli_test.py,1480,No network was created,
compose/tests/acceptance/cli_test.py,1489,console was not started,
compose/tests/acceptance/cli_test.py,1494,web has links,
compose/tests/acceptance/cli_test.py,1771,env overridden,
compose/tests/acceptance/cli_test.py,1773,keep environment from yaml,
compose/tests/acceptance/cli_test.py,1775,added option from command line,
compose/tests/acceptance/cli_test.py,1785,Ensure stdin/out was open,
compose/tests/acceptance/cli_test.py,1978,env overridden,
compose/tests/acceptance/cli_test.py,1980,keep environment from yaml,
compose/tests/acceptance/cli_test.py,1982,added option from command line,
compose/tests/acceptance/cli_test.py,1984,make sure a value with a = don't crash out,
compose/tests/acceptance/cli_test.py,1988,create one off container,
compose/tests/acceptance/cli_test.py,1993,get port information,
compose/tests/acceptance/cli_test.py,1997,close all one off containers we just created,
compose/tests/acceptance/cli_test.py,2000,check the ports,
compose/tests/acceptance/cli_test.py,2005,create one off container,
compose/tests/acceptance/cli_test.py,2010,get port information,
compose/tests/acceptance/cli_test.py,2015,close all one off containers we just created,
compose/tests/acceptance/cli_test.py,2018,check the ports,
compose/tests/acceptance/cli_test.py,2025,create one off container,
compose/tests/acceptance/cli_test.py,2030,get port information,
compose/tests/acceptance/cli_test.py,2034,close all one off containers we just created,
compose/tests/acceptance/cli_test.py,2037,check the ports,
compose/tests/acceptance/cli_test.py,2042,create one off container,
compose/tests/acceptance/cli_test.py,2052,get port information,
compose/tests/acceptance/cli_test.py,2056,close all one off containers we just created,
compose/tests/acceptance/cli_test.py,2059,check the ports,
compose/tests/acceptance/cli_test.py,2064,create one off container,
compose/tests/acceptance/cli_test.py,2071,exposed ports are not mapped to host ports,
compose/tests/acceptance/cli_test.py,2082,close all one off containers we just created,
compose/tests/acceptance/cli_test.py,2155,"TODO: once we drop support for API <1.24, this can be changed to:",
compose/tests/acceptance/cli_test.py,2156,assert config['Aliases'] == [container.short_id],
compose/tests/acceptance/cli_test.py,2175,"TODO: once we drop support for API <1.24, this can be changed to:",
compose/tests/acceptance/cli_test.py,2176,assert config['Aliases'] == [container.short_id],
compose/tests/acceptance/cli_test.py,2225,os.environ doesn't support unicode values in Py2,
compose/tests/acceptance/cli_test.py,2227,... and doesn't support byte values in Py3,
compose/tests/acceptance/cli_test.py,2232,Can't retrieve output on Py3. See issue #3670,
compose/tests/acceptance/cli_test.py,2405,Sometimes logs are picked up from old containers that haven't yet,
compose/tests/acceptance/cli_test.py,2406,been removed (removal in Swarm is async),
compose/tests/acceptance/cli_test.py,2517,The container is still running. It has only been paused,
compose/tests/acceptance/cli_test.py,2789,"Sort by name so we get [db, web]",
compose/tests/acceptance/cli_test.py,2840,SIGKILL,
compose/tests/integration/state_test.py,415,update the image,
compose/tests/integration/state_test.py,418,"In the case of a cluster, there's a chance we pick up the old image when",
compose/tests/integration/state_test.py,419,"calculating the new hash. To circumvent that, untag the old image first",
compose/tests/integration/state_test.py,420,See also: https://github.com/moby/moby/issues/26852,
