file path,line #,comment,satd
core/setup.py,1,!/usr/bin/env python3,
core/setup.py,45,PyJWT has loose dependency. We want the latest one.,
core/script/version_bump.py,1,!/usr/bin/env python3,
core/script/version_bump.py,31,Convert 0.67.3 to 0.68.0,
core/script/version_bump.py,32,Convert 0.67.3.b5 to 0.68.0,
core/script/version_bump.py,33,Convert 0.67.3.dev0 to 0.68.0,
core/script/version_bump.py,34,Convert 0.67.0.b5 to 0.67.0,
core/script/version_bump.py,35,Convert 0.67.0.dev0 to 0.67.0,
core/script/version_bump.py,43,Convert 0.67.3 to 0.67.4,
core/script/version_bump.py,44,Convert 0.67.3.b5 to 0.67.3,
core/script/version_bump.py,45,Convert 0.67.3.dev0 to 0.67.3,
core/script/version_bump.py,53,Convert 0.67.3 to 0.67.4.dev0,
core/script/version_bump.py,54,Convert 0.67.3.b5 to 0.67.4.dev0,
core/script/version_bump.py,55,Convert 0.67.3.dev0 to 0.67.3.dev1,
core/script/version_bump.py,63,Convert 0.67.5 to 0.67.6b0,
core/script/version_bump.py,64,Convert 0.67.0.dev0 to 0.67.0b0,
core/script/version_bump.py,65,Convert 0.67.5.b4 to 0.67.5b5,
core/script/version_bump.py,85,"Convert 0.70.0d0 to 0.70.0d20190424, fails when run on non dev release",
core/script/inspect_schemas.py,1,!/usr/bin/env python3,
core/script/lazytox.py,1,!/usr/bin/env python3,
core/script/lazytox.py,55,assume it doesn't block,
core/script/lazytox.py,82,Readin stdout into log,
core/script/lazytox.py,85,read child's stdout/stderr concurrently (capture and display),
core/script/lazytox.py,147,tests/* does not have to pass lint,
core/script/lazytox.py,159,Ensure we are in the homeassistant root,
core/script/lazytox.py,188,requirements script for components,
core/script/lazytox.py,189,Find test files...,
core/script/lazytox.py,192,All test helpers should be excluded,
core/script/gen_requirements_all.py,1,!/usr/bin/env python3,
core/script/gen_requirements_all.py,92,Dev environments might have stale directories around,
core/script/gen_requirements_all.py,93,from removed tests. Check for that.,
core/script/gen_requirements_all.py,96,Directories need to contain more than `__pycache__`,
core/script/gen_requirements_all.py,97,to exist in Git and so be seen by CI.,
core/script/gen_requirements_all.py,247,Always install requirements that are not part of integrations,
core/script/gen_requirements_all.py,249,Install tests for integrations that have tests,
core/script/scaffold/__main__.py,52,"If we are calling scaffold on a non-existing integration,",
core/script/scaffold/__main__.py,53,"We're going to first make it. If we're making an integration,",
core/script/scaffold/__main__.py,54,we will also make a config flow to go with it.,
core/script/scaffold/__main__.py,59,"If it's a new integration and it's not a config flow,",
core/script/scaffold/__main__.py,60,create a config flow too.,
core/script/scaffold/__main__.py,71,"If we wanted a new integration, we've already done our work.",
core/script/scaffold/generate.py,36,"If the target file exists, create our template as EXAMPLE_<filename>.",
core/script/scaffold/generate.py,37,"Exception: If we are creating a new integration, we can end up running integration base",
core/script/scaffold/generate.py,38,"and a config flows on top of one another. In that case, we want to override the files.",
core/script/scaffold/templates/config_flow_oauth2/integration/api.py,10,TODO the following two API examples are based on our suggested best practices,
core/script/scaffold/templates/config_flow_oauth2/integration/api.py,11,for libraries using OAuth2 with requests or aiohttp. Delete the one you won't use.,
core/script/scaffold/templates/config_flow_oauth2/integration/api.py,12,For more info see the docs at <insert url>.,
core/script/scaffold/templates/config_flow_oauth2/integration/config_flow.py,18,TODO Pick one from config_entries.CONN_CLASS_*,
core/script/scaffold/templates/config_flow_oauth2/integration/__init__.py,30,TODO List the platforms that you want to support.,
core/script/scaffold/templates/config_flow_oauth2/integration/__init__.py,31,"For your initial PR, limit it to 1 platform.",
core/script/scaffold/templates/config_flow_oauth2/integration/__init__.py,65,If using a requests-based API lib,
core/script/scaffold/templates/config_flow_oauth2/integration/__init__.py,68,If using an aiohttp-based API lib,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,23,TODO specify your supported trigger types.,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,39,TODO Read this comment and remove it.,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,40,This example shows how to iterate over the entities of this device,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,41,that match this integration. If your triggers instead rely on,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,42,"events fired by devices without entities, do something like:",
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,43,"zha_device = await _async_get_zha_device(hass, device_id)",
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,44,return zha_device.device_triggers,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,46,Get all the integrations entities for this device,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,51,Add triggers for each entity that belongs to this integration,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,52,TODO add your own triggers.,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,84,TODO Implement your own logic to attach triggers.,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,85,Generally we suggest to re-use the existing state or event,
core/script/scaffold/templates/device_trigger/integration/device_trigger.py,86,triggers from the automation integration.,
core/script/scaffold/templates/device_trigger/tests/test_device_trigger.py,118,Fake that the entity is turning on.,
core/script/scaffold/templates/device_trigger/tests/test_device_trigger.py,126,Fake that the entity is turning off.,
core/script/scaffold/templates/device_condition/integration/device_condition.py,23,TODO specify your supported condition types.,
core/script/scaffold/templates/device_condition/integration/device_condition.py,41,Get all the integrations entities for this device,
core/script/scaffold/templates/device_condition/integration/device_condition.py,46,Add conditions for each entity that belongs to this integration,
core/script/scaffold/templates/device_condition/integration/device_condition.py,47,TODO add your own conditions.,
core/script/scaffold/templates/device_action/integration/device_action.py,21,TODO specify your supported action types.,
core/script/scaffold/templates/device_action/integration/device_action.py,37,TODO Read this comment and remove it.,
core/script/scaffold/templates/device_action/integration/device_action.py,38,This example shows how to iterate over the entities of this device,
core/script/scaffold/templates/device_action/integration/device_action.py,39,that match this integration. If your actions instead rely on,
core/script/scaffold/templates/device_action/integration/device_action.py,40,"calling services, do something like:",
core/script/scaffold/templates/device_action/integration/device_action.py,41,"zha_device = await _async_get_zha_device(hass, device_id)",
core/script/scaffold/templates/device_action/integration/device_action.py,42,return zha_device.device_actions,
core/script/scaffold/templates/device_action/integration/device_action.py,44,Get all the integrations entities for this device,
core/script/scaffold/templates/device_action/integration/device_action.py,49,Add actions for each entity that belongs to this integration,
core/script/scaffold/templates/device_action/integration/device_action.py,50,TODO add your own actions.,
core/script/scaffold/templates/config_flow/integration/config_flow.py,8,pylint:disable=unused-import,
core/script/scaffold/templates/config_flow/integration/config_flow.py,12,TODO adjust the data schema to the data that you need,
core/script/scaffold/templates/config_flow/integration/config_flow.py,36,TODO validate the data can be used to set up a connection.,
core/script/scaffold/templates/config_flow/integration/config_flow.py,38,"If your PyPI package is not built with async, pass your methods",
core/script/scaffold/templates/config_flow/integration/config_flow.py,39,to the executor:,
core/script/scaffold/templates/config_flow/integration/config_flow.py,40,await hass.async_add_executor_job(,
core/script/scaffold/templates/config_flow/integration/config_flow.py,41,"your_validate_func, data[""username""], data[""password""]",
core/script/scaffold/templates/config_flow/integration/config_flow.py,42,),
core/script/scaffold/templates/config_flow/integration/config_flow.py,49,If you cannot connect:,
core/script/scaffold/templates/config_flow/integration/config_flow.py,50,throw CannotConnect,
core/script/scaffold/templates/config_flow/integration/config_flow.py,51,If the authentication is wrong:,
core/script/scaffold/templates/config_flow/integration/config_flow.py,52,InvalidAuth,
core/script/scaffold/templates/config_flow/integration/config_flow.py,54,Return info that you want to store in the config entry.,
core/script/scaffold/templates/config_flow/integration/config_flow.py,62,TODO pick one of the available connection classes in homeassistant/config_entries.py,
core/script/scaffold/templates/config_flow/integration/config_flow.py,77,pylint: disable=broad-except,
core/script/scaffold/templates/config_flow/integration/__init__.py,13,TODO List the platforms that you want to support.,
core/script/scaffold/templates/config_flow/integration/__init__.py,14,"For your initial PR, limit it to 1 platform.",
core/script/scaffold/templates/config_flow/integration/__init__.py,25,TODO Store an API object for your platforms to access,
core/script/scaffold/templates/config_flow/integration/__init__.py,26,hass.data[DOMAIN][entry.entry_id] = MyApi(...),
core/script/scaffold/templates/config_flow_discovery/integration/config_flow.py,12,TODO Check if there are any devices that can be discovered in the network.,
core/script/scaffold/templates/config_flow_discovery/integration/__init__.py,13,TODO List the platforms that you want to support.,
core/script/scaffold/templates/config_flow_discovery/integration/__init__.py,14,"For your initial PR, limit it to 1 platform.",
core/script/scaffold/templates/config_flow_discovery/integration/__init__.py,25,TODO Store an API object for your platforms to access,
core/script/scaffold/templates/config_flow_discovery/integration/__init__.py,26,hass.data[DOMAIN][entry.entry_id] = MyApi(...),
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,20,TODO add valid states here,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,40,Return if we are already at the right state.,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,44,TODO this is an example attribute,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,51,TODO determine the services to call to achieve desired state,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,69,TODO pick one and remove other one,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,71,Reproduce states in parallel.,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,76,Alternative: Reproduce states in sequence,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,77,for state in states:,
core/script/scaffold/templates/reproduce_state/integration/reproduce_state.py,78,"await _async_reproduce_state(hass, state, context)",
core/script/scaffold/templates/reproduce_state/tests/test_reproduce_state.py,15,These calls should do nothing as entities already in desired state,
core/script/scaffold/templates/reproduce_state/tests/test_reproduce_state.py,27,Test invalid state is handled,
core/script/scaffold/templates/reproduce_state/tests/test_reproduce_state.py,36,Make sure correct services are called,
core/script/scaffold/templates/reproduce_state/tests/test_reproduce_state.py,41,Should not raise,
core/script/hassfest/coverage.py,27,Finished,
core/script/hassfest/coverage.py,33,Discard wildcard,
core/script/hassfest/zeroconf.py,89,"HomeKit models are matched on starting string, make sure none overlap.",
core/script/hassfest/zeroconf.py,95,n^2 yoooo,
core/script/hassfest/dependencies.py,19,Current file or dir we're inspecting,
core/script/hassfest/dependencies.py,43,from homeassistant.components.alexa.smart_home import EVENT_ALEXA_SMART_HOME,
core/script/hassfest/dependencies.py,44,from homeassistant.components.logbook import bla,
core/script/hassfest/dependencies.py,48,from homeassistant.components import sun,
core/script/hassfest/dependencies.py,54,import homeassistant.components.hue as hue,
core/script/hassfest/dependencies.py,61,hass.components.hue.async_create(),
core/script/hassfest/dependencies.py,62,Name(id=hass),
core/script/hassfest/dependencies.py,63,.Attribute(attr=hue),
core/script/hassfest/dependencies.py,64,.Attribute(attr=async_create),
core/script/hassfest/dependencies.py,66,self.hass.components.hue.async_create(),
core/script/hassfest/dependencies.py,67,Name(id=self),
core/script/hassfest/dependencies.py,68,.Attribute(attr=hass) or .Attribute(attr=_hass),
core/script/hassfest/dependencies.py,69,.Attribute(attr=hue),
core/script/hassfest/dependencies.py,70,.Attribute(attr=async_create),
core/script/hassfest/dependencies.py,87,Have it visit other kids,
core/script/hassfest/dependencies.py,92,Internal integrations,
core/script/hassfest/dependencies.py,117,Entity integrations with platforms,
core/script/hassfest/dependencies.py,133,Other,
core/script/hassfest/dependencies.py,134,"base class, has no reqs or component to load.",
core/script/hassfest/dependencies.py,135,"Stream cannot install on all systems, can be imported without reqs.",
core/script/hassfest/dependencies.py,139,"Has same requirement, gets defaults.",
core/script/hassfest/dependencies.py,141,Sharing a base class,
core/script/hassfest/dependencies.py,145,Demo,
core/script/hassfest/dependencies.py,148,This should become a helper method that integrations can submit data to,
core/script/hassfest/dependencies.py,163,Discovery requirements are ok if referenced in manifest,
core/script/hassfest/dependencies.py,181,climate.py is stored as climate,
core/script/hassfest/dependencies.py,184,climate/__init__.py is stored as climate,
core/script/hassfest/dependencies.py,190,We are always allowed to import from ourselves,
core/script/hassfest/dependencies.py,194,These references are approved based on the manifest,
core/script/hassfest/dependencies.py,198,Some violations are whitelisted,
core/script/hassfest/dependencies.py,202,"If it's a platform for another integration, the other integration is ok",
core/script/hassfest/dependencies.py,206,These have a platform specified in this integration,
core/script/hassfest/dependencies.py,209,Platform dir,
core/script/hassfest/dependencies.py,223,Some integrations are allowed to have violations.,
core/script/hassfest/dependencies.py,227,Find usage of hass.components,
core/script/hassfest/dependencies.py,245,check for non-existing dependencies,
core/script/hassfest/dependencies.py,252,check that all referenced dependencies exist,
core/script/hassfest/__main__.py,66,"When we generate, all errors that are fixable will be ignored,",
core/script/hassfest/__main__.py,67,as generating them will be fixed.,
core/script/hassfest/__main__.py,76,action == validate,
core/script/hassfest/manifest.py,47,pylint: disable=no-value-for-parameter,
core/script/hassfest/manifest.py,54,pylint: disable=no-value-for-parameter,
core/script/hassfest/manifest.py,55,pylint: disable=no-value-for-parameter,
core/script/hassfest/services.py,59,Find if integration uses services,
core/script/hassfest/services.py,88,check services.yaml is cool,
core/script/hassfest/config_flow.py,26,Currently not require being able to load config flow without,
core/script/hassfest/config_flow.py,27,installing requirements.,
core/script/hassfest/config_flow.py,28,try:,
core/script/hassfest/config_flow.py,29,integration.import_pkg('config_flow'),
core/script/hassfest/config_flow.py,30,except ImportError as err:,
core/script/hassfest/config_flow.py,31,integration.add_error(,
core/script/hassfest/config_flow.py,32,"'config_flow',",
core/script/hassfest/config_flow.py,33,"""Unable to import config flow: {}. Config flows should be able """,
