file path,line #,comment,satd
d2l-zh/setup.py,1,!/usr/bin/env python,
d2l-zh/setup.py,34,Metadata,
d2l-zh/setup.py,44,Package info,
d2l-zh/build/conf.py,1,!/usr/bin/env python3,
d2l-zh/build/conf.py,2,-*- coding: utf-8 -*-,
d2l-zh/build/conf.py,3,,
d2l-zh/build/conf.py,4,"The D2L documentation build configuration file, created by",
d2l-zh/build/conf.py,5,sphinx-quickstart on Tue Jul 18 10:40:45 2017.,
d2l-zh/build/conf.py,6,,
d2l-zh/build/conf.py,7,This file is execfile()d with the current directory set to its,
d2l-zh/build/conf.py,8,containing dir.,
d2l-zh/build/conf.py,9,,
d2l-zh/build/conf.py,10,Note that not all possible configuration values are present in this,
d2l-zh/build/conf.py,11,autogenerated file.,
d2l-zh/build/conf.py,12,,
d2l-zh/build/conf.py,13,All configuration values have a default; values that are commented out,
d2l-zh/build/conf.py,14,serve to show the default.,
d2l-zh/build/conf.py,21,Use footnote size for code block.,
d2l-zh/build/conf.py,33,"If extensions (or modules to document with autodoc) are in another directory,",
d2l-zh/build/conf.py,34,add these directories to sys.path here. If the directory is relative to the,
d2l-zh/build/conf.py,35,"documentation root, use os.path.abspath to make it absolute, like shown here.",
d2l-zh/build/conf.py,36,"sys.path.insert(0, os.path.abspath('.'))",
d2l-zh/build/conf.py,38,-- General configuration ------------------------------------------------,
d2l-zh/build/conf.py,40,"If your documentation needs a minimal Sphinx version, state it here.",
d2l-zh/build/conf.py,41,needs_sphinx = '1.0',
d2l-zh/build/conf.py,43,"Add any Sphinx extension module names here, as strings. They can be",
d2l-zh/build/conf.py,44,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom,
d2l-zh/build/conf.py,45,ones.,
d2l-zh/build/conf.py,58,"Add any paths that contain templates here, relative to this directory.",
d2l-zh/build/conf.py,63,The suffix(es) of source filenames.,
d2l-zh/build/conf.py,64,You can specify multiple suffix as a list of string:,
d2l-zh/build/conf.py,65,"source_suffix = ['.rst', '.md']",
d2l-zh/build/conf.py,68,The encoding of source files.,
d2l-zh/build/conf.py,69,source_encoding = 'utf-8-sig',
d2l-zh/build/conf.py,71,The master toctree document.,
d2l-zh/build/conf.py,74,General information about the project.,
d2l-zh/build/conf.py,79,"The version info for the project you're documenting, acts as replacement for",
d2l-zh/build/conf.py,80,"|version| and |release|, also used in various other places throughout the",
d2l-zh/build/conf.py,81,built documents.,
d2l-zh/build/conf.py,82,,
d2l-zh/build/conf.py,83,The short X.Y version.,
d2l-zh/build/conf.py,85,"The full version, including alpha/beta/rc tags.",
d2l-zh/build/conf.py,88,The language for content autogenerated by Sphinx. Refer to documentation,
d2l-zh/build/conf.py,89,for a list of supported languages.,
d2l-zh/build/conf.py,90,,
d2l-zh/build/conf.py,91,This is also used if you do content translation via gettext catalogs.,
d2l-zh/build/conf.py,92,"Usually you set ""language"" from the command line for these cases.",
d2l-zh/build/conf.py,95,"There are two options for replacing |today|: either, you set today to some",
d2l-zh/build/conf.py,96,"non-false value, then it is used:",
d2l-zh/build/conf.py,97,today = '',
d2l-zh/build/conf.py,98,"Else, today_fmt is used as the format for a strftime call.",
d2l-zh/build/conf.py,99,"today_fmt = '%B %d, %Y'",
d2l-zh/build/conf.py,101,"List of patterns, relative to source directory, that match files and",
d2l-zh/build/conf.py,102,directories to ignore when looking for source files.,
d2l-zh/build/conf.py,103,This patterns also effect to html_static_path and html_extra_path,
d2l-zh/build/conf.py,107,The reST default role (used for this markup: `text`) to use for all,
d2l-zh/build/conf.py,108,documents.,
d2l-zh/build/conf.py,109,default_role = None,
d2l-zh/build/conf.py,111,"If true, '()' will be appended to :func: etc. cross-reference text.",
d2l-zh/build/conf.py,112,add_function_parentheses = True,
d2l-zh/build/conf.py,114,"If true, the current module name will be prepended to all description",
d2l-zh/build/conf.py,115,unit titles (such as .. function::).,
d2l-zh/build/conf.py,116,add_module_names = True,
d2l-zh/build/conf.py,118,"If true, sectionauthor and moduleauthor directives will be shown in the",
d2l-zh/build/conf.py,119,output. They are ignored by default.,
d2l-zh/build/conf.py,120,show_authors = False,
d2l-zh/build/conf.py,122,The name of the Pygments (syntax highlighting) style to use.,
d2l-zh/build/conf.py,125,A list of ignored prefixes for module index sorting.,
d2l-zh/build/conf.py,126,modindex_common_prefix = [],
d2l-zh/build/conf.py,128,"If true, keep warnings as ""system message"" paragraphs in the built documents.",
d2l-zh/build/conf.py,129,keep_warnings = False,
d2l-zh/build/conf.py,131,"If true, `todo` and `todoList` produce output, else they produce nothing.",
d2l-zh/build/conf.py,135,-- Options for HTML output ----------------------------------------------,
d2l-zh/build/conf.py,137,The theme to use for HTML and HTML Help pages.  See the documentation for,
d2l-zh/build/conf.py,138,a list of builtin themes.,
d2l-zh/build/conf.py,139,html_theme = 'sphinx_rtd_theme',
d2l-zh/build/conf.py,157,Theme options are theme-specific and customize the look and feel of a theme,
d2l-zh/build/conf.py,158,"further.  For a list of options available for each theme, see the",
d2l-zh/build/conf.py,159,documentation.,
d2l-zh/build/conf.py,160,html_theme_options = {},
d2l-zh/build/conf.py,162,"Add any paths that contain custom themes here, relative to this directory.",
d2l-zh/build/conf.py,163,html_theme_path = [],
d2l-zh/build/conf.py,165,The name for this set of Sphinx documents.,
d2l-zh/build/conf.py,166,"""<project> v<release> documentation"" by default.",
d2l-zh/build/conf.py,167,html_title = 'The D2L v0.1',
d2l-zh/build/conf.py,169,A shorter title for the navigation bar.  Default is the same as html_title.,
d2l-zh/build/conf.py,170,html_short_title = None,
d2l-zh/build/conf.py,172,The name of an image file (relative to this directory) to place at the top,
d2l-zh/build/conf.py,173,of the sidebar.,
d2l-zh/build/conf.py,176,The name of an image file (relative to this directory) to use as a favicon of,
d2l-zh/build/conf.py,177,the docs.  This file should be a Windows icon file (.ico) being 16x16 or 32x32,
d2l-zh/build/conf.py,178,pixels large.,
d2l-zh/build/conf.py,181,"Add any paths that contain custom static files (such as style sheets) here,",
d2l-zh/build/conf.py,182,"relative to this directory. They are copied after the builtin static files,",
d2l-zh/build/conf.py,183,"so a file named ""default.css"" will overwrite the builtin ""default.css"".",
d2l-zh/build/conf.py,186,Add any extra paths that contain custom files (such as robots.txt or,
d2l-zh/build/conf.py,187,".htaccess) here, relative to this directory. These files are copied",
d2l-zh/build/conf.py,188,directly to the root of the documentation.,
d2l-zh/build/conf.py,189,html_extra_path = [],
d2l-zh/build/conf.py,191,"If not None, a 'Last updated on:' timestamp is inserted at every page",
d2l-zh/build/conf.py,192,"bottom, using the given strftime format.",
d2l-zh/build/conf.py,193,"The empty string is equivalent to '%b %d, %Y'.",
d2l-zh/build/conf.py,194,html_last_updated_fmt = None,
d2l-zh/build/conf.py,196,"If true, SmartyPants will be used to convert quotes and dashes to",
d2l-zh/build/conf.py,197,typographically correct entities.,
d2l-zh/build/conf.py,198,html_use_smartypants = True,
d2l-zh/build/conf.py,200,"Custom sidebar templates, maps document names to template names.",
d2l-zh/build/conf.py,201,html_sidebars = {},
d2l-zh/build/conf.py,203,"Additional templates that should be rendered to pages, maps page names to",
d2l-zh/build/conf.py,204,template names.,
d2l-zh/build/conf.py,205,html_additional_pages = {},
d2l-zh/build/conf.py,207,"If false, no module index is generated.",
d2l-zh/build/conf.py,208,html_domain_indices = True,
d2l-zh/build/conf.py,210,"If false, no index is generated.",
d2l-zh/build/conf.py,211,html_use_index = True,
d2l-zh/build/conf.py,213,"If true, the index is split into individual pages for each letter.",
d2l-zh/build/conf.py,214,html_split_index = False,
d2l-zh/build/conf.py,216,"If true, links to the reST sources are added to the pages.",
d2l-zh/build/conf.py,217,html_show_sourcelink = True,
d2l-zh/build/conf.py,219,"If true, ""Created using Sphinx"" is shown in the HTML footer. Default is True.",
d2l-zh/build/conf.py,220,html_show_sphinx = True,
d2l-zh/build/conf.py,222,"If true, ""(C) Copyright ..."" is shown in the HTML footer. Default is True.",
d2l-zh/build/conf.py,223,html_show_copyright = True,
