file path,line #,comment,satd
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,10,inline runs the job in the same process so small jobs tend to,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,11,run faster and stack traces are simpler,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,12,--no-conf prevents options from local mrjob.conf from polluting,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,13,the testing environment,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,14,"""-"" reads from standard in",not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,17,make_runner ensures job cleanup is performed regardless of,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,18,success or failure,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,80,Use a lambda to delay the calling of clean_date_time_zone so that,not
data-science-ipython-notebooks/mapreduce/test_mr_s3_log_parser.py,81,assertRaises has enough time to handle it properly,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,44,We use RawValueProtocol for input to be format agnostic,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,45,and avoid any type of parsing errors,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,48,We use RawValueProtocol for output so we can output raw lines,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,49,"instead of (k, v) pairs",not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,52,"Encode the intermediate records using repr() instead of JSON, so the",not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,53,record doesn't get Unicode-encoded,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,70,TODO: Probably cleaner to parse this with a regex,SATD
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,81,Throws a ValueError exception if the operation fails that is,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,82,caught by the calling function and is handled appropriately,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,104,Leave the following line of code if,not
data-science-ipython-notebooks/mapreduce/mr_s3_log_parser.py,105,you want to aggregate by date,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/scan_tutorial/scan_ex2_solution.py,47,Testing the function,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/scan_tutorial/scan_ex1_solution.py,13,Generate the components of the polynomial,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/synthetic.py,18,Initial conditions for the history of the system,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/synthetic.py,29,Preallocate the array for the time-series,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/synthetic.py,40,Squash timeseries through tanh,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/synthetic.py,71,"Initial conditions taken from 'Chaos and Time Series Analysis', J. Sprott",not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,25,simple_rnn.ipynb,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,71,Generating sequences,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,81,lstm_text.ipynb,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,98,Init params,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,129,"self.output is in the format (length, batchsize, n_h)",not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,176,initialize the biases b as a vector of n_out 0s,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,181,compute vector of class-membership probabilities in symbolic form,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,191,The Theano graph,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,192,Set the random number generator' seeds for consistency,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,198,Construct an LSTM layer and a logistic regression layer,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,203,define a cost variable to optimize,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,208,create a list of all model parameters to be fit by gradient descent,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,211,create a list of gradients for all model parameters,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/rnn_precompile.py,224,Generating Sequences,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,16,These files can be downloaded from,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,17,http://www-etud.iro.umontreal.ca/~brakelp/train.txt.gz,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,18,http://www-etud.iro.umontreal.ca/~brakelp/dictionary.pkl,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,19,don't forget to change the paths and gunzip train.txt.gz,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,68,"initialize with 0 the weights W as a matrix of shape (n_in, n_out)",not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,72,initialize the baises b as a vector of n_out 0s,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,77,compute vector of class-membership probabilities in symbolic form,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,83,compute prediction as class whose probability is maximal in,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,84,symbolic form,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,87,parameters of the model,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,99,Init params,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,130,"self.output is in the format (batchsize, n_h)",not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,162,Load the datasets with Fuel,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,178,organize data in batches and pad shorter sequences with zeros,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,183,idem dito for the validation text,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,194,organize data in batches and pad shorter sequences with zeros,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,201,Set the random number generator' seeds for consistency,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,207,Construct the LSTM layer,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,217,create a list of all model parameters to be fit by gradient descent,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,220,create a list of gradients for all model parameters,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,223,update_model is a function that updates the model parameters by,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,224,"SGD Since this model has many parameters, it would be tedious to",not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,225,manually create an update rule for each model parameter. We thus,not
data-science-ipython-notebooks/deep-learning/theano-tutorial/rnn_tutorial/lstm_text.py,226,create the updates list by automatically looping over all,not
