file path,line #,comment,satd
django-rest-framework/runtests.py,1,! /usr/bin/env python3,
django-rest-framework/runtests.py,47,`True` if it looks like a test function is included in the string.,
django-rest-framework/runtests.py,52,`True` if first character is uppercase - assume it's a class name.,
django-rest-framework/runtests.py,97,`runtests.py [flags]`,
django-rest-framework/runtests.py,100,`runtests.py TestCase.test_function [flags]`,
django-rest-framework/runtests.py,104,`runtests.py TestCase [flags]`,
django-rest-framework/runtests.py,105,`runtests.py test_function [flags]`,
django-rest-framework/setup.py,1,!/usr/bin/env python3,
django-rest-framework/setup.py,13,This check and everything above must remain compatible with Python 2.7.,
django-rest-framework/setup.py,82,SEE NOTE BELOW (*),
django-rest-framework/setup.py,112,"(*) Please direct queries to the discussion group, rather than to me directly",
django-rest-framework/setup.py,113,Doing so helps ensure your question is helpful to other users.,
django-rest-framework/setup.py,114,Queries directly to my email are likely to receive a canned response.,
django-rest-framework/setup.py,115,,
django-rest-framework/setup.py,116,Many thanks for your understanding.,
django-rest-framework/rest_framework/compat.py,11,noqa,
django-rest-framework/rest_framework/compat.py,16,Will be removed in Django 2.0,
django-rest-framework/rest_framework/compat.py,17,noqa,
django-rest-framework/rest_framework/compat.py,23,noqa,
django-rest-framework/rest_framework/compat.py,34,Django 2.0,
django-rest-framework/rest_framework/compat.py,37,Django < 2.0,
django-rest-framework/rest_framework/compat.py,47,Django 2.0,
django-rest-framework/rest_framework/compat.py,50,Django < 2.0,
django-rest-framework/rest_framework/compat.py,56,Django 2.0,
django-rest-framework/rest_framework/compat.py,60,Django < 2.0,
django-rest-framework/rest_framework/compat.py,66,Django 2.0,
django-rest-framework/rest_framework/compat.py,71,Django < 2.0,
django-rest-framework/rest_framework/compat.py,76,Coerce HTTP header value to unicode.,
django-rest-framework/rest_framework/compat.py,84,distinct analogue for Oracle users,
django-rest-framework/rest_framework/compat.py,89,django.contrib.postgres requires psycopg2,
django-rest-framework/rest_framework/compat.py,96,coreapi is required for CoreAPI schema generation,
django-rest-framework/rest_framework/compat.py,102,uritemplate is required for OpenAPI and CoreAPI schema generation,
django-rest-framework/rest_framework/compat.py,109,coreschema is optional,
django-rest-framework/rest_framework/compat.py,116,pyyaml is optional,
django-rest-framework/rest_framework/compat.py,123,requests is optional,
django-rest-framework/rest_framework/compat.py,130,PATCH method is not implemented by Django,
django-rest-framework/rest_framework/compat.py,135,Markdown is optional (version 3.0+ required),
django-rest-framework/rest_framework/compat.py,187,starting from this blogpost and modified to support current markdown extensions API,
django-rest-framework/rest_framework/compat.py,188,https://zerokspot.com/weblog/2008/06/18/syntax-highlighting-in-markdown-with-pygments/,
django-rest-framework/rest_framework/compat.py,220,Django 1.x url routing syntax. Remove when dropping Django 1.11 support.,
django-rest-framework/rest_framework/compat.py,222,noqa,
django-rest-framework/rest_framework/compat.py,224,noqa,
django-rest-framework/rest_framework/compat.py,230,`separators` argument to `json.dumps()` differs between 2.x and 3.x,
django-rest-framework/rest_framework/compat.py,231,See: https://bugs.python.org/issue22767,
django-rest-framework/rest_framework/compat.py,237,Version Constants.,
django-rest-framework/rest_framework/request.py,53,For viewsets we also set the `.action` attribute.,
django-rest-framework/rest_framework/request.py,286,"if a form media type, copy data & files refs to the underlying",
django-rest-framework/rest_framework/request.py,287,http request so that closable objects are handled appropriately.,
django-rest-framework/rest_framework/request.py,333,"If request.POST has been accessed in middleware, and a method='POST'",
django-rest-framework/rest_framework/request.py,334,"request was made with 'multipart/form-data', then the request stream",
django-rest-framework/rest_framework/request.py,335,will already have been exhausted.,
django-rest-framework/rest_framework/request.py,356,"If we get an exception during parsing, fill in empty data and",
django-rest-framework/rest_framework/request.py,357,re-raise.  Ensures we don't simply repeat the error when,
django-rest-framework/rest_framework/request.py,358,"attempting to render the browsable renderer response, or when",
django-rest-framework/rest_framework/request.py,359,logging the request or similar.,
django-rest-framework/rest_framework/request.py,365,"Parser classes may return the raw data, or a",
django-rest-framework/rest_framework/request.py,366,DataAndFiles object.  Unpack the result as required.,
django-rest-framework/rest_framework/request.py,429,Ensure that request.POST uses our request parsing.,
django-rest-framework/rest_framework/request.py,438,Leave this one alone for backwards compat with Django's request.FILES,
django-rest-framework/rest_framework/request.py,439,"Different from the other two cases, which are not valid property",
django-rest-framework/rest_framework/request.py,440,names on the WSGIRequest class.,
django-rest-framework/rest_framework/request.py,453,Hack to allow our exception handler to force choice of,
django-rest-framework/rest_framework/request.py,454,plaintext or html error responses.,
django-rest-framework/rest_framework/apps.py,9,Add System checks,
django-rest-framework/rest_framework/apps.py,10,NOQA,
django-rest-framework/rest_framework/filters.py,40,The URL query parameter used for the search.,
django-rest-framework/rest_framework/filters.py,66,strip null characters,
django-rest-framework/rest_framework/filters.py,86,Annotated fields do not need to be distinct,
django-rest-framework/rest_framework/filters.py,93,"This field is a relation, update opts to follow the relation",
django-rest-framework/rest_framework/filters.py,97,This field is a m2m relation so we know we need to call distinct,
django-rest-framework/rest_framework/filters.py,124,Filtering against a many-to-many field requires us to,
django-rest-framework/rest_framework/filters.py,125,call queryset.distinct() in order to avoid duplicate items,
django-rest-framework/rest_framework/filters.py,126,in the resulting queryset.,
django-rest-framework/rest_framework/filters.py,127,"We try to avoid this if possible, for performance reasons.",
django-rest-framework/rest_framework/filters.py,174,The URL query parameter used for the ordering.,
django-rest-framework/rest_framework/filters.py,196,"No ordering was included, or all the ordering fields were invalid",
django-rest-framework/rest_framework/filters.py,206,"If `ordering_fields` is not specified, then we determine a default",
django-rest-framework/rest_framework/filters.py,207,"based on the serializer class, if one exists on the view.",
django-rest-framework/rest_framework/filters.py,212,Raised by the default implementation if,
django-rest-framework/rest_framework/filters.py,213,no serializer_class was found,
django-rest-framework/rest_framework/filters.py,236,Default to allowing filtering on serializer fields,
django-rest-framework/rest_framework/filters.py,240,View explicitly allows filtering on any model field,
django-rest-framework/rest_framework/relations.py,25,Python 3 compat,
django-rest-framework/rest_framework/relations.py,59,"This ensures that we only called `__str__` lazily,",
django-rest-framework/rest_framework/relations.py,60,as in some cases calling __str__ on a model instances *might*,
django-rest-framework/rest_framework/relations.py,61,involve a database lookup.,
django-rest-framework/rest_framework/relations.py,80,"We assume that 'validators' are intended for the child serializer,",
django-rest-framework/rest_framework/relations.py,81,rather than the parent serializer.,
django-rest-framework/rest_framework/relations.py,120,We override this method in order to automagically create,
django-rest-framework/rest_framework/relations.py,121,`ManyRelatedField` classes instead when `many=True` is set.,
django-rest-framework/rest_framework/relations.py,150,We force empty strings to None values for relational fields.,
django-rest-framework/rest_framework/relations.py,158,Ensure queryset is re-evaluated whenever used.,
django-rest-framework/rest_framework/relations.py,159,Note that actually a `Manager` class may also be used as the,
django-rest-framework/rest_framework/relations.py,160,"queryset argument. This occurs on ModelSerializer fields,",
django-rest-framework/rest_framework/relations.py,161,as it allows us to generate a more expressive 'repr' output,
django-rest-framework/rest_framework/relations.py,162,for the field.,
