file path,line #,comment,satd
django/setup.py,10,This check and everything above must remain compatible with Python 2.7.,
django/setup.py,36,Warn if we are installing over top of an existing installation. This can,
django/setup.py,37,cause issues where files that were deleted from a more recent Django are,
django/setup.py,38,still present in site-packages. See #18115.,
django/setup.py,43,We have to try also with an explicit prefix of /usr/local in order to,
django/setup.py,44,catch Debian's custom user site-packages directory.,
django/setup.py,49,"We note the need for the warning here, but present it after the",
django/setup.py,50,"command is run, so it's more likely to be seen.",
django/,51,If it is a model class or anything else with ._default_manager,
django/,115,"If it's a model, use get_absolute_url()",
django/,120,"Expand the lazy instance, as it can cause issues when it is passed",
django/,121,further to some Python functions like urlparse.,
django/,125,Handle relative URLs,
django/,129,Next try a reverse URL resolution.,
django/,133,"If this is a callable, re-raise.",
django/,136,"If this doesn't ""feel"" like a URL, re-raise.",
django/,140,"Finally, fall back and assume it's a URL",
django/,47,The encoding used in GET/POST dicts. None means use default setting.,
django/,52,WARNING: The `WSGIRequest` subclass doesn't call `super`.,
django/,53,Any variable assignment made here should also happen in,
django/,54,`WSGIRequest.__init__()`.,
django/,105,"We try three options, in order of decreasing preference.",
django/,112,Reconstruct the host using the algorithm from PEP 333.,
django/,123,Allow variants of localhost if ALLOWED_HOSTS is empty and DEBUG=True.,
django/,154,RFC 3986 requires query string arguments to be in the ASCII range.,
django/,155,"Rather than crash if this doesn't happen, we encode defensively.",
django/,206,Make it an absolute url (but schemeless and domainless) for the,
django/,207,edge case that the path starts with '//'.,
django/,210,Coerce lazy locations.,
django/,214,"Handle the simple, most common case. If the location is absolute",
django/,215,"and a scheme or host (netloc) isn't provided, skip an expensive",
django/,216,urljoin() as long as no path segments are '.' or '..'.,
django/,219,"If location starts with '//' but has no netloc, reuse the",
django/,220,schema and netloc from the current request. Strip the double,
django/,221,slashes and continue as if it wasn't specified.,
django/,226,"Join the constructed URL with the provided location, which",
django/,227,allows the provided location to apply query strings to the,
django/,228,base path.,
django/,292,"If there are no upload handlers defined, initialize them from settings.",
django/,317,Limit the maximum request data size that will be handled in-memory.,
django/,344,Use already read data,
django/,351,An error occurred while parsing POST data. Since when,
django/,352,formatting the error the request handler might access,
django/,353,"self.POST, set self._post and self._file to prevent",
django/,354,attempts to parse POST data again.,
django/,367,File-like and iterator interface.,
django/,368,,
django/,369,Expects self._stream to be set to an appropriate source of bytes by,
django/,370,a corresponding request subclass (e.g. WSGIRequest).,
django/,371,Also when request data has already been read by request.POST or,
django/,372,"request.body, self._stream points to a BytesIO instance",
django/,373,containing that data.,
django/,398,PEP 333 gives two headers which aren't prepended with HTTP_.,
django/,437,"These are both reset in __init__, but is specified here at the class",
django/,438,level so that unpickling will have valid values,
django/,452,"query_string normally contains URL-encoded data, a subset of ASCII.",
django/,456,... but some user agents are misbehaving :-(,
django/,614,It's neither necessary nor appropriate to use,
django/,615,"django.utils.encoding.force_str() for parsing URLs and form inputs. Thus,",
django/,616,"this slightly more restricted function, used by QueryDict.",
django/,644,It's an IPv6 address without a port.,
django/,648,Remove a trailing dot (if present) from the domain.,
django/,64,Content-Type should contain multipart and the boundary information.,
django/,69,Parse the header to get the boundary to split the parts.,
django/,78,Content-Length should contain the length of the body we are about,
django/,79,to receive.,
django/,86,This means we shouldn't continue...raise an error.,
django/,94,"For compatibility with low-level network APIs (with 32-bit integers),",
django/,95,"the chunk size should be < 2^31, but still divisible by 4.",
django/,116,HTTP spec says that Content-Length >= 0 is valid,
django/,117,handling content-length == 0 before continuing,
django/,121,See if any of the handlers take care of the parsing.,
django/,122,This allows overriding everything if need be.,
django/,131,Check to see if it was handled,
django/,135,Create the data structures to be used later.,
django/,139,Instantiate the parser and stream:,
django/,142,Whether or not to signal a file-completion at the beginning of the loop.,
django/,146,Number of bytes that have been read.,
django/,148,To count the number of keys in the request.,
django/,150,To limit the amount of data read from the request.,
django/,156,We run this at the beginning of the next loop,
django/,157,since we cannot be sure a file is complete until,
django/,158,we hit the next boundary/part of the multipart content.,
django/,174,Avoid storing more than DATA_UPLOAD_MAX_NUMBER_FIELDS.,
django/,183,Avoid reading more than DATA_UPLOAD_MAX_MEMORY_SIZE.,
django/,187,"This is a post field, we can just set it in the post",
django/,199,Add two here to make the check consistent with the,
django/,200,x-www-form-urlencoded check that includes '&='.,
django/,208,"This is a file, use the handler...",
django/,238,We only special-case base64 transfer encoding,
django/,239,"We should always decode base64 chunks by multiple of 4,",
django/,240,ignoring whitespace.,
django/,253,"Since this is only a chunk, any error is an unfixable error.",
django/,261,Don't continue if the chunk received by,
django/,262,the handler is None.,
django/,267,Just use up the rest of this file...,
django/,270,Handle file upload completions on next iteration.,
django/,273,"If this is neither a FIELD or a FILE, just exhaust the stream.",
django/,280,Make sure that the request data is all fed,
django/,283,Signal that the upload has completed.,
django/,284,any() shortcircuits if a handler's upload_complete() returns a value.,
django/,296,"If it returns a file object, then set the files dict.",
django/,305,Free up all file handles.,
django/,306,FIXME: this currently assumes that upload handlers store the file as 'file',
django/,307,We should document that... (Maybe add handler.free_file to complement new_file),
django/,342,do the whole thing in one shot if no limit was provided.,
django/,347,otherwise do some bookkeeping to return exactly enough,
django/,348,of the stream and stashing any extra content we get from,
django/,349,the producer,
django/,485,rollback an additional six bytes because the format is like,
django/,486,this: CRLF<boundary>[--CRLF],
django/,489,Try to use mx fast string search if available. Otherwise,
django/,490,use Python find. Wrap the latter for consistency.,
django/,530,make sure we don't treat a partial boundary (and,
django/,531,its separators) as data,
django/,532,and len(chunk) >= (len(self._boundary) + 6):,
django/,533,"There's nothing left, we should just return and mark as done.",
django/,555,backup over CRLF,
django/,571,consume iterator quickly.,
django/,578,"Stream at beginning of header, look for end of header",
django/,579,and parse it if found. The header must fit within one,
django/,580,chunk.,
django/,583,"'find' returns the top of these four bytes, so we'll",
django/,584,need to munch them later to prevent them from polluting,
django/,585,the payload.,
django/,597,"we find no header, so we just mark this fact and pass on",
django/,598,the stream verbatim,
django/,604,"here we place any excess chunk back onto the stream, as",
django/,605,well as throwing away the CRLFCRLF bytes from above.,
django/,611,Eliminate blank lines,
django/,613,"This terminology (""main value"" and ""dictionary of",
django/,614,"parameters"") is from the Python docs.",
django/,641,Iterate over each part,
django/,661,"Lang/encoding embedded in the value (like ""filename*=UTF-8''file.ext"")",
django/,662,http://tools.ietf.org/html/rfc2231#section-4,
django/,3,For backwards compatibility in Django 2.1.,
django/,6,Add support for the SameSite attribute (obsolete when PY37 is unsupported).,
django/,19,Assume an empty name per,
django/,20,https://bugzilla.mozilla.org/show_bug.cgi?id=169091,
