file path,line #,comment,satd
examples/snli/util.py,14,ignore existing directory,not
examples/snli/util.py,17,a different error happened,not
examples/snli/train.py,46,double the number of cells for bidirectional networks,not
examples/snli/train.py,75,"switch model to training mode, clear gradient accumulators",not
examples/snli/train.py,80,forward pass,not
examples/snli/train.py,83,calculate accuracy of predictions in the current batch,not
examples/snli/train.py,88,calculate loss of the network output with respect to training labels,not
examples/snli/train.py,91,backpropagate and update optimizer learning rate,not
examples/snli/train.py,94,checkpoint model periodically,not
examples/snli/train.py,103,evaluate performance on validation set periodically,not
examples/snli/train.py,106,switch model to evaluation mode,not
examples/snli/train.py,109,calculate accuracy on validation set,not
examples/snli/train.py,122,update best valiation set accuracy,not
examples/snli/train.py,125,found a model with better validation set accuracy,not
examples/snli/train.py,131,"save model, delete previous 'best_snapshot' files",not
examples/snli/train.py,139,print progress message,not
examples/regression/main.py,1,!/usr/bin/env python,not
examples/regression/main.py,41,Define model,not
examples/regression/main.py,45,Get data,not
examples/regression/main.py,48,Reset gradients,not
examples/regression/main.py,51,Forward pass,not
examples/regression/main.py,55,Backward pass,not
examples/regression/main.py,58,Apply gradients,not
examples/regression/main.py,62,Stop criterion,not
examples/imagenet/main.py,104,"Since we have ngpus_per_node processes per node, the total world_size",not
examples/imagenet/main.py,105,needs to be adjusted accordingly,not
examples/imagenet/main.py,107,Use torch.multiprocessing.spawn to launch distributed processes: the,not
examples/imagenet/main.py,108,main_worker process function,not
examples/imagenet/main.py,111,Simply call main_worker function,not
examples/imagenet/main.py,126,"For multiprocessing distributed training, rank needs to be the",not
examples/imagenet/main.py,127,global rank among all the processes,not
examples/imagenet/main.py,131,create model,not
examples/imagenet/main.py,140,"For multiprocessing distributed, DistributedDataParallel constructor",not
examples/imagenet/main.py,141,"should always set the single device scope, otherwise,",not
examples/imagenet/main.py,142,DistributedDataParallel will use all available devices.,not
examples/imagenet/main.py,146,When using a single GPU per process and per,not
examples/imagenet/main.py,147,"DistributedDataParallel, we need to divide the batch size",not
examples/imagenet/main.py,148,ourselves based on the total number of GPUs we have,not
examples/imagenet/main.py,154,DistributedDataParallel will divide and allocate batch_size to all,not
examples/imagenet/main.py,155,available GPUs if device_ids are not set,not
examples/imagenet/main.py,161,DataParallel will divide and allocate batch_size to all available GPUs,not
examples/imagenet/main.py,168,define loss function (criterion) and optimizer,not
examples/imagenet/main.py,175,optionally resume from a checkpoint,not
examples/imagenet/main.py,182,Map model to be loaded to specified single gpu.,not
examples/imagenet/main.py,188,best_acc1 may be from a checkpoint from a different GPU,not
examples/imagenet/main.py,199,Data loading code,not
examples/imagenet/main.py,242,train for one epoch,not
examples/imagenet/main.py,245,evaluate on validation set,not
examples/imagenet/main.py,248,remember best acc@1 and save checkpoint,not
examples/imagenet/main.py,274,switch to train mode,not
examples/imagenet/main.py,279,measure data loading time,not
examples/imagenet/main.py,286,compute output,not
examples/imagenet/main.py,290,measure accuracy and record loss,not
examples/imagenet/main.py,296,compute gradient and do SGD step,not
examples/imagenet/main.py,301,measure elapsed time,not
examples/imagenet/main.py,319,switch to evaluate mode,not
examples/imagenet/main.py,329,compute output,not
examples/imagenet/main.py,333,measure accuracy and record loss,not
