file path,line #,comment,satd
fabric/tasks.py,15,"Neuter the normal release.publish task to prevent accidents, then reinstate",
fabric/tasks.py,16,it as a custom task that does dual fabric-xxx and fabric2-xxx releases.,
fabric/tasks.py,17,TODO: tweak this once release.all_ actually works right...sigh,
fabric/tasks.py,18,"TODO: if possible, try phrasing as a custom build that builds x2, and then",
fabric/tasks.py,19,convince the vanilla publish() to use that custom build instead of its local,
fabric/tasks.py,20,build?,
fabric/tasks.py,21,"NOTE: this skips the dual_wheels, alt_python bits the upstream task has,",
fabric/tasks.py,22,which are at the moment purely for Invoke's sake (as it must publish explicit,
fabric/tasks.py,23,py2 vs py3 wheels due to some vendored dependencies),
fabric/tasks.py,35,TODO: better pattern for merging kwargs + config,
fabric/tasks.py,40,"Initial sanity check, if needed. Will die usefully.",
fabric/tasks.py,41,TODO: this could also get factored out harder in invocations. shrug. it's,
fabric/tasks.py,42,like 3 lines total...,
fabric/tasks.py,46,"Doesn't reeeeally need to be a partial, but if we start having to add",
fabric/tasks.py,47,"a kwarg to one call or the other, it's nice",
fabric/tasks.py,51,Vanilla build,
fabric/tasks.py,53,Fabric 2 build,
fabric/tasks.py,56,Upload,
fabric/tasks.py,60,"TODO: as usual, this just wants a good pattern for ""that other task, with a",
fabric/tasks.py,61,"tweaked default arg value""",
fabric/tasks.py,77,"Better than nothing, since we haven't solved ""pretend I have some other",
fabric/tasks.py,78,"task's signature"" yet...",
fabric/tasks.py,99,TODO: have pytest tasks honor these?,
fabric/tasks.py,104,NOTE: this is currently for identifying the source directory.,
fabric/tasks.py,105,"Should it get used for actual releasing, needs changing.",
fabric/tasks.py,112,"TODO: perhaps move this into a tertiary, non automatically loaded,",
fabric/tasks.py,113,conf file so that both this & the code under test can reference it?,
fabric/tasks.py,114,Meh.,
fabric/setup.py,1,!/usr/bin/env python,
fabric/setup.py,6,"Enable the option of building/installing Fabric 2.x as ""fabric2"". This allows",
fabric/setup.py,7,users migrating from 1.x to 2.x to have both in the same process space and,
fabric/setup.py,8,migrate piecemeal.,
fabric/setup.py,9,,
fabric/setup.py,10,NOTE: this requires some irritating tomfoolery; to wit:,
fabric/setup.py,11,- the repo has a fabric2/ symlink to fabric/ so that things looking for,
fabric/setup.py,12,"fabric2/<whatever> will find it OK, whether that's code in here or deeper in",
fabric/setup.py,13,setuptools/wheel/etc,
fabric/setup.py,14,"- wheels do _not_ execute this on install, only on generation, so maintainers",
fabric/setup.py,15,"just build wheels with the env var below turned on, and those wheels install",
fabric/setup.py,16,'fabric2' no problem,
fabric/setup.py,17,"- sdists execute this _both_ on package creation _and_ on install, so the env",
fabric/setup.py,18,"var only helps with inbound package metadata; on install by a user, if they",
fabric/setup.py,19,"don't have the env var, they'd end up with errors because this file tries to",
fabric/setup.py,20,"look in fabric/, not fabric2/",
fabric/setup.py,21,"- thus, we use a different test that looks locally to see if only one dir",
fabric/setup.py,22,"is present, and that overrides the env var test.",
fabric/setup.py,23,,
fabric/setup.py,24,See also sites/www/installing.txt.,
fabric/setup.py,42,Version info -- read without importing,
fabric/setup.py,48,Frankenstein long_description: changelog note + README,
fabric/,5,"Ape the half-assed logging junk from Invoke, but ensuring the logger reflects",
fabric/,6,"our name, not theirs. (Assume most contexts will rely on Invoke itself to",
fabric/,7,"literally enable/disable logging, for now.)",
fabric/,22,TODO: I don't understand why these lines were added outside the,
fabric/,23,"try/except, since presumably it means the attempt at catching ImportError",
fabric/,24,"wouldn't work. However, that's how the contributing user committed it.",
fabric/,25,"Need an older Windows box to test it out, most likely.",
fabric/,29,All Unix and most Windows systems support the getpass module.,
fabric/,32,"Some SaaS platforms raise KeyError, implying there is no real user",
fabric/,33,involved. They get the default value of None.,
fabric/,36,Older (?) Windows systems don't support getpass well; they should,
fabric/,37,have the `win32` module instead.,
fabric/,38,pragma: nocover,
fabric/,41,noqa,
fabric/,42,noqa,
fabric/,37,"Same as OpenSSH, can give >1 key",
fabric/,38,TODO: automatically add hint about iterable-ness to Invoke,
fabric/,39,help display machinery?,
fabric/,40,noqa,
fabric/,42,TODO: worth having short flags for these prompt args?,
fabric/,58,"No 'unparsed' (i.e. tokens intended for task contexts), and remainder",
fabric/,59,(text after a double-dash) implies a contextless/taskless remainder,
fabric/,60,execution of the style 'fab -H host -- command'.,
fabric/,61,NOTE: must ALSO check to ensure the double dash isn't being used for,
fabric/,62,tab completion machinery...,
fabric/,70,Stick in a dummy Collection if it looks like we were invoked w/o any,
fabric/,71,"tasks, and with a remainder.",
fabric/,72,"This isn't super ideal, but Invoke proper has no obvious ""just run my",
fabric/,73,"remainder"" use case, so having it be capable of running w/o any task",
fabric/,74,"module, makes no sense. But we want that capability for testing &",
fabric/,75,"things like 'fab -H x,y,z -- mycommand'.",
fabric/,77,TODO: hm we're probably not honoring project-specific configs in,
fabric/,78,"this branch; is it worth having it assume CWD==project, since",
fabric/,79,that's often what users expect? Even tho no task collection to,
fabric/,80,"honor the real ""lives by task coll""?",
fabric/,86,"As above, neuter the usual ""hey you didn't give me any tasks, let me",
