file path,line #,comment,satd
face_recognition/setup.py,1,!/usr/bin/env python,not
face_recognition/setup.py,2,-*- coding: utf-8 -*-,not
face_recognition/tests/test_face_recognition.py,1,!/usr/bin/env python,not
face_recognition/tests/test_face_recognition.py,2,-*- coding: utf-8 -*-,not
face_recognition/tests/test_face_recognition.py,181,0.6 is the default face distance match threshold. So we'll spot-check that the numbers returned,not
face_recognition/tests/test_face_recognition.py,182,are above or below that based on if they should match (since the exact numbers could vary).,not
face_recognition/tests/test_face_recognition.py,192,empty python list,not
face_recognition/tests/test_face_recognition.py,199,empty numpy list,not
face_recognition/tests/test_face_recognition.py,234,empty python list,not
face_recognition/tests/test_face_recognition.py,241,empty numpy list,not
face_recognition/tests/__init__.py,1,-*- coding: utf-8 -*-,not
face_recognition/examples/find_faces_in_picture.py,4,Load the jpg file into a numpy array,not
face_recognition/examples/find_faces_in_picture.py,7,Find all the faces in the image using the default HOG-based model.,not
face_recognition/examples/find_faces_in_picture.py,8,"This method is fairly accurate, but not as accurate as the CNN model and not GPU accelerated.",not
face_recognition/examples/find_faces_in_picture.py,9,See also: find_faces_in_picture_cnn.py,not
face_recognition/examples/find_faces_in_picture.py,16,Print the location of each face in this image,not
face_recognition/examples/find_faces_in_picture.py,20,You can access the actual face itself like this:,not
face_recognition/examples/face_recognition_knn.py,74,Loop through each person in the training set,not
face_recognition/examples/face_recognition_knn.py,79,Loop through each training image for the current person,not
face_recognition/examples/face_recognition_knn.py,85,"If there are no people (or too many people) in a training image, skip the image.",not
face_recognition/examples/face_recognition_knn.py,89,Add face encoding for current image to the training set,not
face_recognition/examples/face_recognition_knn.py,93,Determine how many neighbors to use for weighting in the KNN classifier,not
face_recognition/examples/face_recognition_knn.py,99,Create and train the KNN classifier,not
face_recognition/examples/face_recognition_knn.py,103,Save the trained KNN classifier,not
face_recognition/examples/face_recognition_knn.py,129,Load a trained KNN model (if one was passed in),not
face_recognition/examples/face_recognition_knn.py,134,Load image file and find face locations,not
face_recognition/examples/face_recognition_knn.py,138,"If no faces are found in the image, return an empty result.",not
face_recognition/examples/face_recognition_knn.py,142,Find encodings for faces in the test iamge,not
face_recognition/examples/face_recognition_knn.py,145,Use the KNN model to find the best matches for the test face,not
face_recognition/examples/face_recognition_knn.py,149,Predict classes and remove classifications that aren't within the threshold,not
face_recognition/examples/face_recognition_knn.py,165,Draw a box around the face using the Pillow module,not
face_recognition/examples/face_recognition_knn.py,168,There's a bug in Pillow where it blows up with non-UTF-8 text,not
face_recognition/examples/face_recognition_knn.py,169,when using the default bitmap font,not
face_recognition/examples/face_recognition_knn.py,172,Draw a label with a name below the face,not
face_recognition/examples/face_recognition_knn.py,177,Remove the drawing library from memory as per the Pillow docs,not
face_recognition/examples/face_recognition_knn.py,180,Display the resulting image,not
face_recognition/examples/face_recognition_knn.py,185,STEP 1: Train the KNN classifier and save it to disk,not
face_recognition/examples/face_recognition_knn.py,186,"Once the model is trained and saved, you can skip this step next time.",not
face_recognition/examples/face_recognition_knn.py,191,"STEP 2: Using the trained classifier, make predictions for unknown images",not
face_recognition/examples/face_recognition_knn.py,197,Find all people in the image using a trained classifier model,not
face_recognition/examples/face_recognition_knn.py,198,Note: You can pass in either a classifier file name or a classifier model instance,not
face_recognition/examples/face_recognition_knn.py,201,Print results on the console,not
face_recognition/examples/face_recognition_knn.py,205,Display results overlaid on an image,not
face_recognition/examples/facerec_from_video_file.py,4,This is a demo of running face recognition on a video file and saving the results to a new video file.,not
face_recognition/examples/facerec_from_video_file.py,5,,not
face_recognition/examples/facerec_from_video_file.py,6,PLEASE NOTE: This example requires OpenCV (the `cv2` library) to be installed only to read from your webcam.,not
face_recognition/examples/facerec_from_video_file.py,7,OpenCV is *not* required to use the face_recognition library. It's only required if you want to run this,not
face_recognition/examples/facerec_from_video_file.py,8,"specific demo. If you have trouble installing it, try any of the other demos that don't require it instead.",not
face_recognition/examples/facerec_from_video_file.py,10,Open the input movie file,not
face_recognition/examples/facerec_from_video_file.py,14,Create an output movie file (make sure resolution/frame rate matches input video!),not
face_recognition/examples/facerec_from_video_file.py,18,Load some sample pictures and learn how to recognize them.,not
face_recognition/examples/facerec_from_video_file.py,30,Initialize some variables,not
face_recognition/examples/facerec_from_video_file.py,37,Grab a single frame of video,not
face_recognition/examples/facerec_from_video_file.py,41,Quit when the input video file ends,not
face_recognition/examples/facerec_from_video_file.py,45,Convert the image from BGR color (which OpenCV uses) to RGB color (which face_recognition uses),not
face_recognition/examples/facerec_from_video_file.py,48,Find all the faces and face encodings in the current frame of video,not
face_recognition/examples/facerec_from_video_file.py,54,See if the face is a match for the known face(s),not
face_recognition/examples/facerec_from_video_file.py,57,"If you had more than 2 faces, you could make this logic a lot prettier",not
face_recognition/examples/facerec_from_video_file.py,58,but I kept it simple for the demo,not
face_recognition/examples/facerec_from_video_file.py,67,Label the results,not
face_recognition/examples/facerec_from_video_file.py,72,Draw a box around the face,not
face_recognition/examples/facerec_from_video_file.py,75,Draw a label with a name below the face,not
face_recognition/examples/facerec_from_video_file.py,80,Write the resulting image to the output video file,not
face_recognition/examples/facerec_from_video_file.py,84,All done!,not
face_recognition/examples/face_distance.py,3,"Often instead of just checking if two faces match or not (True or False), it's helpful to see how similar they are.",not
face_recognition/examples/face_distance.py,4,You can do that by using the face_distance function.,not
face_recognition/examples/face_distance.py,6,The model was trained in a way that faces with a distance of 0.6 or less should be a match. But if you want to,not
face_recognition/examples/face_distance.py,7,"be more strict, you can look for a smaller face distance. For example, using a 0.55 cutoff would reduce false",not
face_recognition/examples/face_distance.py,8,positive matches at the risk of more false negatives.,not
face_recognition/examples/face_distance.py,10,"Note: This isn't exactly the same as a ""percent match"". The scale isn't linear. But you can assume that images with a",not
face_recognition/examples/face_distance.py,11,smaller distance are more similar to each other than ones with a larger distance.,not
face_recognition/examples/face_distance.py,13,Load some images to compare against,not
face_recognition/examples/face_distance.py,17,Get the face encodings for the known images,not
face_recognition/examples/face_distance.py,26,Load a test image and get encondings for it,not
face_recognition/examples/face_distance.py,30,See how far apart the test image is from the known faces,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,10,This is a little bit complicated (but fast) example of running face recognition on live video from your webcam.,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,11,This example is using multiprocess.,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,13,PLEASE NOTE: This example requires OpenCV (the `cv2` library) to be installed only to read from your webcam.,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,14,OpenCV is *not* required to use the face_recognition library. It's only required if you want to run this,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,15,"specific demo. If you have trouble installing it, try any of the other demos that don't require it instead.",not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,18,Get next worker's id,not
face_recognition/examples/facerec_from_webcam_multiprocessing.py,26,Get previous worker's id,not
