file path,line #,comment,satd
faceswap/faceswap.py,1,!/usr/bin/env python3,not
faceswap/update_deps.py,1,!/usr/bin/env python3,not
faceswap/update_deps.py,23,pylint:disable=global-statement,not
faceswap/tools.py,1,!/usr/bin/env python3,not
faceswap/tools.py,8,Importing the various tools,not
faceswap/tools.py,11,Python version check,not
faceswap/tools.py,18,pylint:disable=unused-argument,not
faceswap/setup.py,1,!/usr/bin/env python3,not
faceswap/setup.py,4,>>> ENV,not
faceswap/setup.py,16,Revisions of tensorflow-gpu and cuda/cudnn requirements,not
faceswap/setup.py,18,TF 2.0 Not currently supported,not
faceswap/setup.py,19,Mapping of Python packages to their conda names if different from pypi or in non-default channel,not
faceswap/setup.py,21,"""opencv-python"": (""opencv"", ""conda-forge""),  # Periodic issues with conda-forge opencv",not
faceswap/setup.py,36,Flag that setup is being run by installer so steps can be skipped,not
faceswap/setup.py,172,noqa pylint:disable=unused-import,not
faceswap/setup.py,180,"Don't do this with Conda, as we must use conda's pip",not
faceswap/setup.py,332,pylint:disable=global-statement,not
faceswap/setup.py,347,Checks not required for installer,not
faceswap/setup.py,353,Ask AMD/Docker/Cuda,not
faceswap/setup.py,365,Check for CUDA and cuDNN,not
faceswap/setup.py,444,Failed to load nvcc,not
faceswap/setup.py,549,TODO A more reliable way of getting the windows location,SATD
faceswap/setup.py,592,Get Conda alias for Key,not
faceswap/setup.py,633,Install conda packages first,not
faceswap/setup.py,688,hide info/warning and fix cache hang,not
faceswap/setup.py,692,install as user to solve perm restriction,not
faceswap/lib/queue_manager.py,1,!/usr/bin/env python3,not
faceswap/lib/queue_manager.py,10,pylint: disable=unused-import; # noqa,not
faceswap/lib/queue_manager.py,13,pylint: disable=invalid-name,not
faceswap/lib/queue_manager.py,102,pylint: disable=invalid-name,not
faceswap/lib/vgg_face2_keras.py,1,!/usr/bin python3,not
faceswap/lib/vgg_face2_keras.py,14,pylint: disable=invalid-name,not
faceswap/lib/vgg_face2_keras.py,48,Average image provided in https://github.com/ox-vgg/vgg_face2,not
faceswap/lib/vgg_face2_keras.py,54,<<< GET MODEL >>>,not
faceswap/lib/vgg_face2_keras.py,213,bytes size of a numpy float,not
faceswap/lib/vgg_face2_keras.py,214,bytes to MB,not
faceswap/lib/image.py,1,!/usr/bin python3,not
faceswap/lib/image.py,24,pylint:disable=invalid-name,not
faceswap/lib/image.py,26,###################,not
faceswap/lib/image.py,27,<<< IMAGE UTILS >>>,not
faceswap/lib/image.py,28,###################,not
faceswap/lib/image.py,31,<<< IMAGE IO >>>,not
faceswap/lib/image.py,100,"Floating points make TQDM display poorly, so only update on full",not
faceswap/lib/image.py,101,second increments,not
