file path,line #,comment,satd
glances/unitest-restful.py,1,!/usr/bin/env python,not
glances/unitest-restful.py,2,-*- coding: utf-8 -*-,not
glances/unitest-restful.py,3,,not
glances/unitest-restful.py,4,Glances - An eye on your system,not
glances/unitest-restful.py,5,,not
glances/unitest-restful.py,6,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/unitest-restful.py,7,,not
glances/unitest-restful.py,8,Glances is free software; you can redistribute it and/or modify,not
glances/unitest-restful.py,9,it under the terms of the GNU Lesser General Public License as published by,not
glances/unitest-restful.py,10,"the Free Software Foundation, either version 3 of the License, or",not
glances/unitest-restful.py,11,(at your option) any later version.,not
glances/unitest-restful.py,12,,not
glances/unitest-restful.py,13,"Glances is distributed in the hope that it will be useful,",not
glances/unitest-restful.py,14,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/unitest-restful.py,15,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/unitest-restful.py,16,GNU Lesser General Public License for more details.,not
glances/unitest-restful.py,17,,not
glances/unitest-restful.py,18,You should have received a copy of the GNU Lesser General Public License,not
glances/unitest-restful.py,19,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/unitest-restful.py,39,Unitest class,not
glances/unitest-restful.py,40,==============,not
glances/unitest-xmlrpc.py,1,!/usr/bin/env python,not
glances/unitest-xmlrpc.py,2,-*- coding: utf-8 -*-,not
glances/unitest-xmlrpc.py,3,,not
glances/unitest-xmlrpc.py,4,Glances - An eye on your system,not
glances/unitest-xmlrpc.py,5,,not
glances/unitest-xmlrpc.py,6,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/unitest-xmlrpc.py,7,,not
glances/unitest-xmlrpc.py,8,Glances is free software; you can redistribute it and/or modify,not
glances/unitest-xmlrpc.py,9,it under the terms of the GNU Lesser General Public License as published by,not
glances/unitest-xmlrpc.py,10,"the Free Software Foundation, either version 3 of the License, or",not
glances/unitest-xmlrpc.py,11,(at your option) any later version.,not
glances/unitest-xmlrpc.py,12,,not
glances/unitest-xmlrpc.py,13,"Glances is distributed in the hope that it will be useful,",not
glances/unitest-xmlrpc.py,14,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/unitest-xmlrpc.py,15,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/unitest-xmlrpc.py,16,GNU Lesser General Public License for more details.,not
glances/unitest-xmlrpc.py,17,,not
glances/unitest-xmlrpc.py,18,You should have received a copy of the GNU Lesser General Public License,not
glances/unitest-xmlrpc.py,19,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/unitest-xmlrpc.py,36,Init the XML-RPC client,not
glances/unitest-xmlrpc.py,39,Unitest class,not
glances/unitest-xmlrpc.py,40,==============,not
glances/unitest.py,1,!/usr/bin/env python,not
glances/unitest.py,2,-*- coding: utf-8 -*-,not
glances/unitest.py,3,,not
glances/unitest.py,4,Glances - An eye on your system,not
glances/unitest.py,5,,not
glances/unitest.py,6,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/unitest.py,7,,not
glances/unitest.py,8,Glances is free software; you can redistribute it and/or modify,not
glances/unitest.py,9,it under the terms of the GNU Lesser General Public License as published by,not
glances/unitest.py,10,"the Free Software Foundation, either version 3 of the License, or",not
glances/unitest.py,11,(at your option) any later version.,not
glances/unitest.py,12,,not
glances/unitest.py,13,"Glances is distributed in the hope that it will be useful,",not
glances/unitest.py,14,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/unitest.py,15,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/unitest.py,16,GNU Lesser General Public License for more details.,not
glances/unitest.py,17,,not
glances/unitest.py,18,You should have received a copy of the GNU Lesser General Public License,not
glances/unitest.py,19,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/unitest.py,39,Global variables,not
glances/unitest.py,40,=================,not
glances/unitest.py,43,Init Glances core,not
glances/unitest.py,46,Init Glances stats,not
glances/unitest.py,50,Unitest class,not
glances/unitest.py,51,==============,not
glances/unitest.py,96,Check that the key exist,not
glances/unitest.py,106,Check that the key exist,not
glances/unitest.py,108,Check that % is > 0 and < 100,not
glances/unitest.py,120,Check that the key exist,not
glances/unitest.py,122,Check that % is > 0,not
glances/unitest.py,132,Check that the key exist,not
glances/unitest.py,134,Check that % is > 0,not
glances/unitest.py,144,Check that the key exist,not
glances/unitest.py,146,Check that % is > 0,not
glances/unitest.py,166,stats_to_check = [ ],not
glances/unitest.py,174,stats_to_check = [ ],not
glances/unitest.py,177,total = stats_grab['total'],not
glances/unitest.py,183,Check if number of processes in the list equal counter,not
glances/unitest.py,184,"self.assertEqual(total, len(stats_grab))",not
glances/unitest.py,188,stats_to_check = [ ],not
glances/unitest.py,320,GlancesAttribute,not
glances/unitest.py,333,Check if history_max_size=3 is OK,not
glances/unitest.py,343,GlancesHistory,not
glances/setup.py,1,!/usr/bin/env python,not
glances/setup.py,20,Global functions,not
glances/setup.py,21,,not
glances/setup.py,55,Zeroconf 0.19.1 is the latest one compatible with Python 2 (issue #1293),not
glances/setup.py,63,"python_version<""3.5""",not
glances/setup.py,74,Add automatically the 'all' target,not
glances/setup.py,99,Setup !,not
glances/glances/compat.py,1,-*- coding: utf-8 -*-,not
glances/glances/compat.py,2,,not
glances/glances/compat.py,3,This file is part of Glances.,not
glances/glances/compat.py,4,,not
glances/glances/compat.py,5,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/glances/compat.py,6,,not
glances/glances/compat.py,7,Glances is free software; you can redistribute it and/or modify,not
glances/glances/compat.py,8,it under the terms of the GNU Lesser General Public License as published by,not
glances/glances/compat.py,9,"the Free Software Foundation, either version 3 of the License, or",not
glances/glances/compat.py,10,(at your option) any later version.,not
glances/glances/compat.py,11,,not
glances/glances/compat.py,12,"Glances is distributed in the hope that it will be useful,",not
glances/glances/compat.py,13,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/glances/compat.py,14,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/glances/compat.py,15,GNU Lesser General Public License for more details.,not
glances/glances/compat.py,16,,not
glances/glances/compat.py,17,You should have received a copy of the GNU Lesser General Public License,not
glances/glances/compat.py,18,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/glances/compat.py,20,flake8: noqa,not
glances/glances/compat.py,21,pylint: skip-file,not
glances/glances/compat.py,207,Globals functions for both Python 2 and 3,not
glances/glances/compat.py,258,WARNING: requires Windows XP SP2 or higher!,not
glances/glances/compat.py,265,Check for root on Posix,not
glances/glances/password.py,1,-*- coding: utf-8 -*-,not
glances/glances/password.py,2,,not
glances/glances/password.py,3,This file is part of Glances.,not
glances/glances/password.py,4,,not
glances/glances/password.py,5,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/glances/password.py,6,,not
glances/glances/password.py,7,Glances is free software; you can redistribute it and/or modify,not
glances/glances/password.py,8,it under the terms of the GNU Lesser General Public License as published by,not
glances/glances/password.py,9,"the Free Software Foundation, either version 3 of the License, or",not
glances/glances/password.py,10,(at your option) any later version.,not
glances/glances/password.py,11,,not
glances/glances/password.py,12,"Glances is distributed in the hope that it will be useful,",not
glances/glances/password.py,13,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/glances/password.py,14,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/glances/password.py,15,GNU Lesser General Public License for more details.,not
glances/glances/password.py,16,,not
glances/glances/password.py,17,You should have received a copy of the GNU Lesser General Public License,not
glances/glances/password.py,18,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/glances/password.py,82,If the password file exist then use it,not
glances/glances/password.py,86,password_sha256 is the plain SHA-256 password,not
glances/glances/password.py,87,password_hashed is the salt + SHA-256 password,not
glances/glances/password.py,91,password_confirm is the clear password (only used to compare),not
glances/glances/password.py,98,Return the plain SHA-256 or the salted password,not
glances/glances/password.py,104,Save the hashed password to the password file,not
glances/glances/password.py,114,Create the glances directory,not
glances/glances/password.py,117,Create/overwrite the password file,not
glances/glances/password.py,123,"Read the password file, if it exists",not
glances/glances/server.py,1,-*- coding: utf-8 -*-,not
glances/glances/server.py,2,,not
glances/glances/server.py,3,This file is part of Glances.,not
glances/glances/server.py,4,,not
glances/glances/server.py,5,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/glances/server.py,6,,not
glances/glances/server.py,7,Glances is free software; you can redistribute it and/or modify,not
glances/glances/server.py,8,it under the terms of the GNU Lesser General Public License as published by,not
glances/glances/server.py,9,"the Free Software Foundation, either version 3 of the License, or",not
glances/glances/server.py,10,(at your option) any later version.,not
glances/glances/server.py,11,,not
glances/glances/server.py,12,"Glances is distributed in the hope that it will be useful,",not
glances/glances/server.py,13,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/glances/server.py,14,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
glances/glances/server.py,15,GNU Lesser General Public License for more details.,not
glances/glances/server.py,16,,not
glances/glances/server.py,17,You should have received a copy of the GNU Lesser General Public License,not
glances/glances/server.py,18,"along with this program. If not, see <http://www.gnu.org/licenses/>.",not
glances/glances/server.py,42,Hack to add a specific header,SATD
glances/glances/server.py,43,Thk to: https://gist.github.com/rca/4063325,not
glances/glances/server.py,48,Specific header is here (solved the issue #227),not
glances/glances/server.py,52,auth = headers.get('Authorization'),not
glances/glances/server.py,56,Client did not ask for authentidaction,not
glances/glances/server.py,57,If server need it then exit,not
glances/glances/server.py,60,Client authentication,not
glances/glances/server.py,63,Encoded portion of the header is a string,not
glances/glances/server.py,64,Need to convert to bytestring,not
glances/glances/server.py,66,Decode base64 byte string to a decoded byte string,not
glances/glances/server.py,68,Convert from byte string to a regular string,not
glances/glances/server.py,70,Get the username and password from the string,not
glances/glances/server.py,72,Check that username and password match internal global dictionary,not
glances/glances/server.py,76,Check username and password in the dictionary,not
glances/glances/server.py,86,Next we authenticate,not
glances/glances/server.py,90,"if authentication fails, tell the client",not
glances/glances/server.py,95,No message displayed on the server side,not
glances/glances/server.py,136,Init stats,not
glances/glances/server.py,139,Initial update,not
glances/glances/server.py,142,cached_time is the minimum time interval between stats updates,not
glances/glances/server.py,143,i.e. XML/RPC calls will not retrieve updated info until the time,not
glances/glances/server.py,144,since last update is passed (will retrieve old cached info instead),not
glances/glances/server.py,149,Never update more than 1 time per cached_time,not
glances/glances/server.py,155,Return the Glances version,not
glances/glances/server.py,159,Update and return all the stats,not
glances/glances/server.py,164,Return the plugins list,not
glances/glances/server.py,168,Return all the plugins limits,not
glances/glances/server.py,172,Return all the plugins views,not
glances/glances/server.py,181,Check if the attribute starts with 'get',not
glances/glances/server.py,184,Update the stat,not
glances/glances/server.py,186,Return the attribute,not
glances/glances/server.py,189,The method is not found for the plugin,not
glances/glances/server.py,192,Default behavior,not
glances/glances/server.py,204,Args,not
glances/glances/server.py,207,Init the XML RPC server,not
glances/glances/server.py,216,The users dict,not
glances/glances/server.py,217,username / password couple,not
glances/glances/server.py,218,"By default, no auth is needed",not
glances/glances/server.py,222,Register functions,not
glances/glances/server.py,227,Note: The Zeroconf service name will be based on the hostname,not
glances/glances/server.py,228,Correct issue: Zeroconf problem with zeroconf service name #889,not
glances/glances/server.py,240,Set the server login/password (if -P/--password tag),not
glances/glances/server.py,243,Serve forever,not
glances/glances/logger.py,1,-*- coding: utf-8 -*-,not
glances/glances/logger.py,2,,not
glances/glances/logger.py,3,This file is part of Glances.,not
glances/glances/logger.py,4,,not
glances/glances/logger.py,5,Copyright (C) 2019 Nicolargo <nicolas@nicolargo.com>,not
glances/glances/logger.py,6,,not
glances/glances/logger.py,7,Glances is free software; you can redistribute it and/or modify,not
glances/glances/logger.py,8,it under the terms of the GNU Lesser General Public License as published by,not
glances/glances/logger.py,9,"the Free Software Foundation, either version 3 of the License, or",not
glances/glances/logger.py,10,(at your option) any later version.,not
glances/glances/logger.py,11,,not
glances/glances/logger.py,12,"Glances is distributed in the hope that it will be useful,",not
glances/glances/logger.py,13,but WITHOUT ANY WARRANTY; without even the implied warranty of,not
glances/glances/logger.py,14,MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the,not
