file path,line #,comment,satd
gym/setup.py,4,"Don't import gym module here, since deps may not be installed",not
gym/setup.py,8,Environment-specific dependencies.,not
gym/setup.py,17,Meta dependency groups.,not
gym/bin/render.py,1,!/usr/bin/env python3,not
gym/gym/logger.py,36,DEPRECATED:,not
gym/gym/error.py,6,Local errors,not
gym/gym/error.py,65,API errors,not
gym/gym/error.py,94,Python 2,not
gym/gym/error.py,96,Python 3,not
gym/gym/error.py,120,Video errors,not
gym/gym/error.py,128,Wrapper errors,not
gym/gym/error.py,141,Vectorized environments errors,not
gym/gym/core.py,31,Set this in SOME subclasses,not
gym/gym/core.py,36,Set these in ALL subclasses,not
gym/gym/core.py,152,propagate exception,not
gym/gym/core.py,166,Enforce that each GoalEnv uses a Goal-compatible observation space.,not
gym/gym/utils/closer.py,63,Explicitly fetch all monitors first so that they can't disappear while,not
gym/gym/utils/closer.py,64,we iterate. cf. http://stackoverflow.com/a/12429620,not
gym/gym/utils/seeding.py,53,Adapted from https://svn.python.org/projects/python/tags/r32/Lib/random.py,not
gym/gym/utils/seeding.py,67,TODO: don't hardcode sizeof_int here,SATD
gym/gym/utils/seeding.py,80,Special case 0,not
gym/gym/utils/atomic_write.py,1,Based on http://stackoverflow.com/questions/2333872/atomic-writing-to-file-with-python,not
gym/gym/utils/atomic_write.py,6,We would ideally atomically replace any existing file with the new,not
gym/gym/utils/atomic_write.py,7,"version. However, on Windows there's no Python-only solution prior",not
gym/gym/utils/atomic_write.py,8,to Python 3.3. (This library includes a C extension to do so:,not
gym/gym/utils/atomic_write.py,9,https://pypi.python.org/pypi/pyosreplace/0.1.),not
gym/gym/utils/atomic_write.py,10,,not
gym/gym/utils/atomic_write.py,11,"Correspondingly, we make a best effort, but on Python < 3.3 use a",not
gym/gym/utils/atomic_write.py,12,replace method which could result in the file temporarily,not
gym/gym/utils/atomic_write.py,13,disappearing.,not
gym/gym/utils/atomic_write.py,16,Python 3.3 and up have a native `replace` method,not
gym/gym/utils/atomic_write.py,20,"TODO: on Windows, this will raise if the file is in use,",SATD
gym/gym/utils/atomic_write.py,21,which is possible. We'll need to make this more robust over,not
gym/gym/utils/atomic_write.py,22,time.,not
gym/gym/utils/atomic_write.py,29,POSIX rename() is always atomic,not
gym/gym/utils/play.py,118,process pygame events,not
