file path,line #,comment,satd
httpie/setup.py,1,This is purely the result of trial and error.,
httpie/setup.py,13,`$ python setup.py test' simply installs minimal requirements,
httpie/setup.py,14,and runs the tests with no fancy stuff like parallel execution.,
httpie/setup.py,29,Pytest needs to come last.,
httpie/setup.py,30,https://bitbucket.org/pypa/setuptools/issue/196/,
httpie/setup.py,43,Conditional dependencies:,
httpie/setup.py,45,sdist,
httpie/setup.py,48,noinspection PyUnresolvedReferences,
httpie/setup.py,54,Terminal colors for Windows,
httpie/setup.py,58,bdist_wheel,
httpie/setup.py,60,https://wheel.readthedocs.io/en/latest/#defining-conditional-dependencies,
httpie/,22,Request headers starting with these prefixes won't be stored in sessions.,
httpie/,23,They are specific to each request.,
httpie/,24,<https://en.wikipedia.org/wiki/List_of_HTTP_header_fields#Requests>,
httpie/,39,HACK/FIXME: httpie-unixsocket's URLs have no hostname.,
httpie/,42,host:port => host_port,
httpie/,76,Ignore explicitly unset headers,
httpie/,105,<https://docs.python.org/2/library/cookielib.html#cookie-objects>,
httpie/,124,New style,
httpie/,127,Old style,
httpie/,1,!/usr/bin/env python,
httpie/,9,Compiled w/o curses,
httpie/,29,`None` when closed fd (#791),
httpie/,47,noinspection PyUnresolvedReferences,
httpie/,68,Keyword arguments > stream.encoding > default utf8,
httpie/,75,noinspection PyUnresolvedReferences,
httpie/,78,noinspection PyUnresolvedReferences,
httpie/,19,Author: Doug Latornell,
httpie/,20,Licence: MIT,
httpie/,21,URL: https://code.activestate.com/recipes/577081/,
httpie/,60,noinspection PyUnboundLocalVariable,
httpie/,23,noinspection PyPackageRequirements,
httpie/,25,<https://urllib3.readthedocs.io/en/latest/security.html>,
httpie/,66,Save auth from CLI to HTTPie session.,
httpie/,72,Apply auth from HTTPie session,
httpie/,76,TODO: reflect the split between request and send kwargs.,
httpie/,120,noinspection PyProtectedMember,
httpie/,123,<https://github.com/jakubroztocil/httpie/issues/802>,
httpie/,164,Install our adapter.,
httpie/,172,Install adapters from plugins.,
httpie/,192,“leading or trailing LWS MAY be removed without,
httpie/,193,changing the semantics of the field value”,
httpie/,194,<https://www.w3.org/Protocols/rfc2616/rfc2616-sec4.html>,
httpie/,195,"Also, requests raises `InvalidHeader` for leading spaces.",
httpie/,198,See <https://github.com/jakubroztocil/httpie/issues/212>,
httpie/,216,"If sending files, `requests` will set",
httpie/,217,the `Content-Type` for us.,
httpie/,258,"Serialize JSON data, if needed.",
httpie/,265,We need to set data to an empty string to prevent requests,
httpie/,266,from assigning an empty list to `response.request.data`.,
httpie/,269,Finalize headers.,
httpie/,308,noinspection PyProtectedMember,
httpie/,1,coding=utf-8,
httpie/,78,"""A byte-content-range-spec with a byte-range-resp-spec whose",
httpie/,79,"last- byte-pos value is less than its first-byte-pos value,",
httpie/,80,or whose instance-length value is less than or equal to its,
httpie/,81,"last-byte-pos value, is invalid. The recipient of an invalid",
httpie/,82,byte-content-range- spec MUST ignore it and any content,
httpie/,83,"transferred along with it.""",
httpie/,93,Not what we asked for.,
httpie/,113,attachment; filename=jakubroztocil-httpie-0.4.1-20-g40bd8f6.tar.gz,
httpie/,118,Basic sanitation.,
httpie/,130,mimetypes returns '.ksh',
httpie/,135,Python 3,
httpie/,160,non-posix,
httpie/,222,"Ask the server not to encode the content so that we can resume, etc.",
httpie/,227,Set ``Range`` header to resume the download,
httpie/,228,"TODO: Use ""If-Range: mtime"" to make sure it's fresh?",
