file path,line #,comment,satd
ipython/setupbase.py,1,encoding: utf-8,not
ipython/setupbase.py,12,Copyright (c) IPython Development Team.,not
ipython/setupbase.py,13,Distributed under the terms of the Modified BSD License.,not
ipython/setupbase.py,30,-------------------------------------------------------------------------------,not
ipython/setupbase.py,31,Useful globals and utility functions,not
ipython/setupbase.py,32,-------------------------------------------------------------------------------,not
ipython/setupbase.py,34,A few handy globals,not
ipython/setupbase.py,44,"A little utility we'll need below, since glob() does NOT allow you to do",not
ipython/setupbase.py,45,exclusion on multiple endings!,not
ipython/setupbase.py,56,---------------------------------------------------------------------------,not
ipython/setupbase.py,57,Basic project information,not
ipython/setupbase.py,58,---------------------------------------------------------------------------,not
ipython/setupbase.py,60,"release.py contains version, authors, license, url, keywords, etc.",not
ipython/setupbase.py,63,Create a dict with the basic information,not
ipython/setupbase.py,64,This dict is eventually passed to setup after additional keys are added.,not
ipython/setupbase.py,87,---------------------------------------------------------------------------,not
ipython/setupbase.py,88,Find packages,not
ipython/setupbase.py,89,---------------------------------------------------------------------------,not
ipython/setupbase.py,100,package is to be excluded (e.g. deathrow),not
ipython/setupbase.py,103,not a package,not
ipython/setupbase.py,108,---------------------------------------------------------------------------,not
ipython/setupbase.py,109,Find package data,not
ipython/setupbase.py,110,---------------------------------------------------------------------------,not
ipython/setupbase.py,116,This is not enough for these things to appear in an sdist.,not
ipython/setupbase.py,117,We need to muck with the MANIFEST to get this to work,not
ipython/setupbase.py,154,---------------------------------------------------------------------------,not
ipython/setupbase.py,155,Find data files,not
ipython/setupbase.py,156,---------------------------------------------------------------------------,not
ipython/setupbase.py,170,Simple file lists can be made by hand,not
ipython/setupbase.py,173,"When running from a source tree, the manpages aren't gzipped",not
ipython/setupbase.py,176,And assemble the entire output list,not
ipython/setupbase.py,182,"The two functions below are copied from IPython.utils.path, so we don't need",not
ipython/setupbase.py,183,"to import IPython during setup, which fails on Python 3.",not
ipython/setupbase.py,203,"print ""For target"",target,""Dep failed:"",dep # dbg",not
ipython/setupbase.py,204,"print ""times (dep,tar):"",dep_time,target_time # dbg",not
ipython/setupbase.py,220,---------------------------------------------------------------------------,not
ipython/setupbase.py,221,Find scripts,not
ipython/setupbase.py,222,---------------------------------------------------------------------------,not
ipython/setupbase.py,274,Write .cmd wrappers for Windows so 'ipython' etc. work at the,not
ipython/setupbase.py,275,command line,not
ipython/setupbase.py,323,Run all sub-commands (at least those that need to be run),not
ipython/setupbase.py,327,'sub_commands': a list of commands this command might have to run to,not
ipython/setupbase.py,328,get its work done.  See cmd.py for more info.,not
ipython/setupbase.py,347,---------------------------------------------------------------------------,not
ipython/setupbase.py,348,VCS related,not
ipython/setupbase.py,349,---------------------------------------------------------------------------,not
ipython/setupbase.py,363,loose as `.dev` is suppose to be invalid,not
ipython/setupbase.py,371,this one will only fire for build commands,not
ipython/setupbase.py,376,this one will fire for sdist,not
ipython/setupbase.py,391,"nothing to write, don't clobber",not
ipython/setupbase.py,396,remove to avoid overwriting original via hard link,not
ipython/setupegg.py,1,!/usr/bin/env python,not
ipython/setupegg.py,4,Import setuptools and call the actual setup,not
ipython/setup.py,1,!/usr/bin/env python3,not
ipython/setup.py,2,-*- coding: utf-8 -*-,not
ipython/setup.py,9,-----------------------------------------------------------------------------,not
ipython/setup.py,10,"Copyright (c) 2008-2011, IPython Development Team.",not
ipython/setup.py,11,"Copyright (c) 2001-2007, Fernando Perez <fernando.perez@colorado.edu>",not
ipython/setup.py,12,"Copyright (c) 2001, Janko Hauser <jhauser@zscout.de>",not
ipython/setup.py,13,"Copyright (c) 2001, Nathaniel Gray <n8gray@caltech.edu>",not
ipython/setup.py,14,,not
ipython/setup.py,15,Distributed under the terms of the Modified BSD License.,not
ipython/setup.py,16,,not
ipython/setup.py,17,"The full license is in the file COPYING.rst, distributed with this software.",not
ipython/setup.py,18,-----------------------------------------------------------------------------,not
ipython/setup.py,23,**Python version check**,not
ipython/setup.py,24,,not
ipython/setup.py,25,"This check is also made in IPython/__init__, don't forget to update both when",not
ipython/setup.py,26,changing Python version requirements.,not
ipython/setup.py,36,pip is new enough - it must be something else,not
ipython/setup.py,59,"At least we're on the python version we need, move on.",not
