file path,line #,comment,satd
keras/keras/optimizers.py,33,if clipnorm == 0 no need to add ops to the graph,not
keras/keras/optimizers.py,36,tf require using a special op to multiply IndexedSliced by scalar,not
keras/keras/optimizers.py,42,saving the shape to avoid converting sparse tensor to dense,not
keras/keras/optimizers.py,160,Legacy support.,not
keras/keras/optimizers.py,199,momentum,not
keras/keras/optimizers.py,205,velocity,not
keras/keras/optimizers.py,213,Apply constraints.,not
keras/keras/optimizers.py,273,update accumulator,not
keras/keras/optimizers.py,278,Apply constraints.,not
keras/keras/optimizers.py,287,Override set_weights for backward compatibility of Keras 2.2.4 optimizer,not
keras/keras/optimizers.py,288,since it does not include iteration at head of the weight list. Set,not
keras/keras/optimizers.py,289,iteration to 0.,not
keras/keras/optimizers.py,348,update accumulator,not
keras/keras/optimizers.py,352,Apply constraints.,not
keras/keras/optimizers.py,361,Override set_weights for backward compatibility of Keras 2.2.4 optimizer,not
keras/keras/optimizers.py,362,since it does not include iteration at head of the weight list. Set,not
keras/keras/optimizers.py,363,iteration to 0.,not
keras/keras/optimizers.py,430,update accumulator,not
keras/keras/optimizers.py,434,use the new accumulator and the *old* delta_accumulator,not
keras/keras/optimizers.py,438,Apply constraints.,not
keras/keras/optimizers.py,444,update delta_accumulator,not
keras/keras/optimizers.py,451,Override set_weights for backward compatibility of Keras 2.2.4 optimizer,not
keras/keras/optimizers.py,452,since it does not include iteration at head of the weight list. Set,not
keras/keras/optimizers.py,453,iteration to 0.,not
keras/keras/optimizers.py,549,Apply constraints.,not
keras/keras/optimizers.py,610,zero init of 1st moment,not
keras/keras/optimizers.py,613,zero init of exponentially weighted infinity norm,not
keras/keras/optimizers.py,628,Apply constraints.,not
keras/keras/optimizers.py,686,"Due to the recommendations in [2], i.e. warming momentum schedule",not
keras/keras/optimizers.py,704,the following equations given in [1],not
keras/keras/optimizers.py,720,Apply constraints.,not
keras/keras/optimizers.py,729,Override set_weights for backward compatibility of Keras 2.2.4 optimizer,not
keras/keras/optimizers.py,730,since it does not include m_schedule at head of the weight list. Set,not
keras/keras/optimizers.py,731,m_schedule to 1.,not
keras/keras/optimizers.py,789,Aliases.,not
keras/keras/optimizers.py,827,Make deserialization case-insensitive for built-in optimizers.,not
keras/keras/optimizers.py,854,Wrap TF optimizer instances,not
keras/keras/initializers.py,27,Initializers saved from `tf.keras`,not
keras/keras/initializers.py,28,may contain an unused `dtype` argument.,not
keras/keras/initializers.py,220,"0.879... = scipy.stats.truncnorm.std(a=-2, b=2, loc=0., scale=1.)",not
keras/keras/initializers.py,269,Pick the one with the correct shape.,not
keras/keras/initializers.py,448,Compatibility aliases,not
keras/keras/initializers.py,459,Utility functions,not
keras/keras/initializers.py,482,"Assuming convolution kernels (1D, 2D or 3D).",not
keras/keras/initializers.py,483,"TH kernel shape: (depth, input_depth, ...)",not
keras/keras/initializers.py,484,"TF kernel shape: (..., input_depth, depth)",not
keras/keras/initializers.py,496,No specific assumptions.,not
keras/keras/losses.py,67,If we are wrapping a lambda function strip '<>' from the name as it is not,not
keras/keras/losses.py,68,accepted in scope name.,not
keras/keras/losses.py,740,Convert the binary labels to -1 or 1.,not
keras/keras/losses.py,749,Aliases.,not
keras/keras/constraints.py,146,Aliases.,not
keras/keras/constraints.py,154,Legacy aliases.,not
keras/keras/metrics.py,63,All metric layers are stateful.,not
keras/keras/metrics.py,81,For TF,not
keras/keras/metrics.py,84,We are adding the metric object as metadata on the result tensor.,not
keras/keras/metrics.py,85,This is required when we want to use a metric with `add_metric` API on,not
keras/keras/metrics.py,86,a Model/Layer in graph mode. This metric instance will later be used,not
keras/keras/metrics.py,87,to reset variable state after each epoch of training.,not
keras/keras/metrics.py,88,Example:,not
keras/keras/metrics.py,89,model = Model(),not
keras/keras/metrics.py,90,mean = Mean(),not
keras/keras/metrics.py,91,"model.add_metric(mean(values), name='mean')",not
keras/keras/metrics.py,121,For use by subclasses,not
keras/keras/metrics.py,135,End: For use by subclasses,not
keras/keras/metrics.py,176,Update dimensions of weights to match with values if possible.,not
keras/keras/metrics.py,180,Broadcast weights if possible.,not
keras/keras/metrics.py,188,Exit early if the reduction doesn't have a denominator.,not
keras/keras/metrics.py,192,Update `count` for reductions that require a denominator.,not
keras/keras/metrics.py,1183,"Compute `num_thresholds` thresholds in [0, 1]",not
keras/keras/metrics.py,1256,Calculate specificities at all the thresholds.,not
keras/keras/metrics.py,1262,Find the index of the threshold where the specificity is closest to the,not
keras/keras/metrics.py,1263,given specificity.,not
keras/keras/metrics.py,1268,Compute sensitivity at that index.,not
keras/keras/metrics.py,1329,Calculate sensitivities at all the thresholds.,not
keras/keras/metrics.py,1335,Find the index of the threshold where the sensitivity is closest to the,not
keras/keras/metrics.py,1336,given specificity.,not
keras/keras/metrics.py,1341,Compute specificity at that index.,not
keras/keras/metrics.py,1641,Validate configurations.,not
keras/keras/metrics.py,1654,Update properties.,not
keras/keras/metrics.py,1656,"If specified, use the supplied thresholds.",not
keras/keras/metrics.py,1663,"Otherwise, linearly interpolate (num_thresholds - 2) thresholds in",not
keras/keras/metrics.py,1664,"(0, 1).",not
keras/keras/metrics.py,1669,"Add an endpoint ""threshold"" below zero and above one for either",not
keras/keras/metrics.py,1670,threshold method to account for floating point imprecisions.,not
keras/keras/metrics.py,1684,Create metric variables,not
keras/keras/metrics.py,1766,Logical and,not
keras/keras/metrics.py,1791,This use case is different and is handled separately.,not
keras/keras/metrics.py,1794,Set `x` and `y` values for the curves based on `curve` config.,not
keras/keras/metrics.py,1808,curve == 'PR'.,not
keras/keras/metrics.py,1816,Find the rectangle heights based on `summation_method`.,not
keras/keras/metrics.py,1818,"Note: the case ('PR', 'interpolation') has been handled above.",not
keras/keras/metrics.py,1822,self.summation_method = metrics_utils.AUCSummationMethod.MAJORING:,not
keras/keras/metrics.py,1825,Sum up the areas of all the rectangles.,not
keras/keras/metrics.py,1837,We remove the endpoint thresholds as an inverse of how the thresholds,not
keras/keras/metrics.py,1838,were initialized. This ensures that a metric initialized from this,not
keras/keras/metrics.py,1839,config has the same thresholds.,not
keras/keras/metrics.py,1912,"reshape in case it's in shape (num_samples, 1) instead of (num_samples,)",not
keras/keras/metrics.py,1915,convert dense predictions to labels,not
keras/keras/metrics.py,1926,"If the shape of y_true is (num_samples, 1), flatten to (num_samples,)",not
keras/keras/metrics.py,1953,Aliases,not
keras/keras/models.py,55,Cache for created layers.,not
keras/keras/models.py,56,"Map {reference_tensor: (corresponding_tensor, mask)}",not
keras/keras/models.py,58,Create placeholders to build the model on top of.,not
keras/keras/models.py,67,Cache newly created input layer.,not
keras/keras/models.py,73,Make sure that all input tensors come from a Keras layer.,not
keras/keras/models.py,74,If tensor comes from an input layer: cache the input layer.,not
keras/keras/models.py,83,Cache newly created input layer.,not
keras/keras/models.py,92,"tensor, mask",not
keras/keras/models.py,94,"Iterated over every node in the reference model, in depth order.",not
keras/keras/models.py,100,Recover the corresponding layer.,not
keras/keras/models.py,103,Get or create layer.,not
keras/keras/models.py,105,Clone layer.,not
keras/keras/models.py,110,Reuse previously cloned layer.,not
keras/keras/models.py,112,Don't call InputLayer multiple times.,not
keras/keras/models.py,116,Gather inputs to call the new layer.,not
keras/keras/models.py,120,"If all previous input tensors are available in tensor_map,",not
keras/keras/models.py,121,then call node.inbound_layer on them.,not
keras/keras/models.py,122,"List of tuples (input, mask).",not
keras/keras/models.py,128,Call layer.,not
keras/keras/models.py,162,Update tensor_map.,not
keras/keras/models.py,168,"Check that we did compute the model outputs,",not
