file path,line #,comment,satd
localstack/setup.py,1,!/usr/bin/env python,not
localstack/setup.py,6,marker for extended/ignored and basic libs in requirements.txt,not
localstack/setup.py,10,parameter variables,not
localstack/setup.py,17,determine version,not
localstack/setup.py,23,determine requirements,not
localstack/setup.py,30,include only basic requirements here,not
localstack/setup.py,38,"copy requirements file, to make it available inside the package at runtime",not
localstack/tests/integration/test_error_injection.py,28,"by default, no errors",not
localstack/tests/integration/test_error_injection.py,32,"with a probability of 1, always throw errors",not
localstack/tests/integration/test_error_injection.py,37,reset probability to zero,not
localstack/tests/integration/test_error_injection.py,46,create table with stream forwarding config,not
localstack/tests/integration/test_error_injection.py,50,"by default, no errors",not
localstack/tests/integration/test_error_injection.py,54,"with a probability of 1, always throw errors",not
localstack/tests/integration/test_error_injection.py,58,reset probability to zero,not
localstack/tests/integration/test_error_injection.py,63,Only run the tests if the $TEST_ERROR_INJECTION environment variable is set. This is to reduce the,not
localstack/tests/integration/test_error_injection.py,64,"testing time, because the injected errors result in retries and timeouts that slow down the tests overall.",not
localstack/tests/integration/test_logs.py,1,-*- coding: utf-8 -*-,not
localstack/tests/integration/test_logs.py,24,send message with non-ASCII (multi-byte) chars,not
localstack/tests/integration/test_logs.py,36,clean up,not
localstack/tests/integration/test_logs.py,61,clean up,not
localstack/tests/integration/test_logs.py,82,clean up,not
localstack/tests/integration/test_cloudwatch.py,16,Put metric data without value,not
localstack/tests/integration/test_cloudwatch.py,34,Get metric statistics,not
localstack/tests/integration/test_cloudwatch.py,70,filtering metric data with current time interval,not
localstack/tests/integration/test_cloudwatch.py,88,filtering metric data with current time interval,not
localstack/tests/integration/test_sqs.py,55,"Since this API call is not implemented in ElasticMQ, we're",not
localstack/tests/integration/test_sqs.py,56,mocking it and letting it return an empty response,not
localstack/tests/integration/test_sqs.py,61,"Apparently, if there are no tags, then `Tags` should NOT appear in the response.",not
localstack/tests/integration/test_sqs.py,64,clean up,not
localstack/tests/integration/test_sqs.py,73,publish/receive message,not
localstack/tests/integration/test_sqs.py,80,delete/receive message,not
localstack/tests/integration/test_sqs.py,85,publish/receive message with change_message_visibility,not
localstack/tests/integration/test_sqs.py,97,clean up,not
localstack/tests/integration/test_sqs.py,157,publish/receive message with change_message_visibility,not
localstack/tests/integration/test_sqs.py,180,clean up,not
localstack/tests/integration/test_sqs.py,188,it should preserve .fifo in the queue name,not
localstack/tests/integration/test_sqs.py,191,clean up,not
localstack/tests/integration/test_sqs.py,209,clean up,not
localstack/tests/integration/test_sqs.py,226,clean up,not
localstack/tests/integration/test_sqs.py,235,String Attributes must not contain non-printable characters,not
localstack/tests/integration/test_sqs.py,236,See: https://docs.aws.amazon.com/AWSSimpleQueueService/latest/APIReference/API_SendMessage.html,not
localstack/tests/integration/test_sqs.py,243,clean up,not
localstack/tests/integration/test_sqs.py,256,clean up,not
localstack/tests/integration/test_sqs.py,263,create SQS queue with DLQ redrive policy,not
localstack/tests/integration/test_sqs.py,273,create Lambda and add source mapping,not
localstack/tests/integration/test_sqs.py,279,"add message to SQS, which will trigger the Lambda, resulting in an error",not
localstack/tests/integration/test_sqs.py,285,assert that message has been received on the DLQ,not
localstack/tests/integration/test_sqs.py,300,"Unsupported by ElasticMq, should be saved in memory",not
localstack/tests/integration/test_sqs.py,308,assertion,not
localstack/tests/integration/test_sqs.py,312,cleanup,not
localstack/tests/integration/test_sqs.py,343,assertion,not
localstack/tests/integration/test_sqs.py,352,cleanup,not
localstack/tests/integration/test_sqs.py,373,cleanup,not
localstack/tests/integration/test_sqs.py,396,clean up,not
localstack/tests/integration/test_sqs.py,434,clean up,not
localstack/tests/integration/test_sqs.py,442,send message with DelaySeconds = 0,not
localstack/tests/integration/test_sqs.py,460,send message with DelaySeconds = 10,not
localstack/tests/integration/test_sqs.py,479,clean up,not
localstack/tests/integration/test_sqs.py,502,clean up,not
localstack/tests/integration/test_sqs.py,536,There is no log group for this lambda (lambda not invoked yet),not
localstack/tests/integration/test_sqs.py,544,"After delay time, lambda invoked by sqs",not
localstack/tests/integration/test_sqs.py,546,Lambda just invoked 1 time,not
localstack/tests/integration/test_sqs.py,553,clean up,not
localstack/tests/integration/test_serverless.py,15,install dependencies,not
localstack/tests/integration/test_serverless.py,18,deploy serverless app,not
localstack/tests/integration/test_dynamodb.py,1,-*- coding: utf-8 -*-,not
localstack/tests/integration/test_dynamodb.py,37,write some items containing non-ASCII characters,not
localstack/tests/integration/test_dynamodb.py,49,need to fix up the JSON and convert str to unicode for Python 2,not
localstack/tests/integration/test_dynamodb.py,54,clean up,not
localstack/tests/integration/test_dynamodb.py,61,Create a large amount of items,not
localstack/tests/integration/test_dynamodb.py,67,Retrieve the items. The data will be transmitted to the client with chunked transfer encoding,not
localstack/tests/integration/test_dynamodb.py,71,clean up,not
localstack/tests/integration/test_dynamodb.py,78,Insert some items to the table,not
localstack/tests/integration/test_dynamodb.py,87,Describe TTL when still unset.,not
localstack/tests/integration/test_dynamodb.py,92,Enable TTL for given table,not
localstack/tests/integration/test_dynamodb.py,97,Describe TTL status after being enabled.,not
localstack/tests/integration/test_dynamodb.py,102,Disable TTL for given table,not
localstack/tests/integration/test_dynamodb.py,107,Describe TTL status after being disabled.,not
localstack/tests/integration/test_dynamodb.py,112,Enable TTL for given table again,not
localstack/tests/integration/test_dynamodb.py,117,Describe TTL status after being enabled again.,not
localstack/tests/integration/test_dynamodb.py,122,clean up,not
localstack/tests/integration/test_dynamodb.py,200,clean up,not
localstack/tests/integration/test_dynamodb.py,207,items which are being used to put in the table,not
localstack/tests/integration/test_dynamodb.py,212,there is no data present in the table already so even if return values,not
localstack/tests/integration/test_dynamodb.py,213,is set to 'ALL_OLD' as there is no data it will not return any data.,not
localstack/tests/integration/test_dynamodb.py,215,now the same data is present so when we pass return values as 'ALL_OLD',not
