file path,line #,comment,satd
locust/setup.py,1,-*- coding: utf-8 -*-,
locust/setup.py,9,parse version from locust/__init__.py,
locust/,1,-*- coding: utf-8 -*-,
locust/,79,"since we have mulitple Locust classes with different host attributes, we'll",
locust/,80,inform that specifying host will override the host for all Locust classes,
locust/,178,Truncate the total number of stats and errors displayed since a large number of rows will cause the app,
locust/,179,to render extremely slowly. Aggregate stats should be preserved.,
locust/,57,Start with making sure the current working dir is in the sys.path,
locust/,59,Get directory and locustfile name,
locust/,61,"If the directory isn't in the PYTHONPATH, add it so our import will work",
locust/,67,"If the directory IS in the PYTHONPATH, move it to the front temporarily,",
locust/,68,otherwise other locustfiles -- like Locusts's own -- may scoop the intended,
locust/,69,one.,
locust/,73,Store index for later restoration,
locust/,75,"Add to front, then remove from original position",
locust/,78,Perform the import,
locust/,80,Remove directory from path if we added it ourselves (just to be neat),
locust/,83,Put back in original index if we moved it,
locust/,87,Return our two-tuple,
locust/,107,"find specified locustfile and make sure it exists, using a very simplified",
locust/,108,command line parser that is only used to parse the -f option,
locust/,111,import the locustfile,
locust/,114,parse all command line options,
locust/,121,setup logging,
locust/,142,make sure specified Locust exists,
locust/,152,list() call is needed to consume the dict_view object in Python 3,
locust/,155,create locust Environment,
locust/,209,"main_greenlet is pointing to runners.greenlet by default, it will point the web greenlet later if in web mode",
locust/,231,start Web UI,
locust/,233,spawn web greenlet,
locust/,246,Fire locust init event which can be used by end-users' code to run setup code that,
locust/,247,"need access to the Environment, Runner or WebUI",
locust/,251,headless mode,
locust/,253,what for worker nodes to connect,
locust/,259,start the test,
locust/,270,spawn stats printing greenlet,
locust/,297,install SIGTERM handler,
locust/,49,if a file has been specified add a file logging handler and set,
locust/,50,the locust and root loggers to use it,
locust/,55,Check for basic authentication,
locust/,62,remove username and password from the base_url,
locust/,64,configure requests to use basic auth,
locust/,104,prepend url with hostname unless it's already an absolute URL,
locust/,107,store meta data that is used when reporting the request to locust's statistics,
locust/,110,set up pre_request hook for attaching meta data to the request object,
locust/,116,record the consumed time,
locust/,122,"get the length of the content, but if the argument stream is set to True, we take",
locust/,123,"the size from the content-length header, in order to not trigger fetching of the body",
locust/,134,"Since we use the Exception message when grouping failures, in order to not get",
