file path,line #,comment,satd
manim/,1,!/usr/bin/env python,
manim/example_scenes.py,1,!/usr/bin/env python,
manim/example_scenes.py,5,"To watch one of these scenes, run the following:",
manim/example_scenes.py,6,python -m manim example_scenes.py SquareToCircle -pl,
manim/example_scenes.py,7,,
manim/example_scenes.py,8,Use the flat -l for a faster rendering at a lower,
manim/example_scenes.py,9,quality.,
manim/example_scenes.py,10,Use -s to skip to the end and just save the final frame,
manim/example_scenes.py,11,"Use the -p to have the animation (or image, if -s was",
manim/example_scenes.py,12,used) pop up once done.,
manim/example_scenes.py,13,Use -n <number> to skip ahead to the n'th animation of a scene.,
manim/example_scenes.py,14,"Use -r <number> to specify a resolution (for example, -r 1080",
manim/example_scenes.py,15,for a 1920x1080 video),
manim/example_scenes.py,45,Make sure title is on top of grid,
manim/example_scenes.py,136,"See old_projects folder for many, many more",
manim/stage_scenes.py,1,!/usr/bin/env python,
manim/stage_scenes.py,17,"Otherwise, deduce from the order in which",
manim/stage_scenes.py,18,they're defined in a file,
manim/stage_scenes.py,41,output_directory_kwargs = {,
manim/stage_scenes.py,42,"""camera_config"": PRODUCTION_QUALITY_CAMERA_CONFIG,",
manim/stage_scenes.py,43,},
manim/stage_scenes.py,44,"TODO, fix this",
manim/stage_scenes.py,50,,
manim/stage_scenes.py,58,Partial movie file directory,
manim/stage_scenes.py,59,movie_dir = get_movie_output_directory(,
manim/stage_scenes.py,60,"scene_class, **output_directory_kwargs",
manim/stage_scenes.py,61,),
manim/stage_scenes.py,62,if os.path.exists(movie_dir):,
manim/stage_scenes.py,63,"for extension in ["".mov"", "".mp4""]:",
manim/stage_scenes.py,64,int_files = get_sorted_integer_files(,
manim/stage_scenes.py,65,"pmf_dir, extension=extension",
manim/stage_scenes.py,66,),
manim/stage_scenes.py,67,for file in int_files:,
manim/stage_scenes.py,68,"sorted_files.append(os.path.join(pmf_dir, file))",
manim/stage_scenes.py,69,else:,
manim/stage_scenes.py,71,animation_subdir = os.path.dirname(animation_dir),
manim/stage_scenes.py,82,"Otherwise, keep trying new names until",
manim/stage_scenes.py,83,there is a free one,
manim/stage_scenes.py,86,Going in reversed order means that when finder,
manim/stage_scenes.py,87,"sorts by date modified, it shows up in the",
manim/stage_scenes.py,88,correct order,
manim/setup.py,1,!/usr/bin/env python,
manim/from_3b1b/old/playground_counting_in_binary.py,1,!/usr/bin/env python,
manim/from_3b1b/old/playground_counting_in_binary.py,97,self.make_all_black_or_white(),
manim/from_3b1b/old/windmill.py,9,"""use_real_images"": False,",
manim/from_3b1b/old/windmill.py,80,"student_groups.target[-9:].align_to(student_groups.target[0], LEFT)",
manim/from_3b1b/old/windmill.py,169,,
manim/from_3b1b/old/windmill.py,315,Time label,
manim/from_3b1b/old/windmill.py,331,Problem descriptions,
manim/from_3b1b/old/windmill.py,361,Introduce test,
manim/from_3b1b/old/windmill.py,381,Discuss problems,
manim/from_3b1b/old/windmill.py,426,"page.pixel_array[:, :, :3] = 255 - page.pixel_array[:, :, :3]",
manim/from_3b1b/old/windmill.py,608,,
manim/from_3b1b/old/windmill.py,785,Counters,
manim/from_3b1b/old/windmill.py,970,Combine students with flags,
manim/from_3b1b/old/windmill.py,1080,Experience,
manim/from_3b1b/old/windmill.py,1113,Second part,
manim/from_3b1b/old/windmill.py,1181,Windmill scenes,
manim/from_3b1b/old/windmill.py,1199,"""windmill_rotation_speed"": 0.5,",
manim/from_3b1b/old/windmill.py,1200,"""hit_sound"": ""pen_click.wav"",",
manim/from_3b1b/old/windmill.py,1266,Edge case for 2 points,
manim/from_3b1b/old/windmill.py,1311,Return animations to play,
manim/from_3b1b/old/windmill.py,1326,start_time = self.get_time(),
manim/from_3b1b/old/windmill.py,1327,end_time = start_time + time,
manim/from_3b1b/old/windmill.py,1328,curr_time = start_time,
manim/from_3b1b/old/windmill.py,1337,curr_time = self.get_time(),
manim/from_3b1b/old/windmill.py,1350,elif dot_product < 0:,
manim/from_3b1b/old/windmill.py,1353,else:,
manim/from_3b1b/old/windmill.py,1354,dot.set_color(WHITE),
manim/from_3b1b/old/windmill.py,1357,"interpolate_color(dot.get_fill_color(), WHITE, 0.5),",
manim/from_3b1b/old/windmill.py,1572,Rotate to next pivot,
manim/from_3b1b/old/windmill.py,1720,"self.add_dot_color_updater(dots, windmill)",
manim/from_3b1b/old/windmill.py,1819,TODO,
manim/from_3b1b/old/windmill.py,2055,,
manim/from_3b1b/old/windmill.py,2215,Shift point,
manim/from_3b1b/old/windmill.py,2275,"self.add_dot_color_updater(dots, windmill)",
manim/from_3b1b/old/windmill.py,2442,pst.set_color(YELLOW),
manim/from_3b1b/old/windmill.py,2511,Show regions,
manim/from_3b1b/old/windmill.py,2562,Show orientation,
manim/from_3b1b/old/windmill.py,2845,Hit new point,
manim/from_3b1b/old/windmill.py,3063,question.to_corner(UL),
manim/from_3b1b/old/windmill.py,3072,"counter_group.align_to(question, LEFT)",
manim/from_3b1b/old/windmill.py,3088,region_rects.suspend_updating(),
manim/from_3b1b/old/windmill.py,3089,self.play(,
manim/from_3b1b/old/windmill.py,3090,"FadeIn(region_rects),",
manim/from_3b1b/old/windmill.py,3091,"FadeOut(dot_rects),",
manim/from_3b1b/old/windmill.py,3092,),
manim/from_3b1b/old/windmill.py,3093,region_rects.resume_updating(),
manim/from_3b1b/old/windmill.py,3094,self.wait(),
manim/from_3b1b/old/windmill.py,3096,Count by color,
manim/from_3b1b/old/windmill.py,3129,Pivot counts as brown,
manim/from_3b1b/old/windmill.py,3296,,
manim/from_3b1b/old/windmill.py,3309,"for i, part in enumerate(bubble):",
manim/from_3b1b/old/windmill.py,3310,self.add(Integer(i).move_to(part)),
manim/from_3b1b/old/windmill.py,3317,What a mess...,
manim/from_3b1b/old/windmill.py,3357,Zoom out,
manim/from_3b1b/old/windmill.py,3564,"arrow = TexMobject(""\\approx"").scale(2)",
manim/from_3b1b/old/windmill.py,3593,"faded_line_ratio=0,",
manim/from_3b1b/old/windmill.py,3594,y_axis_config={,
manim/from_3b1b/old/windmill.py,3595,"""y_min"": -10,",
manim/from_3b1b/old/windmill.py,3596,"""y_max"": 10,",
manim/from_3b1b/old/windmill.py,3597,},
manim/from_3b1b/old/windmill.py,3602,back_grid.set_opacity(0.5),
manim/from_3b1b/old/windmill.py,3675,,
manim/from_3b1b/old/windmill.py,3792,"windmill.to_edge(DOWN, buff=0)",
manim/from_3b1b/old/windmill.py,3803,self.add(windmill),
manim/from_3b1b/old/windmill.py,4003,rects = self.get_left_right_colorings(windmill),
manim/from_3b1b/old/windmill.py,4045,self.add(rects[0]),
manim/from_3b1b/old/windmill.py,4055,"words.next_to(windmill.pivot, RIGHT)",
manim/from_3b1b/old/windmill.py,4072,"for i, dot in enumerate(dots):",
manim/from_3b1b/old/windmill.py,4073,self.add(Integer(i).move_to(dot)),
manim/from_3b1b/old/windmill.py,4119,"words.arrange(DOWN, aligned_edge=LEFT)",
manim/from_3b1b/old/div_curl.py,5,Quick note to anyone coming to this file with the,
manim/from_3b1b/old/div_curl.py,6,intent of recreating animations from the video.  Some,
manim/from_3b1b/old/div_curl.py,7,"of these, especially those involving AnimatedStreamLines,",
manim/from_3b1b/old/div_curl.py,8,"can take an extremely long time to run, but much of the",
manim/from_3b1b/old/div_curl.py,9,computational cost is just for giving subtle little effects,
manim/from_3b1b/old/div_curl.py,10,which don't matter too much.  Switching the line_anim_class,
manim/from_3b1b/old/div_curl.py,11,"to ShowPassingFlash will give significant speedups, as will",
manim/from_3b1b/old/div_curl.py,12,increasing the values of delta_x and delta_y in sampling for,
manim/from_3b1b/old/div_curl.py,13,"the stream lines.  Certainly while developing, things were not",
manim/from_3b1b/old/div_curl.py,14,run at production quality.,
manim/from_3b1b/old/div_curl.py,20,"Warning, this file uses ContinualChangingDecimal,",
manim/from_3b1b/old/div_curl.py,21,which has since been been deprecated.  Use a mobject,
manim/from_3b1b/old/div_curl.py,22,updater instead,
manim/from_3b1b/old/div_curl.py,25,Helper functions,
manim/from_3b1b/old/div_curl.py,77,return complex_to_R3(1.0 / derivative(joukowsky_map)(z)),
manim/from_3b1b/old/div_curl.py,96,result *= 2 * sigmoid(norm) / norm,
manim/from_3b1b/old/div_curl.py,157,Mobjects,
manim/from_3b1b/old/div_curl.py,159,"TODO, this is untested after turning it from a",
manim/from_3b1b/old/div_curl.py,160,ContinualAnimation into a VGroup,
manim/from_3b1b/old/div_curl.py,186,Scenes,
manim/from_3b1b/old/div_curl.py,204,Divergence,
manim/from_3b1b/old/div_curl.py,223,Curl,
manim/from_3b1b/old/div_curl.py,357,self.play(,
manim/from_3b1b/old/div_curl.py,358,"FadeOut(screen),",
manim/from_3b1b/old/div_curl.py,359,"FadeOut(arrow),",
manim/from_3b1b/old/div_curl.py,360,"ShowCreation(bubble),",
manim/from_3b1b/old/div_curl.py,361,"self.teacher.change, ""hooray"",",
manim/from_3b1b/old/div_curl.py,362,"MoveToTarget(complex_words),",
manim/from_3b1b/old/div_curl.py,363,),
manim/from_3b1b/old/div_curl.py,501,Hack,
manim/from_3b1b/old/div_curl.py,589,Helpers,
manim/from_3b1b/old/div_curl.py,614,This line is a bit of a hack,
manim/from_3b1b/old/div_curl.py,628,delta_y = 1,
manim/from_3b1b/old/div_curl.py,766,New vector field,
manim/from_3b1b/old/div_curl.py,793,More indication?,
manim/from_3b1b/old/div_curl.py,1102,"""delta_x"": 2,",
manim/from_3b1b/old/div_curl.py,1103,"""delta_y"": 2,",
manim/from_3b1b/old/div_curl.py,1109,"""delta_x"": 1,",
manim/from_3b1b/old/div_curl.py,1110,"""delta_y"": 1,",
manim/from_3b1b/old/div_curl.py,1117,"""line_anim_class"": ShowPassingFlash,",
manim/from_3b1b/old/div_curl.py,1385,TODO: Revisit this,
manim/from_3b1b/old/div_curl.py,1583,self.remove(div_tex_update),
manim/from_3b1b/old/div_curl.py,1584,self.remove(div_value_update),
