file path,line #,comment,satd
models/official/r1/utils/export_test.py,1,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,
models/official/r1/utils/export_test.py,2,,
models/official/r1/utils/export_test.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",
models/official/r1/utils/export_test.py,4,you may not use this file except in compliance with the License.,
models/official/r1/utils/export_test.py,5,You may obtain a copy of the License at,
models/official/r1/utils/export_test.py,6,,
models/official/r1/utils/export_test.py,7,http://www.apache.org/licenses/LICENSE-2.0,
models/official/r1/utils/export_test.py,8,,
models/official/r1/utils/export_test.py,9,"Unless required by applicable law or agreed to in writing, software",
models/official/r1/utils/export_test.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",
models/official/r1/utils/export_test.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",
models/official/r1/utils/export_test.py,12,See the License for the specific language governing permissions and,
models/official/r1/utils/export_test.py,13,limitations under the License.,
models/official/r1/utils/export_test.py,14,==============================================================================,
models/official/r1/utils/export_test.py,21,pylint: disable=g-bad-import-order,
models/official/r1/utils/export_test.py,40,Note that Python 3 can no longer index .values() directly; cast to list.,
models/official/r1/utils/export_test.py,57,Note that Python 3 can no longer index .values() directly; cast to list.,
models/official/r1/utils/tpu_test.py,1,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,
models/official/r1/utils/tpu_test.py,2,,
models/official/r1/utils/tpu_test.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",
models/official/r1/utils/tpu_test.py,4,you may not use this file except in compliance with the License.,
models/official/r1/utils/tpu_test.py,5,You may obtain a copy of the License at,
models/official/r1/utils/tpu_test.py,6,,
models/official/r1/utils/tpu_test.py,7,http://www.apache.org/licenses/LICENSE-2.0,
models/official/r1/utils/tpu_test.py,8,,
models/official/r1/utils/tpu_test.py,9,"Unless required by applicable law or agreed to in writing, software",
models/official/r1/utils/tpu_test.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",
models/official/r1/utils/tpu_test.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",
models/official/r1/utils/tpu_test.py,12,See the License for the specific language governing permissions and,
models/official/r1/utils/tpu_test.py,13,limitations under the License.,
models/official/r1/utils/tpu_test.py,14,==============================================================================,
models/official/r1/utils/tpu.py,1,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,
models/official/r1/utils/tpu.py,2,,
models/official/r1/utils/tpu.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",
models/official/r1/utils/tpu.py,4,you may not use this file except in compliance with the License.,
models/official/r1/utils/tpu.py,5,You may obtain a copy of the License at,
models/official/r1/utils/tpu.py,6,,
models/official/r1/utils/tpu.py,7,http://www.apache.org/licenses/LICENSE-2.0,
models/official/r1/utils/tpu.py,8,,
models/official/r1/utils/tpu.py,9,"Unless required by applicable law or agreed to in writing, software",
models/official/r1/utils/tpu.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",
models/official/r1/utils/tpu.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",
models/official/r1/utils/tpu.py,12,See the License for the specific language governing permissions and,
models/official/r1/utils/tpu.py,13,limitations under the License.,
