file path,line #,comment,satd
nginx-proxy/test/conftest.py,25,ugly global state to consider containers' IPv6 address instead of IPv4,
nginx-proxy/test/conftest.py,31,,
nginx-proxy/test/conftest.py,32,,
nginx-proxy/test/conftest.py,33,utilities,
nginx-proxy/test/conftest.py,34,,
nginx-proxy/test/conftest.py,35,,
nginx-proxy/test/conftest.py,144,"not default bridge network, fallback on first network defined",
nginx-proxy/test/conftest.py,157,"not default bridge network, fallback on first network defined",
nginx-proxy/test/conftest.py,222,custom DNS resolvers,
nginx-proxy/test/conftest.py,229,"call on original DNS resolver, with eventually the original host changed to the wanted IP address",
nginx-proxy/test/conftest.py,246,"pytest is running within a Docker container, so we do not want to remove that particular container",
nginx-proxy/test/conftest.py,339,figure out our container networks,
nginx-proxy/test/conftest.py,342,make sure our container is connected to the nginx-proxy's network,
nginx-proxy/test/conftest.py,362,figure out our container networks,
nginx-proxy/test/conftest.py,365,disconnect our container from the given network,
nginx-proxy/test/conftest.py,380,find the list of docker networks,
nginx-proxy/test/conftest.py,385,,
nginx-proxy/test/conftest.py,386,,
nginx-proxy/test/conftest.py,387,Py.test fixtures,
nginx-proxy/test/conftest.py,388,,
nginx-proxy/test/conftest.py,389,,
nginx-proxy/test/conftest.py,407,give time to containers to be ready,
nginx-proxy/test/conftest.py,432,,
nginx-proxy/test/conftest.py,433,,
nginx-proxy/test/conftest.py,434,Py.test hooks,
nginx-proxy/test/conftest.py,435,,
nginx-proxy/test/conftest.py,436,,
nginx-proxy/test/conftest.py,438,pytest hook to display additionnal stuff in test report,
nginx-proxy/test/conftest.py,448,"Py.test `incremental` marker, see http://stackoverflow.com/a/12579625/107049",
nginx-proxy/test/conftest.py,461,,
nginx-proxy/test/conftest.py,462,,
nginx-proxy/test/conftest.py,463,Check requirements,
nginx-proxy/test/conftest.py,464,,
nginx-proxy/test/conftest.py,465,,
nginx-proxy/test/test_events.py,25,give it some time to initialize and for docker-gen to detect it,
nginx-proxy/test/test_ssl/test_hsts.py,10,Regression test to ensure HSTS is enabled even when the upstream sends an error in response,
nginx-proxy/test/test_ssl/test_hsts.py,11,Issue #1073 https://github.com/jwilder/nginx-proxy/pull/1073,
nginx-proxy/test/test_ssl/test_hsts.py,28,Regression test for issue 1080,
nginx-proxy/test/test_ssl/test_hsts.py,29,https://github.com/jwilder/nginx-proxy/issues/1080,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,7,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,8,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,9,Tests helpers,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,10,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,11,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,28,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,29,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,30,Tests,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,31,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,32,,
nginx-proxy/test/test_ssl/test_dhparam_generation.py,41,"Make sure the dhparam in use is not the default, pre-generated one",
nginx-proxy/test/test_ssl/test_dhparam.py,11,,
nginx-proxy/test/test_ssl/test_dhparam.py,12,,
nginx-proxy/test/test_ssl/test_dhparam.py,13,Tests helpers,
nginx-proxy/test/test_ssl/test_dhparam.py,14,,
nginx-proxy/test/test_ssl/test_dhparam.py,15,,
nginx-proxy/test/test_ssl/test_dhparam.py,61,,
nginx-proxy/test/test_ssl/test_dhparam.py,62,,
nginx-proxy/test/test_ssl/test_dhparam.py,63,Tests,
nginx-proxy/test/test_ssl/test_dhparam.py,64,,
nginx-proxy/test/test_ssl/test_dhparam.py,65,,
nginx-proxy/test/test_ssl/test_dhparam.py,73,"Make sure the dhparam in use is not the default, pre-generated one",
nginx-proxy/test/requirements/web/webserver.py,1,!/usr/bin/env python3,
nginx-proxy/test/test_headers/test_https.py,10,Testing the handling of X-Forwarded-For,
nginx-proxy/test/test_headers/test_https.py,23,Testing the handling of X-Forwarded-Proto,
nginx-proxy/test/test_headers/test_https.py,36,Testing the handling of X-Forwarded-Port,
nginx-proxy/test/test_headers/test_https.py,49,Testing the handling of X-Forwarded-Ssl,
nginx-proxy/test/test_headers/test_https.py,62,Other headers,
nginx-proxy/test/test_headers/test_http.py,9,Testing the handling of X-Forwarded-For,
nginx-proxy/test/test_headers/test_http.py,22,Testing the handling of X-Forwarded-Proto,
nginx-proxy/test/test_headers/test_http.py,35,Testing the handling of X-Forwarded-Port,
nginx-proxy/test/test_headers/test_http.py,48,Testing the handling of X-Forwarded-Ssl,
nginx-proxy/test/test_headers/test_http.py,61,Other headers,
nginx-proxy/test/stress_tests/test_unreachable_network/test_unreachable_net.py,6,TODO delete this marker once #585 is merged,
nginx-proxy/test/stress_tests/test_unreachable_network/test_unreachable_net.py,34,give time for the container to initialize,
nginx-proxy/test/stress_tests/test_deleted_cert/test_restart_while_missing_cert.py,12,TODO delete this marker once those issues are fixed,
nginx-proxy/test/stress_tests/test_deleted_cert/test_restart_while_missing_cert.py,30,,
nginx-proxy/test/stress_tests/test_deleted_cert/test_restart_while_missing_cert.py,53,give time for the container to initialize,
