file path,line #,comment,satd
pandas/versioneer.py,1,Version: 0.15,
pandas/versioneer.py,357,"we require that all commands are run from the project root, i.e. the",
pandas/versioneer.py,358,"directory that contains setup.py, setup.cfg, and versioneer.py .",
pandas/versioneer.py,363,allow 'python path/to/setup.py COMMAND',
pandas/versioneer.py,377,Certain runtime workflows (setup.py install/develop in a setuptools,
pandas/versioneer.py,378,"tree) execute all dependencies in a single python process, so",
pandas/versioneer.py,379,"""versioneer"" may be imported multiple times, and python's shared",
pandas/versioneer.py,380,module-import table will cache the first one. So we can't use,
pandas/versioneer.py,381,"os.path.dirname(__file__), as that will find whichever",
pandas/versioneer.py,382,"versioneer.py was first imported, even in later projects.",
pandas/versioneer.py,395,"This might raise EnvironmentError (if setup.cfg is missing), or",
pandas/versioneer.py,396,"configparser.NoSectionError (if it lacks a [versioneer] section), or",
pandas/versioneer.py,397,"configparser.NoOptionError (if it lacks ""VCS=""). See the docstring at",
pandas/versioneer.py,398,the top of versioneer.py for instructions on writing your setup.cfg .,
pandas/versioneer.py,403,mandatory,
pandas/versioneer.py,425,these dictionaries contain VCS-specific tools,
pandas/versioneer.py,430,decorator,
pandas/versioneer.py,446,"remember shell=False, so use git.cmd on windows, not just git",
pandas/versioneer.py,943,the code embedded in _version.py can just fetch the value of these,
pandas/versioneer.py,944,"keywords. When used from setup.py, we don't want to import _version.py,",
pandas/versioneer.py,945,so we do it with a regexp instead. This function is not used from,
pandas/versioneer.py,946,_version.py.,
pandas/versioneer.py,975,"starting in git-1.8.3, tags are listed as ""tag: foo-1.0"" instead of",
pandas/versioneer.py,976,"just ""foo-1.0"". If we see a ""tag: "" prefix, prefer those.",
pandas/versioneer.py,980,"Either we're using git < 1.8.3, or there really are no tags. We use",
pandas/versioneer.py,981,a heuristic: assume all version tags have a digit. The old git %d,
pandas/versioneer.py,982,expansion behaves like git log --decorate=short and strips out the,
pandas/versioneer.py,983,refs/heads/ and refs/tags/ prefixes that would let us distinguish,
pandas/versioneer.py,984,"between branches and tags. By ignoring refnames without digits, we",
pandas/versioneer.py,985,"filter out many common branch names like ""release"" and",
pandas/versioneer.py,986,"""stabilization"", as well as ""HEAD"" and ""master"".",
pandas/versioneer.py,993,"sorting will prefer e.g. ""2.0"" over ""2.0rc1""",
pandas/versioneer.py,1004,"no suitable tags, so version is ""0+unknown"", but full hex is still there",
pandas/versioneer.py,1017,this runs 'git' from the root of the source tree. This only gets called,
pandas/versioneer.py,1018,"if the git-archive 'subst' keywords were *not* expanded, and",
pandas/versioneer.py,1019,"_version.py hasn't already been rewritten with a short version string,",
pandas/versioneer.py,1020,meaning we're inside a checked out source tree.,
pandas/versioneer.py,1030,"if there is a tag, this yields TAG-NUM-gHEX[-dirty]",
pandas/versioneer.py,1031,"if there are no tags, this yields HEX[-dirty] (no NUM)",
pandas/versioneer.py,1035,--long was added in git-1.5.5,
pandas/versioneer.py,1046,maybe improved later,
pandas/versioneer.py,1049,parse describe_out. It will be like TAG-NUM-gHEX[-dirty] or HEX[-dirty],
pandas/versioneer.py,1050,TAG might have hyphens.,
pandas/versioneer.py,1053,look for -dirty suffix,
pandas/versioneer.py,1059,now we have TAG-NUM-gHEX or HEX,
pandas/versioneer.py,1062,TAG-NUM-gHEX,
pandas/versioneer.py,1065,unparseable. Maybe git-describe is misbehaving?,
pandas/versioneer.py,1069,tag,
pandas/versioneer.py,1082,distance: number of commits since tag,
pandas/versioneer.py,1085,commit: short hex revision ID,
pandas/versioneer.py,1089,HEX: no tags,
pandas/versioneer.py,1092,total number of commits,
pandas/versioneer.py,1131,Source tarballs conventionally unpack into a directory that includes,
pandas/versioneer.py,1132,both the project name and a version string.,
pandas/versioneer.py,1200,"now build up version string, with post-release ""local version",
pandas/versioneer.py,1201,"identifier"". Our goal: TAG[+DISTANCE.gHEX[.dirty]] . Note that if you",
pandas/versioneer.py,1202,"get a tagged build and then dirty it, you'll get TAG+0.gHEX.dirty",
pandas/versioneer.py,1204,exceptions:,
pandas/versioneer.py,1205,1: no tags. git_describe was just HEX. 0+untagged.DISTANCE.gHEX[.dirty],
pandas/versioneer.py,1215,exception #1,
pandas/versioneer.py,1223,TAG[.post.devDISTANCE] . No -dirty,
pandas/versioneer.py,1225,exceptions:,
pandas/versioneer.py,1226,1: no tags. 0.post.devDISTANCE,
pandas/versioneer.py,1233,exception #1,
pandas/versioneer.py,1239,"TAG[.postDISTANCE[.dev0]+gHEX] . The "".dev0"" means dirty. Note that",
pandas/versioneer.py,1240,".dev0 sorts backwards (a dirty tree will appear ""older"" than the",
pandas/versioneer.py,1241,"corresponding clean one), but you shouldn't be releasing software with",
pandas/versioneer.py,1242,-dirty anyways.,
pandas/versioneer.py,1244,exceptions:,
pandas/versioneer.py,1245,1: no tags. 0.postDISTANCE[.dev0],
pandas/versioneer.py,1256,exception #1,
