file path,line #,comment,satd
pipenv/get-pipenv.py,1,!/usr/bin/env python,not
pipenv/get-pipenv.py,2,"Note, this script is based off of https://bootstrap.pypa.io/get-pip.py",not
pipenv/get-pipenv.py,3,,not
pipenv/get-pipenv.py,4,Hi There!,not
pipenv/get-pipenv.py,5,"You may be wondering what this giant blob of binary data here is, you might",not
pipenv/get-pipenv.py,6,even be worried that we're up to something nefarious (good for you for being,not
pipenv/get-pipenv.py,7,"paranoid!). This is a base85 encoding of a zip file, this zip file contains",not
pipenv/get-pipenv.py,8,an entire copy of pip.,not
pipenv/get-pipenv.py,9,,not
pipenv/get-pipenv.py,10,"Pip is a thing that installs packages, pip itself is a package that someone",not
pipenv/get-pipenv.py,11,"might want to install, especially if they're looking to run this get-pip.py",not
pipenv/get-pipenv.py,12,script. Pip has a lot of code to deal with the security of installing,not
pipenv/get-pipenv.py,13,"packages, various edge cases on various platforms, and other such sort of",not
pipenv/get-pipenv.py,14,"""tribal knowledge"" that has been encoded in its code base. Because of this",not
pipenv/get-pipenv.py,15,we basically include an entire copy of pip inside this blob. We do this,not
pipenv/get-pipenv.py,16,"because the alternatives are attempt to implement a ""minipip"" that probably",not
pipenv/get-pipenv.py,17,"doesn't do things correctly and has weird edge cases, or compress pip itself",not
pipenv/get-pipenv.py,18,down into a single file.,not
pipenv/get-pipenv.py,19,,not
pipenv/get-pipenv.py,20,"If you're wondering how this is created, it is using an invoke task located",not
pipenv/get-pipenv.py,21,"in tasks/generate.py called ""installer"". It can be invoked by using",not
pipenv/get-pipenv.py,22,``invoke generate.installer``.,not
pipenv/get-pipenv.py,23,"Note, this get-pip.py installer is modified to meet pipenv's needs.",not
pipenv/get-pipenv.py,31,Useful for very coarse version differentiation.,not
pipenv/get-pipenv.py,87,Import pip so we can use it to install pip and maybe setuptools too,not
pipenv/get-pipenv.py,93,Wrapper to provide default certificate with the lowest priority,not
pipenv/get-pipenv.py,97,"If cert isn't specified in config or environment, we provide our",not
pipenv/get-pipenv.py,98,own certificate through defaults.,not
pipenv/get-pipenv.py,99,This allows user to specify custom cert anywhere one likes:,not
pipenv/get-pipenv.py,100,"config, environment variable or argv.",not
pipenv/get-pipenv.py,102,calculated below,not
pipenv/get-pipenv.py,109,Check if the user has requested us not to install setuptools,not
pipenv/get-pipenv.py,115,Check if the user has requested us not to install wheel,not
pipenv/get-pipenv.py,119,We only want to implicitly install setuptools and wheel if they don't,not
pipenv/get-pipenv.py,120,already exist on the target platform.,not
pipenv/get-pipenv.py,123,noqa,not
pipenv/get-pipenv.py,130,noqa,not
pipenv/get-pipenv.py,135,We want to support people passing things like 'pip<8' to get-pip.py which,not
pipenv/get-pipenv.py,136,will let them install a specific version. However because of the dreaded,not
pipenv/get-pipenv.py,137,DoubleRequirement error if any of the args look like they might be a,not
pipenv/get-pipenv.py,138,"specific for one of our packages, then we'll turn off the implicit",not
pipenv/get-pipenv.py,139,install of them.,not
pipenv/get-pipenv.py,152,Add any implicit installations to the end of our args,not
pipenv/get-pipenv.py,159,Pipenv modifications here.,not
pipenv/get-pipenv.py,163,Create a temporary directory to act as a working directory if we were,not
pipenv/get-pipenv.py,164,not given one.,not
pipenv/get-pipenv.py,168,We need to extract the SSL certificates from requests so that they,not
pipenv/get-pipenv.py,169,can be passed to --cert,not
pipenv/get-pipenv.py,173,Execute the included pip and use it to install the latest pip and,not
pipenv/get-pipenv.py,174,setuptools from PyPI,not
pipenv/get-pipenv.py,177,Remove our temporary directory,not
pipenv/get-pipenv.py,185,Create a temporary working directory,not
pipenv/get-pipenv.py,187,Unpack the zipfile into the temporary directory,not
pipenv/get-pipenv.py,191,Add the zipfile to sys.path so that we can import it,not
pipenv/get-pipenv.py,193,Run the bootstrap,not
pipenv/get-pipenv.py,196,Clean up our temporary working directory,not
pipenv/setup.py,1,!/usr/bin/env python,not
pipenv/setup.py,2,-*- coding: utf-8 -*-,not
pipenv/setup.py,31,LEAVE THIS HERE!!! we have vendored dependencies that require it,not
pipenv/setup.py,49,https://pypi.python.org/pypi/stdeb/0.8.5#quickstart-2-just-tell-me-the-fastest-way-to-make-a-deb,not
pipenv/tasks/release.py,1,-*- coding=utf-8 -*-,not
pipenv/tasks/release.py,69,Don't add newlines to wrapped text.,not
pipenv/tasks/release.py,265,"if we are offsetting by a month, grab the first day of the month",not
pipenv/tasks/__init__.py,1,-*- coding=utf-8 -*-,not
pipenv/tasks/__init__.py,2,Copied from pip's vendoring process,not
pipenv/tasks/__init__.py,3,see https://github.com/pypa/pip/blob/95bcf8c5f6394298035a7332c441868f3b0169f4/tasks/__init__.py,not
pipenv/tasks/vendoring/vendor_passa.py,14,"ctx.run(""git checkout 0.3.0"")",not
pipenv/tasks/vendoring/__init__.py,1,-*- coding=utf-8 -*-,not
pipenv/tasks/vendoring/__init__.py,2,Taken from pip,not
pipenv/tasks/vendoring/__init__.py,3,see https://github.com/pypa/pip/blob/95bcf8c5f6394298035a7332c441868f3b0169f4/tasks/vendoring/__init__.py,not
pipenv/tasks/vendoring/__init__.py,13,from tempfile import TemporaryDirectory,not
pipenv/tasks/vendoring/__init__.py,49,"from time to time, remove the no longer needed ones",not
pipenv/tasks/vendoring/__init__.py,126,Old _vendor cleanup,not
pipenv/tasks/vendoring/__init__.py,162,log('Reading file: %s' % item),not
pipenv/tasks/vendoring/__init__.py,246,"envvars_no_deps = {""PIP_NO_DEPS"": ""true""}.update(cmd_envvars)",not
pipenv/tasks/vendoring/__init__.py,247,"ctx.run(""python -m pipenv run pip install safety"", env=envvars_no_deps)",not
pipenv/tasks/vendoring/__init__.py,248,"ctx.run(""python -m pipenv run pip uninstall -y pipenv"", env=cmd_envvars)",not
pipenv/tasks/vendoring/__init__.py,249,"ctx.run(""python -m pipenv install safety"", env=cmd_envvars)",not
pipenv/tasks/vendoring/__init__.py,250,"ctx.run(""python -m pipenv run pip uninstall -y pipenv"", env=cmd_envvars)",not
pipenv/tasks/vendoring/__init__.py,251,"ctx.run(""python2.7 -m pip install --upgrade --upgrade-strategy=eager -e {}"".format(root.as_posix()))",not
pipenv/tasks/vendoring/__init__.py,252,"ctx.run(""python2.7 -m pipenv install safety"", env=cmd_envvars)",not
pipenv/tasks/vendoring/__init__.py,253,"requirements_txt = ctx.run(""python2.7 -m pipenv lock -r"", env=cmd_envvars, quiet=True).out",not
pipenv/tasks/vendoring/__init__.py,335,handle existing directories,not
pipenv/tasks/vendoring/__init__.py,421,We use --no-deps because we want to ensure that all of our dependencies,not
pipenv/tasks/vendoring/__init__.py,422,"are added to vendor.txt, this includes all dependencies recursively up",not
pipenv/tasks/vendoring/__init__.py,423,the chain.,not
pipenv/tasks/vendoring/__init__.py,429,read licenses from distinfo files if possible,not
pipenv/tasks/vendoring/__init__.py,462,Cleanup setuptools unneeded parts,not
pipenv/tasks/vendoring/__init__.py,495,Detect the vendored packages/modules,not
pipenv/tasks/vendoring/__init__.py,499,Apply pre-patches,not
pipenv/tasks/vendoring/__init__.py,509,Global import rewrites,not
pipenv/tasks/vendoring/__init__.py,582,"print(""pkg ===> %s"" % pkg)",not
