file path,line #,comment,satd
python-patterns/tests/test_hsm.py,32,initial state,
python-patterns/tests/test_hsm.py,35,initial state,
python-patterns/tests/creational/test_pool.py,41,print('Inside with: {}'.format(obj)),
python-patterns/tests/creational/test_pool.py,47,sample_queue.put('sam'),
python-patterns/tests/creational/test_pool.py,48,test_object(sample_queue),
python-patterns/tests/creational/test_pool.py,49,print('Outside func: {}'.format(sample_queue.get())),
python-patterns/tests/creational/test_pool.py,51,if not sample_queue.empty():,
python-patterns/patterns/other/blackboard.py,23,"percentage, if 100 -> task is finished",
python-patterns/patterns/other/blackboard.py,124,for deterministic doctest outputs,
python-patterns/patterns/other/hsm/hsm.py,26,Unit.Inservice.Active(),
python-patterns/patterns/other/hsm/hsm.py,27,Unit.Inservice.Standby(),
python-patterns/patterns/other/hsm/hsm.py,28,Unit.OutOfService.Suspect(),
python-patterns/patterns/other/hsm/hsm.py,29,Unit.OutOfService.Failed(),
python-patterns/patterns/other/hsm/hsm.py,81,message ignored,
python-patterns/patterns/other/hsm/hsm.py,132,message ignored,
python-patterns/patterns/other/hsm/hsm.py,141,message ignored,
python-patterns/patterns/other/hsm/hsm.py,150,message ignored,
python-patterns/patterns/other/hsm/hsm.py,165,loss of redundancy alarm,
python-patterns/patterns/other/hsm/hsm.py,170,message ignored,
python-patterns/patterns/creational/abstract_factory.py,69,Additional factories:,
python-patterns/patterns/creational/abstract_factory.py,71,Create a random animal,
python-patterns/patterns/creational/abstract_factory.py,77,Show pets with various factories,
python-patterns/patterns/creational/abstract_factory.py,80,A Shop that sells only cats,
python-patterns/patterns/creational/abstract_factory.py,85,A shop that sells random animals,
python-patterns/patterns/creational/abstract_factory.py,91,OUTPUT,
python-patterns/patterns/creational/abstract_factory.py,92,We have a lovely Cat,
python-patterns/patterns/creational/abstract_factory.py,93,It says meow,
python-patterns/patterns/creational/abstract_factory.py,94,,
python-patterns/patterns/creational/abstract_factory.py,95,We have a lovely Dog,
python-patterns/patterns/creational/abstract_factory.py,96,It says woof,
python-patterns/patterns/creational/abstract_factory.py,97,====================,
python-patterns/patterns/creational/abstract_factory.py,98,We have a lovely Cat,
python-patterns/patterns/creational/abstract_factory.py,99,It says meow,
python-patterns/patterns/creational/abstract_factory.py,100,====================,
python-patterns/patterns/creational/abstract_factory.py,101,We have a lovely Cat,
python-patterns/patterns/creational/abstract_factory.py,102,It says meow,
python-patterns/patterns/creational/abstract_factory.py,103,====================,
python-patterns/patterns/creational/builder.py,35,Abstract Building,
python-patterns/patterns/creational/builder.py,51,Concrete Buildings,
python-patterns/patterns/creational/builder.py,68,"In some very complex cases, it might be desirable to pull out the building",
python-patterns/patterns/creational/builder.py,69,"logic into another function (or a method on another class), rather than being",
python-patterns/patterns/creational/builder.py,70,in the base class '__init__'. (This leaves you in the strange situation where,
python-patterns/patterns/creational/builder.py,71,a concrete class does not have a useful constructor),
python-patterns/patterns/creational/pool.py,78,OUTPUT,
python-patterns/patterns/creational/pool.py,79,Inside with: yam,
python-patterns/patterns/creational/pool.py,80,Outside with: yam,
python-patterns/patterns/creational/pool.py,81,Inside func: sam,
python-patterns/patterns/creational/pool.py,82,Outside func: sam,
