file path,line #,comment,satd
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,1,Some part of the code was referenced from below.,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,2,https://github.com/pytorch/examples/tree/master/word_language_model,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,10,Device configuration,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,13,Hyper-parameters,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,18,number of words to be sampled,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,23,"Load ""Penn Treebank"" dataset",
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,30,RNN based language model,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,39,Embed word ids to vectors,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,42,Forward propagate LSTM,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,45,"Reshape output to (batch_size*sequence_length, hidden_size)",
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,48,Decode hidden states of all time steps,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,54,Loss and optimizer,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,58,Truncated backpropagation,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,62,Train the model,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,64,Set initial hidden and cell states,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,69,Get mini-batch inputs and targets,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,73,Forward pass,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,78,Backward and optimize,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,89,Test the model,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,92,Set intial hidden ane cell states,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,96,Select one word id randomly,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,101,Forward propagate RNN,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,104,Sample a word id,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,108,Fill input with sampled word id for the next time step,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,111,File write,
pytorch-tutorial/tutorials/02-intermediate/language_model/main.py,119,Save the model checkpoints,
pytorch-tutorial/tutorials/02-intermediate/language_model/data_utils.py,26,Add words to the dictionary,
pytorch-tutorial/tutorials/02-intermediate/language_model/data_utils.py,35,Tokenize the file content,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,7,Device configuration,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,10,Hyper parameters,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,16,MNIST dataset,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,26,Data loader,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,35,Convolutional neural network (two convolutional layers),
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,60,Loss and optimizer,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,64,Train the model,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,71,Forward pass,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,75,Backward and optimize,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,84,Test the model,
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,85,eval mode (batchnorm uses moving mean/variance instead of mini-batch mean/variance),
pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,99,Save the model checkpoint,
pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,1,----------------------------------------------------------------------------,
pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,2,An implementation of https://arxiv.org/pdf/1512.03385.pdf,
pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,3,See section 4.2 for the model architecture on CIFAR-10,
pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,4,Some part of the code was referenced from below,
