file path,line #,comment,satd
requests/setup.py,1,!/usr/bin/env python,
requests/setup.py,2,Learn more: https://github.com/kennethreitz/setup.py,
requests/setup.py,36,'setup.py publish' shortcut.,
requests/tests/compat.py,1,-*- coding: utf-8 -*-,
requests/tests/test_hooks.py,1,-*- coding: utf-8 -*-,
requests/tests/test_testserver.py,1,-*- coding: utf-8 -*-,
requests/tests/test_testserver.py,77,release server block,
requests/tests/test_testserver.py,91,the (n+1)th request fails,
requests/tests/test_testserver.py,98,TODO: figure out why this sometimes fails when using pytest-xdist.,
requests/tests/test_testserver.py,154,"if the server thread fails to finish, the test suite will hang",
requests/tests/test_testserver.py,155,and get killed by the jenkins timeout.,
requests/tests/test_testserver.py,165,"if the server thread fails to finish, the test suite will hang",
requests/tests/test_testserver.py,166,and get killed by the jenkins timeout.,
requests/tests/test_utils.py,1,-*- coding: utf-8 -*-,
requests/tests/test_utils.py,200,This is testing that the 'no_proxy' argument overrides the,
requests/tests/test_utils.py,201,environment variable 'no_proxy',
requests/tests/test_utils.py,297,HTML5 meta charset attribute,
requests/tests/test_utils.py,299,HTML4 pragma directive,
requests/tests/test_utils.py,301,XHTML 1.x served with text/html MIME type,
requests/tests/test_utils.py,303,XHTML 1.x served as XML,
requests/tests/test_utils.py,390,Ensure requoting doesn't break expectations,
requests/tests/test_utils.py,395,Ensure we handle unquoted percent signs in redirects,
requests/tests/test_utils.py,408,Illegal bytes,
requests/tests/test_utils.py,413,Reserved characters,
requests/tests/test_utils.py,457,XXX: unsure whether this is reasonable behavior,
requests/tests/test_utils.py,547,Reads all content at once,
requests/tests/test_utils.py,701,Test 'no_proxy' argument,
requests/tests/test_utils.py,744,this could be a string (REG_SZ) or a 32-bit number (REG_DWORD),
requests/tests/conftest.py,1,-*- coding: utf-8 -*-,
requests/tests/conftest.py,8,Issue #1483: Make sure the URL always has a trailing slash,
requests/tests/utils.py,1,-*- coding: utf-8 -*-,
requests/tests/test_,1,-*- coding: utf-8 -*-,
requests/tests/test_,39,Requests to this URL should always fail with a connection timeout (nothing,
requests/tests/test_,40,listening on that port),
requests/tests/test_,71,"Not really an entry point, but people rely on it.",
requests/tests/test_,150,Test for issue #3696,
requests/tests/test_,268,Mimic a redirect response,
requests/tests/test_,272,Run request through resolve_redirects,
requests/tests/test_,285,Create Response to avoid https://github.com/kevin1024/pytest-httpbin/issues/33,
requests/tests/test_,291,Mimic a redirect response,
requests/tests/test_,295,Run request through resolve_redirect,
requests/tests/test_,332,redirects to httpbin('get'),
requests/tests/test_,364,Session cookie should not be modified,
requests/tests/test_,370,Sending a request with cookies should not add cookies to the session,
requests/tests/test_,379,Make sure the cookie was sent,
requests/tests/test_,381,Make sure the session cj is still the custom one,
requests/tests/test_,389,Make sure the cookie was sent,
requests/tests/test_,402,Prepare request without using Session,
requests/tests/test_,406,Send request and simulate redirect,
requests/tests/test_,413,Verify CookieJar isn't being converted to RequestsCookieJar,
requests/tests/test_,525,Connecting to an unknown domain should raise a ConnectionError,
requests/tests/test_,527,Connecting to an invalid port should raise a ConnectionError,
requests/tests/test_,529,Inputing a URL that cannot be parsed should raise an InvalidURL error,
requests/tests/test_,537,"any proxy related error (address resolution, no route to host, etc) should result in a ProxyError",
requests/tests/test_,566,Should use netrc and work.,
requests/tests/test_,570,Given auth should override and fail.,
requests/tests/test_,576,Should use netrc and work.,
requests/tests/test_,580,Given auth should override and fail.,
requests/tests/test_,811,compat.str is unicode.,
requests/tests/test_,862,"Our local httpbin does not have a trusted CA, so this call will",
requests/tests/test_,863,fail if we use our default trust bundle.,
requests/tests/test_,1115,make sure one can use keys multiple times,
requests/tests/test_,1131,make sure one can use values multiple times,
requests/tests/test_,1147,make sure one can use items multiple times,
requests/tests/test_,1163,Verify that CookieConflictError is raised if domain is not specified,
requests/tests/test_,1167,Verify that CookieConflictError is not raised if domain is specified,
requests/tests/test_,1224,also for streaming,
requests/tests/test_,1232,check for unicode HTTP status,
requests/tests/test_,1238,old behaviour - crashes here,
requests/tests/test_,1241,check raise_status falls back to ISO-8859-1,
requests/tests/test_,1274,verify we can pickle the original request,
requests/tests/test_,1277,verify we can pickle the response and that we have access to,
requests/tests/test_,1278,the original request.,
requests/tests/test_,1286,Verify PreparedRequest can be pickled and unpickled,
requests/tests/test_,1292,Verify unpickled PreparedRequest sends properly,
requests/tests/test_,1302,Verify PreparedRequest can be pickled and unpickled,
requests/tests/test_,1308,Verify unpickled PreparedRequest sends properly,
requests/tests/test_,1317,Verify PreparedRequest can be pickled,
requests/tests/test_,1324,Verify unpickled PreparedRequest sends properly,
requests/tests/test_,1449,From issue #1321,
requests/tests/test_,1475,"This is testing that they are builtin strings. A bit weird, but there",
requests/tests/test_,1476,we go.,
requests/tests/test_,1497,Test for int,
requests/tests/test_,1501,Test for dict,
requests/tests/test_,1505,Test for list,
requests/tests/test_,1518,Test for newline,
requests/tests/test_,1521,Test for line feed,
requests/tests/test_,1524,Test for carriage return,
requests/tests/test_,1535,Test for whitespace,
requests/tests/test_,1538,Test for tab,
requests/tests/test_,1607,Non-standard ports should trigger stripping,
requests/tests/test_,1632,"read only the first eight bytes of the response body,",
requests/tests/test_,1633,then follow the redirect,
requests/tests/test_,1638,"read all of the response via iter_content,",
requests/tests/test_,1639,then follow the redirect,
requests/tests/test_,1656,the data has all been read,
requests/tests/test_,1659,rewind it back,
requests/tests/test_,1665,read some data,
requests/tests/test_,1670,the data has all been read,
requests/tests/test_,1673,rewind it back,
requests/tests/test_,1849,Make sure r.content is None,
requests/tests/test_,1927,default behavior,
requests/tests/test_,1930,edge case - check to see if 'location' is in headers anyways,
requests/tests/test_,2256,urllib3 expects bodies as bytes-like objects,
requests/tests/test_,2424,Helper function that normalizes equivalent,
requests/tests/test_,2425,percent-encoded bytes before comparisons,
requests/tests/test_structures.py,1,-*- coding: utf-8 -*-,
requests/tests/test_lowlevel.py,1,-*- coding: utf-8 -*-,
requests/tests/test_lowlevel.py,21,release server block,
requests/tests/test_lowlevel.py,53,Respond to initial GET with a challenge.,
requests/tests/test_lowlevel.py,58,"Verify we receive an Authorization header in response, then redirect.",
requests/tests/test_lowlevel.py,63,"Verify Authorization isn't sent to the redirected host,",
requests/tests/test_lowlevel.py,64,then send another challenge.,
requests/tests/test_lowlevel.py,69,"Verify Authorization is sent correctly again, and return 200 OK.",
requests/tests/test_lowlevel.py,82,Verify server succeeded in authenticating.,
requests/tests/test_lowlevel.py,84,Verify Authorization was sent in final request.,
requests/tests/test_lowlevel.py,87,Verify redirect happened as we expected.,
requests/tests/test_lowlevel.py,109,Respond to initial GET with a challenge.,
requests/tests/test_lowlevel.py,114,"Verify we receive an Authorization header in response, then",
requests/tests/test_lowlevel.py,115,challenge again.,
requests/tests/test_lowlevel.py,120,Verify the client didn't respond to second challenge.,
requests/tests/test_lowlevel.py,132,Verify server didn't authenticate us.,
requests/tests/test_lowlevel.py,152,Respond to GET with a 200 containing www-authenticate header.,
requests/tests/test_lowlevel.py,157,Verify the client didn't respond with auth.,
requests/tests/test_lowlevel.py,169,Verify server didn't receive auth from us.,
requests/tests/test_lowlevel.py,192,do nothing with the requests; just close the socket,
requests/tests/test_lowlevel.py,197,fake proxy's lack of response will cause a ConnectionError,
requests/tests/test_lowlevel.py,201,the fake proxy received a request,
requests/tests/test_lowlevel.py,204,it had actual content (not checking for SOCKS protocol for now),
requests/tests/test_lowlevel.py,211,stores the second request to the server,
requests/tests/test_lowlevel.py,304,Verify we haven't overwritten the location with our previous fragment.,
requests/tests/test_lowlevel.py,306,Verify previous fragment is used and not the original.,
requests/tests/test_help.py,1,-*- encoding: utf-8,
requests/tests/__init__.py,1,-*- coding: utf-8 -*-,
requests/tests/__init__.py,10,"urllib3 sets SNIMissingWarning to only go off once,",
requests/tests/__init__.py,11,while this test suite requires it to always fire,
requests/tests/__init__.py,12,so that it occurs during test_requests.test_https_warnings,
requests/tests/testserver/server.py,1,-*- coding: utf-8 -*-,
requests/tests/testserver/server.py,66,in case self.port = 0,
requests/tests/testserver/server.py,74,just in case of exception,
requests/tests/testserver/server.py,121,avoid server from waiting for event timeouts,
requests/tests/testserver/server.py,122,if an exception is found in the main thread,
requests/tests/testserver/server.py,125,ensure server thread doesn't get stuck waiting for connections,
requests/tests/testserver/server.py,128,allow exceptions to propagate,
requests/,1,-*- coding: utf-8 -*-,
requests/,15,-------,
requests/,16,Pythons,
requests/,17,-------,
requests/,19,Syntax sugar.,
requests/,22,: Python 2.x?,
requests/,25,: Python 3.x?,
requests/,33,---------,
requests/,34,Specifics,
requests/,35,---------,
requests/,46,Keep OrderedDict for backwards compatibility.,
requests/,63,Keep OrderedDict for backwards compatibility.,
requests/,50,Complete Guess,
requests/,52,Complete Guess,
requests/,1,-*- coding: utf-8 -*-,
requests/,49,"Use the lowercased key for lookups, but store the actual",
requests/,50,key alongside the value.,
requests/,78,Compare insensitively,
requests/,81,Copy is required,
requests/,100,"We allow fall-through here, so values default to None",
requests/,3,This code exists for backwards compatibility reasons.,
requests/,4,I don't like it either. Just look the other way. :),
requests/,8,This traversal is apparently necessary such that the identities are,
requests/,9,preserved (requests.packages.urllib3.* is urllib3.*),
requests/,14,"Kinda cool, though, right?",
requests/,1,-*- coding: utf-8 -*-,
requests/,52,Only return the response's URL if the user hadn't set the Host,
requests/,53,header,
requests/,56,"If they did set it, retrieve it and reconstruct the expected domain",
requests/,59,Reconstruct the URL as we expect it,
requests/,128,"the _original_response field is the wrapped httplib.HTTPResponse object,",
requests/,130,pull out the HTTPMessage with the headers and put it in the mock:,
requests/,206,support client code that unsets cookies by assignment of a None value:,
requests/,297,there is only one domain in jar,
requests/,393,if there are multiple cookies that meet passed in criteria,
requests/,395,we will eventually return this as long as no cookie conflict,
requests/,404,remove the unpickleable RLock object,
requests/,431,We're dealing with an instance of RequestsCookieJar,
requests/,433,We're dealing with a generic CookieJar instance,
requests/,1,-*- coding: utf-8 -*-,
requests/,37,"formerly defined here, reexposed here for backward compatibility",
requests/,40,"Preferred clock, based on which one is more accurate on a given system.",
requests/,42,Python 3.4+,
requests/,44,Earlier than Python 3.,
requests/,62,Bypass if not a dictionary (e.g. verify),
requests/,72,Remove keys that are set to None. Extract keys first to avoid altering,
requests/,73,the dictionary during iteration.,
requests/,100,Due to the nature of how requests processes redirects this method will,
requests/,101,be called at least once upon the original response and at least twice,
requests/,102,on each subsequent redirect response (if any).,
requests/,103,"If a custom mixin is used to handle this logic, it may be advantageous",
requests/,104,to cache the redirect location onto the response object as a private,
requests/,105,attribute.,
requests/,108,Currently the underlying http module on py3 decode headers,
requests/,109,"in latin1, but empirical evidence suggests that latin1 is very",
requests/,110,rarely used with non-ASCII characters in HTTP headers.,
requests/,111,It is more likely to get UTF8 header rather than latin1.,
requests/,112,This causes incorrect handling of UTF8 encoded location headers.,
requests/,113,"To solve this, we re-encode the location in latin1.",
requests/,125,Special case: allow http -> https redirect when using the standard,
requests/,126,"ports. This isn't specified by RFC 7235, but is kept to avoid",
requests/,127,breaking backwards compatibility with older versions of requests,
requests/,128,that allowed any redirects on the same host.,
requests/,133,Handle default port usage corresponding to scheme.,
requests/,141,Standard case: root URI must match,
requests/,148,keep track of history,
requests/,155,Update history and keep track of redirects.,
requests/,156,resp.history must ignore the original request in this loop,
requests/,161,Consume socket so it can be released,
requests/,168,Release the connection back into the pool.,
requests/,171,Handle redirection without scheme (see: RFC 1808 Section 4),
requests/,176,Normalize url case and attach previous fragment if needed (RFC 7231 7.1.2),
requests/,184,"Facilitate relative 'location' headers, as allowed by RFC 7231.",
requests/,185,(e.g. '/path/to/resource' instead of 'http://domain.tld/path/to/resource'),
requests/,186,"Compliant with RFC3986, we percent encode the url.",
requests/,196,https://github.com/psf/requests/issues/1084,
requests/,198,https://github.com/psf/requests/issues/3490,
requests/,207,Extract any cookies sent on the response to the cookiejar,
requests/,208,in the new request. Because we've mutated our copied prepared,
requests/,209,"request, use the old one that we haven't yet touched.",
requests/,214,Rebuild auth and proxy information.,
requests/,218,A failed tell() sets `_body_position` to `object()`. This non-None,
requests/,219,"value ensures `rewindable` will be True, allowing us to raise an",
requests/,220,"UnrewindableBodyError, instead of hanging the connection.",
requests/,226,Attempt to rewind consumed file-like object.,
requests/,230,Override the original request.,
requests/,250,"extract redirect url, if any, for the next loop",
requests/,263,"If we get redirected to a new host, we should strip out any",
requests/,264,authentication headers.,
requests/,267,.netrc might have more auth for us on our new host.,
requests/,320,https://tools.ietf.org/html/rfc7231#section-6.4.4,
requests/,324,"Do what the browsers do, despite standards...",
requests/,325,"First, turn 302s into GETs.",
requests/,329,"Second, if a POST is responded to with a 301, turn it into a GET.",
requests/,330,This bizarre behaviour is explained in Issue 1704.,
requests/,364,: A case-insensitive dictionary of headers to be sent on each,
requests/,365,: :class:`Request <Request>` sent from this,
requests/,366,: :class:`Session <Session>`.,
requests/,369,: Default Authentication tuple or object to attach to,
requests/,370,: :class:`Request <Request>`.,
requests/,373,: Dictionary mapping protocol or protocol and host to the URL of the proxy,
requests/,374,": (e.g. {'http': 'foo.bar:3128', 'http://host.name': 'foo.bar:4012'}) to",
requests/,375,: be used on each :class:`Request <Request>`.,
requests/,378,: Event-handling hooks.,
requests/,381,: Dictionary of querystring data to attach to each,
requests/,382,: :class:`Request <Request>`. The dictionary values may be lists for,
requests/,383,: representing multivalued query parameters.,
requests/,386,: Stream response content default.,
requests/,389,: SSL Verification default.,
requests/,392,": SSL client certificate default, if String, path to ssl client",
requests/,393,": cert file (.pem). If Tuple, ('cert', 'key') pair.",
requests/,396,: Maximum number of redirects allowed. If the request exceeds this,
requests/,397,": limit, a :class:`TooManyRedirects` exception is raised.",
requests/,398,": This defaults to requests.models.DEFAULT_REDIRECT_LIMIT, which is",
requests/,399,: 30.,
requests/,402,": Trust environment settings for proxy configuration, default",
requests/,403,: authentication and similar.,
requests/,406,: A CookieJar containing all currently outstanding cookies set on this,
requests/,407,: session. By default it is a,
requests/,408,": :class:`RequestsCookieJar <requests.cookies.RequestsCookieJar>`, but",
requests/,409,: may be any other ``cookielib.CookieJar`` compatible object.,
requests/,412,Default connection adapters.,
requests/,435,Bootstrap CookieJar.,
requests/,439,Merge with session cookies,
requests/,443,Set environment's basic authentication if not explicitly set.,
requests/,503,Create the Request.,
requests/,524,Send the request.,
requests/,619,Set defaults that the hooks can utilize to ensure they always have,
requests/,620,the correct parameters to reproduce the previous request.,
requests/,626,It's possible that users might accidentally send a Request object.,
requests/,627,Guard against that specific failure case.,
requests/,631,Set up variables needed for resolve_redirects and dispatching of hooks,
requests/,636,Get the appropriate adapter to use,
requests/,639,Start time (approximately) of the request,
requests/,642,Send the request,
requests/,645,Total elapsed time of the request (approximately),
requests/,649,Response manipulation hooks,
requests/,652,Persist cookies,
requests/,655,If the hooks create history then we want those cookies too,
