file path,line #,comment,satd
sanic/setup.py,129,'nt' means windows OS,
sanic/tests/test_routes.py,12,------------------------------------------------------------,
sanic/tests/test_routes.py,13,UTF-8,
sanic/tests/test_routes.py,14,------------------------------------------------------------,
sanic/tests/test_routes.py,169,Part of regression test for issue #1120,
sanic/tests/test_routes.py,174,"before fix, this raises a RouteExists error",
sanic/tests/test_blueprint_group.py,56,Dummy auth check. We can have anything here and it's fine.,
sanic/tests/test_keep_alive_timeout.py,15,test_keep_alive_timeout_reuse doesn't work with random port,
sanic/tests/test_keep_alive_timeout.py,90,"Copied from SanicTestClient, but with some changes to reuse the",
sanic/tests/test_keep_alive_timeout.py,91,same loop for the same app.,
sanic/tests/test_keep_alive_timeout.py,187,"Copied from SanicTestClient, but with some changes to reuse the",
sanic/tests/test_keep_alive_timeout.py,188,same TCPConnection and the sane ClientSession more than once.,
sanic/tests/test_keep_alive_timeout.py,189,"Note, you cannot use the same session if you are in a _different_",
sanic/tests/test_keep_alive_timeout.py,190,"loop, so the changes above are required too.",
sanic/tests/test_request_cancel.py,16,at this point client is already disconnected,
sanic/tests/test_request_cancel.py,20,schedule client call,
sanic/tests/test_request_cancel.py,26,cancelling request and closing connection after 0.5 sec,
sanic/tests/test_request_cancel.py,32,Wait for server and check if it's still serving the cancelled request,
sanic/tests/test_request_cancel.py,54,at this point client is already disconnected,
sanic/tests/test_request_cancel.py,59,schedule client call,
sanic/tests/test_request_cancel.py,65,cancelling request and closing connection after 0.5 sec,
sanic/tests/test_request_cancel.py,71,Wait for server and check if it's still serving the cancelled request,
sanic/tests/test_request_stream.py,329,404,
sanic/tests/test_request_stream.py,334,405,
sanic/tests/test_request_stream.py,621,This should do nothing,
sanic/tests/test_request_stream.py,636,"We should have no b"""" or None, just proper chunks",
sanic/tests/test_utf8.py,6,------------------------------------------------------------,
sanic/tests/test_utf8.py,7,UTF-8,
sanic/tests/test_utf8.py,8,------------------------------------------------------------,
sanic/tests/test_utf8.py,34,UTF-8 Paths are not supported,
sanic/tests/test_blueprints.py,16,------------------------------------------------------------,
sanic/tests/test_blueprints.py,17,GET,
sanic/tests/test_blueprints.py,18,------------------------------------------------------------,
sanic/tests/test_blueprints.py,360,"This is done here, since no other test loads a file here",
sanic/tests/conftest.py,99,noinspection PyProtectedMember,
sanic/tests/test_url_building.py,38,this is the easiest way to generate functions with dynamic names,
sanic/tests/test_url_building.py,239,"For ``number``, it has been cast to a float - so a ``3`` becomes a ``3.0``",
sanic/tests/test_url_building.py,274,noqa,
sanic/tests/test_url_building.py,278,noqa,
sanic/tests/test_worker.py,152,exceeding request count,
sanic/tests/test_worker.py,184,close worker,
sanic/tests/test_headers.py,38,cgi.parse_header:,
sanic/tests/test_headers.py,39,"('form-data', {'name': 'files', 'filename': 'fo""o;bar\\'})",
sanic/tests/test_headers.py,40,werkzeug.parse_options_header:,
sanic/tests/test_headers.py,41,"('form-data', {'name': 'files', 'filename': '""fo\\""o', 'bar\\""': None})",
sanic/tests/test_headers.py,43,"<input type=file name=""foo&quot;;bar\""> with Unicode filename!",
sanic/tests/test_headers.py,45,Chrome:,
sanic/tests/test_headers.py,46,"Content-Disposition: form-data; name=""foo%22;bar\""; filename=""😀""",
sanic/tests/test_headers.py,49,"cgi: ('form-data', {'name': 'foo%22;bar""; filename=""😀'})",
