file path,line #,comment,satd
scikit-learn/conftest.py,1,Even if empty this file is useful so that when running from the root folder,not
scikit-learn/conftest.py,2,./sklearn is added to sys.path by pytest. See,not
scikit-learn/conftest.py,3,https://docs.pytest.org/en/latest/pythonpath.html for more details.  For,not
scikit-learn/conftest.py,4,"example, this allows to build extensions in place and run pytest",not
scikit-learn/conftest.py,5,doc/modules/clustering.rst and use sklearn from the local folder rather than,not
scikit-learn/conftest.py,6,the one from site-packages.,not
scikit-learn/conftest.py,36,FeatureHasher is not compatible with PyPy,not
scikit-learn/conftest.py,45,Skip tests which require internet if the flag is provided,not
scikit-learn/conftest.py,53,numpy changed the str/repr formatting of numpy arrays in 1.14. We want to,not
scikit-learn/conftest.py,54,run doctests only for numpy >= 1.14.,not
scikit-learn/conftest.py,90,declare our custom markers to avoid PytestUnknownMarkWarning,not
scikit-learn/conftest.py,102,TODO: Remove when modules are deprecated in 0.24,SATD
scikit-learn/conftest.py,103,Configures pytest to ignore deprecated modules.,not
scikit-learn/setup.py,1,! /usr/bin/env python,not
scikit-learn/setup.py,2,,not
scikit-learn/setup.py,3,Copyright (C) 2007-2009 Cournapeau David <cournape@gmail.com>,not
scikit-learn/setup.py,4,2010 Fabian Pedregosa <fabian.pedregosa@inria.fr>,not
scikit-learn/setup.py,5,License: 3-clause BSD,not
scikit-learn/setup.py,18,Python 2 compat: just to be able to declare that Python >=3.6 is needed.,not
scikit-learn/setup.py,21,This is a bit (!) hackish: we are setting a global variable so that the,SATD
scikit-learn/setup.py,22,main sklearn __init__ can detect if it is being loaded by the setup,not
scikit-learn/setup.py,23,"routine, to avoid attempting to load components that aren't built yet:",not
scikit-learn/setup.py,24,the numpy distutils extensions that are used by scikit-learn to,not
scikit-learn/setup.py,25,recursively build the compiled extensions in sub-packages is based on the,not
scikit-learn/setup.py,26,Python import machinery.,not
scikit-learn/setup.py,45,We can actually import a restricted version of sklearn that,not
scikit-learn/setup.py,46,does not need the compiled code,not
scikit-learn/setup.py,61,Optional setuptools features,not
scikit-learn/setup.py,62,"We need to import setuptools early, if we want setuptools features,",not
scikit-learn/setup.py,63,as it monkey-patches the 'setup' function,not
scikit-learn/setup.py,64,"For some commands, use setuptools",not
scikit-learn/setup.py,75,the package can run out of an .egg file,not
scikit-learn/setup.py,88,Custom clean command to remove build artifacts,not
scikit-learn/setup.py,95,Remove c files if we are not within a sdist package,not
scikit-learn/setup.py,120,custom build_ext command to set OpenMP compile flags depending on os and,not
scikit-learn/setup.py,121,compiler,not
scikit-learn/setup.py,122,build_ext has to be imported after setuptools,not
scikit-learn/setup.py,124,noqa,not
scikit-learn/setup.py,142,Numpy should not be a dependency just to be able to introspect,not
scikit-learn/setup.py,143,that python 3.6 is required.,not
scikit-learn/setup.py,147,Optional wheelhouse-uploader features,not
scikit-learn/setup.py,148,To automate release of binary packages for scikit-learn we need a tool,not
scikit-learn/setup.py,149,to download the packages generated by travis and appveyor workers (with,not
scikit-learn/setup.py,150,version number matching the current release) and upload them all at once,not
scikit-learn/setup.py,151,to PyPI at release time.,not
scikit-learn/setup.py,152,The URL of the artifact repositories are configured in the setup.cfg file.,not
scikit-learn/setup.py,170,Avoid non-useful msg:,not
scikit-learn/setup.py,171,"""Ignoring attempt to set 'name' (from ... """,not
scikit-learn/setup.py,177,Cython is required by config.add_subpackage for templated extensions,not
scikit-learn/setup.py,178,that need the tempita sub-submodule. So check that we have the correct,not
scikit-learn/setup.py,179,version of Cython so as to be able to raise a more informative error,not
scikit-learn/setup.py,180,message from the start if it's not the case.,not
scikit-learn/setup.py,274,"For these actions, NumPy is not required",not
scikit-learn/setup.py,275,,not
scikit-learn/setup.py,276,They are required to succeed without Numpy for example when,not
scikit-learn/setup.py,277,pip is used to install Scikit-learn when Numpy is not yet present in,not
scikit-learn/setup.py,278,the system.,not
