file path,line #,comment,satd
scrapy/conftest.py,11,"not a test, but looks like a test",not
scrapy/conftest.py,13,contains scripts to be run by tests/test_crawler.py::CrawlerProcessSubprocess,not
scrapy/conftest.py,15,contains scripts to be run by tests/test_crawler.py::CrawlerRunnerSubprocess,not
scrapy/conftest.py,17,Py36-only parts of respective tests,not
scrapy/conftest.py,34,Avoid executing tests when executing `--flake8` flag (pytest-flake8),not
scrapy/conftest.py,46,doctests,not
scrapy/extras/qps-bench-server.py,1,!/usr/bin/env python,not
scrapy/extras/qps-bench-server.py,28,reset stats on high iter-request times caused by client restarts,not
scrapy/extras/qps-bench-server.py,29,seconds,not
scrapy/extras/qpsclient.py,19,Max concurrency is limited by global CONCURRENT_REQUESTS setting,not
scrapy/extras/qpsclient.py,21,Requests per second goal,not
scrapy/extras/qpsclient.py,22,same as: 1 / download_delay,not
scrapy/extras/qpsclient.py,24,time in seconds to delay server responses,not
scrapy/extras/qpsclient.py,26,number of slots to create,not
scrapy/tests/test_utils_url.py,242,some corner cases (default to http://),not
scrapy/tests/test_utils_url.py,252,TODO: the following tests do not pass with current implementation,SATD
scrapy/tests/test_utils_url.py,316,"user: ""username@""",not
scrapy/tests/test_utils_url.py,317,password: none,not
scrapy/tests/test_utils_url.py,321,"user: ""username:pass""",not
scrapy/tests/test_utils_url.py,322,"password: """"",not
scrapy/tests/test_utils_url.py,326,"user: ""me""",not
scrapy/tests/test_utils_url.py,327,"password: ""user@domain.com""",not
scrapy/tests/test_utils_asyncio.py,12,the result should depend only on the pytest --reactor argument,not
scrapy/tests/test_utils_asyncio.py,16,this should do nothing,not
scrapy/tests/test_commands.py,155,only pass one argument. spider script shouldn't be created,not
scrapy/tests/test_commands.py,158,pass two arguments <name> <domain>. spider script should be created,not
scrapy/tests/test_commands.py,262,see https://github.com/scrapy/scrapy/issues/2811,SATD
scrapy/tests/test_commands.py,263,"The spider below should not be able to connect to localhost:12345,",not
scrapy/tests/test_commands.py,264,"which is intended,",not
scrapy/tests/test_commands.py,265,but this should not be because of DNS lookup error,not
scrapy/tests/test_commands.py,266,assumption: localhost will resolve in all cases (true?),not
scrapy/tests/test_downloadermiddleware_redirect.py,35,response without Location header but with status code is 3XX should be ignored,not
scrapy/tests/test_downloadermiddleware_redirect.py,61,Test that it redirects when dont_redirect is False,not
scrapy/tests/test_downloadermiddleware_redirect.py,87,response without Location header but with status code is 3XX should be ignored,not
scrapy/tests/test_downloadermiddleware_redirect.py,102,response without Location header but with status code is 3XX should be ignored,not
scrapy/tests/test_downloadermiddleware_redirect.py,118,response without Location header but with status code is 3XX should be ignored,not
scrapy/tests/test_downloadermiddleware_redirect.py,187,HTTP historically supports latin1,not
scrapy/tests/test_downloadermiddleware_redirect.py,195,header using UTF-8 encoding,not
scrapy/tests/test_downloadermiddleware_redirect.py,227,meta-refresh with high intervals don't trigger redirects,not
scrapy/tests/test_utils_python.py,115,no attributes given return False,not
scrapy/tests/test_utils_python.py,117,not existent attributes,not
scrapy/tests/test_utils_python.py,122,equal attribute,not
scrapy/tests/test_utils_python.py,126,obj1 has no attribute y,not
scrapy/tests/test_utils_python.py,130,equal attributes,not
scrapy/tests/test_utils_python.py,134,differente attributes,not
scrapy/tests/test_utils_python.py,137,test callable,not
scrapy/tests/test_utils_python.py,142,compare ['meta']['a'],not
scrapy/tests/test_utils_python.py,153,fail z equality,not
scrapy/tests/test_utils_python.py,210,TODO: how do we fix this to return the actual argument names?,SATD
scrapy/tests/test_spidermiddleware_referer.py,62,no credentials leak,not
scrapy/tests/test_spidermiddleware_referer.py,65,no referrer leak for local schemes,not
scrapy/tests/test_spidermiddleware_referer.py,69,no referrer leak for s3 origins,not
scrapy/tests/test_spidermiddleware_referer.py,87,TLS to TLS: send non-empty referrer,not
scrapy/tests/test_spidermiddleware_referer.py,94,TLS to non-TLS: do not send referrer,not
scrapy/tests/test_spidermiddleware_referer.py,99,non-TLS to TLS or non-TLS: send referrer,not
scrapy/tests/test_spidermiddleware_referer.py,109,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,116,"Same origin (protocol, host, port): send referrer",not
scrapy/tests/test_spidermiddleware_referer.py,124,Different host: do NOT send referrer,not
scrapy/tests/test_spidermiddleware_referer.py,129,Different port: do NOT send referrer,not
scrapy/tests/test_spidermiddleware_referer.py,134,Different protocols: do NOT send refferer,not
scrapy/tests/test_spidermiddleware_referer.py,141,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,149,"TLS or non-TLS to TLS or non-TLS: referrer origin is sent (yes, even for downgrades)",not
scrapy/tests/test_spidermiddleware_referer.py,155,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,162,TLS or non-TLS to TLS or non-TLS: referrer origin is sent but not for downgrades,not
scrapy/tests/test_spidermiddleware_referer.py,167,downgrade: send nothing,not
scrapy/tests/test_spidermiddleware_referer.py,170,upgrade: send origin,not
scrapy/tests/test_spidermiddleware_referer.py,173,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,181,"Same origin (protocol, host, port): send referrer",not
scrapy/tests/test_spidermiddleware_referer.py,189,Different host: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,193,exact match required,not
scrapy/tests/test_spidermiddleware_referer.py,196,Different port: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,200,Different protocols: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,207,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,209,TLS to non-TLS downgrade: send origin,not
scrapy/tests/test_spidermiddleware_referer.py,216,"Same origin (protocol, host, port): send referrer",not
scrapy/tests/test_spidermiddleware_referer.py,224,Different host: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,228,exact match required,not
scrapy/tests/test_spidermiddleware_referer.py,231,Different port: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,235,downgrade,not
scrapy/tests/test_spidermiddleware_referer.py,239,non-TLS to non-TLS,not
scrapy/tests/test_spidermiddleware_referer.py,242,upgrade,not
scrapy/tests/test_spidermiddleware_referer.py,246,Different protocols: send origin as referrer,not
scrapy/tests/test_spidermiddleware_referer.py,250,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,253,TLS to non-TLS downgrade: send nothing,not
scrapy/tests/test_spidermiddleware_referer.py,260,TLS to TLS: send referrer,not
scrapy/tests/test_spidermiddleware_referer.py,268,"TLS to non-TLS: send referrer (yes, it's unsafe)",not
scrapy/tests/test_spidermiddleware_referer.py,273,"non-TLS to TLS or non-TLS: send referrer (yes, it's unsafe)",not
scrapy/tests/test_spidermiddleware_referer.py,283,test for user/password stripping,not
scrapy/tests/test_spidermiddleware_referer.py,293,--- Tests using settings to set policy using class path,not
scrapy/tests/test_spidermiddleware_referer.py,352,--- Tests using Request meta dict to set policy,not
scrapy/tests/test_spidermiddleware_referer.py,408,When an unknown policy is referenced in Request.meta,not
scrapy/tests/test_spidermiddleware_referer.py,409,"(here, a typo error),",not
scrapy/tests/test_spidermiddleware_referer.py,410,the policy defined in settings takes precedence,not
scrapy/tests/test_spidermiddleware_referer.py,418,same as above but with string value for settings policy,not
scrapy/tests/test_spidermiddleware_referer.py,426,"request meta references a wrong policy but it is set,",not
scrapy/tests/test_spidermiddleware_referer.py,427,"so the Referrer-Policy header in response is not used,",not
scrapy/tests/test_spidermiddleware_referer.py,428,and the settings' policy is applied,not
scrapy/tests/test_spidermiddleware_referer.py,436,"here, request meta does not set the policy",not
scrapy/tests/test_spidermiddleware_referer.py,437,so response headers take precedence,not
scrapy/tests/test_spidermiddleware_referer.py,445,"here, request meta does not set the policy,",not
scrapy/tests/test_spidermiddleware_referer.py,446,"but response headers also use an unknown policy,",not
scrapy/tests/test_spidermiddleware_referer.py,447,so the settings' policy is used,not
scrapy/tests/test_spidermiddleware_referer.py,545,parent,not
scrapy/tests/test_spidermiddleware_referer.py,546,target,not
scrapy/tests/test_spidermiddleware_referer.py,548,"redirections: code, URL",not
scrapy/tests/test_spidermiddleware_referer.py,552,expected initial referer,not
scrapy/tests/test_spidermiddleware_referer.py,553,expected referer for the redirection request,not
scrapy/tests/test_spidermiddleware_referer.py,559,redirecting to non-secure URL,not
scrapy/tests/test_spidermiddleware_referer.py,569,redirecting to non-secure URL: different origin,not
scrapy/tests/test_spidermiddleware_referer.py,609,parent,not
scrapy/tests/test_spidermiddleware_referer.py,610,target,not
scrapy/tests/test_spidermiddleware_referer.py,612,"redirections: code, URL",not
scrapy/tests/test_spidermiddleware_referer.py,616,"expected initial ""Referer""",not
scrapy/tests/test_spidermiddleware_referer.py,617,"expected ""Referer"" for the redirection request",not
scrapy/tests/test_spidermiddleware_referer.py,630,different origin,not
scrapy/tests/test_spidermiddleware_referer.py,651,origin,not
scrapy/tests/test_spidermiddleware_referer.py,652,target,not
scrapy/tests/test_spidermiddleware_referer.py,654,"redirections: code, URL",not
scrapy/tests/test_spidermiddleware_referer.py,658,"expected initial ""Referer""",not
scrapy/tests/test_spidermiddleware_referer.py,659,expected referer for the redirection request,not
scrapy/tests/test_spidermiddleware_referer.py,665,redirecting from secure to non-secure URL == different origin,not
scrapy/tests/test_spidermiddleware_referer.py,675,different domain == different origin,not
scrapy/tests/test_spidermiddleware_referer.py,702,send origin,not
scrapy/tests/test_spidermiddleware_referer.py,703,redirects to same origin: send origin,not
scrapy/tests/test_spidermiddleware_referer.py,709,redirecting to non-secure URL: no referrer,not
scrapy/tests/test_spidermiddleware_referer.py,719,redirecting to non-secure URL (different domain): no referrer,not
scrapy/tests/test_spidermiddleware_referer.py,738,"HTTPS all along, so origin referrer is kept as-is",not
scrapy/tests/test_spidermiddleware_referer.py,747,TLS to non-TLS: no referrer,not
scrapy/tests/test_spidermiddleware_referer.py,749,TLS URL again: (still) no referrer,not
