file path,line #,comment,satd
sentry/conftest.py,18,XXX(dcramer): Kombu throws a warning due to transaction.commit_manually,SATD
sentry/conftest.py,19,being used,not
sentry/conftest.py,22,always install plugins for the tests,not
sentry/conftest.py,25,add custom test markers,not
sentry/conftest.py,37,"Sentry's pytest plugin explicitly doesn't load plugins, so let's load all of them",not
sentry/conftest.py,38,and ignore the fact that we're not *just* testing our own,not
sentry/conftest.py,39,Note: We could manually register/configure INSTALLED_APPS by traversing our entry points,not
sentry/conftest.py,40,"or package directories, but this is easier assuming Sentry doesn't change APIs.",not
sentry/conftest.py,41,Note: Order of operations matters here.,not
sentry/conftest.py,57,this isn't the real secret,not
sentry/conftest.py,64,TODO(joshuarli): six 1.12.0 adds ensure_binary: six.ensure_binary(item.location[0]),SATD
sentry/setup.py,1,!/usr/bin/env python,not
sentry/setup.py,17,add sentry to path so we can import sentry.utils.distutils,not
sentry/setup.py,40,override django version in requirements file if DJANGO_VERSION is set,not
sentry/setup.py,50,If we are not a light build we want to also execute build_assets as,not
sentry/setup.py,51,part of our source build pipeline.,not
sentry/setup.py,112,TODO: This can be removed once the getsentry tests no longer check for this app,SATD
sentry/docker/sentry.conf.py,1,flake8: noqa,not
sentry/docker/sentry.conf.py,4,"This file is just Python, with a touch of Django which means",not
sentry/docker/sentry.conf.py,5,you can inherit and tweak settings to your hearts content.,not
sentry/docker/sentry.conf.py,7,"For Docker, the following environment variables are supported:",not
sentry/docker/sentry.conf.py,8,SENTRY_POSTGRES_HOST,not
sentry/docker/sentry.conf.py,9,SENTRY_POSTGRES_PORT,not
sentry/docker/sentry.conf.py,10,SENTRY_DB_NAME,not
sentry/docker/sentry.conf.py,11,SENTRY_DB_USER,not
sentry/docker/sentry.conf.py,12,SENTRY_DB_PASSWORD,not
sentry/docker/sentry.conf.py,13,SENTRY_RABBITMQ_HOST,not
sentry/docker/sentry.conf.py,14,SENTRY_RABBITMQ_USERNAME,not
sentry/docker/sentry.conf.py,15,SENTRY_RABBITMQ_PASSWORD,not
sentry/docker/sentry.conf.py,16,SENTRY_RABBITMQ_VHOST,not
sentry/docker/sentry.conf.py,17,SENTRY_REDIS_HOST,not
sentry/docker/sentry.conf.py,18,SENTRY_REDIS_PASSWORD,not
sentry/docker/sentry.conf.py,19,SENTRY_REDIS_PORT,not
sentry/docker/sentry.conf.py,20,SENTRY_REDIS_DB,not
sentry/docker/sentry.conf.py,21,SENTRY_MEMCACHED_HOST,not
sentry/docker/sentry.conf.py,22,SENTRY_MEMCACHED_PORT,not
sentry/docker/sentry.conf.py,23,SENTRY_FILESTORE_DIR,not
sentry/docker/sentry.conf.py,24,SENTRY_SERVER_EMAIL,not
sentry/docker/sentry.conf.py,25,SENTRY_EMAIL_HOST,not
sentry/docker/sentry.conf.py,26,SENTRY_EMAIL_PORT,not
sentry/docker/sentry.conf.py,27,SENTRY_EMAIL_USER,not
