file path,line #,comment,satd
tqdm/setup.py,1,!/usr/bin/env python,not
tqdm/setup.py,2,-*- coding: utf-8 -*-,not
tqdm/setup.py,10,"os.walk -> list[(dirname, list[subdirs], list[files])]",not
tqdm/setup.py,17,Get version from tqdm/_version.py,not
tqdm/setup.py,24,Executing makefile commands if specified,not
tqdm/setup.py,27,Filename of the makefile,not
tqdm/setup.py,30,Stop to avoid setup.py raising non-standard command error,not
tqdm/setup.py,61,Trove classifiers,not
tqdm/setup.py,62,(https://pypi.org/pypi?%3Aaction=list_classifiers),not
tqdm/benchmarks/benchmarks.py,1,Write the benchmarking functions here.,not
tqdm/benchmarks/benchmarks.py,2,"See ""Writing benchmarks"" in the asv docs for more information.",not
tqdm/benchmarks/benchmarks.py,39,"TODO: miniters=None, mininterval=0.1, smoothing=0)]",SATD
tqdm/tqdm/notebook.py,10,future division is important to divide integers and get as,not
tqdm/tqdm/notebook.py,11,a result precise floating numbers (instead of truncated int),not
tqdm/tqdm/notebook.py,13,import compatibility functions and utilities,not
tqdm/tqdm/notebook.py,16,to inherit from the tqdm class,not
tqdm/tqdm/notebook.py,20,pragma: no cover,not
tqdm/tqdm/notebook.py,21,import IPython/Jupyter base widget and display utilities,not
tqdm/tqdm/notebook.py,24,IPython 4.x,not
tqdm/tqdm/notebook.py,29,__version__ may not exist in old versions,not
tqdm/tqdm/notebook.py,31,IPython 3.x / 2.x,not
tqdm/tqdm/notebook.py,43,IPython 4.x / 3.x,not
tqdm/tqdm/notebook.py,52,IPython 2.x,not
tqdm/tqdm/notebook.py,61,", clear_output",not
tqdm/tqdm/notebook.py,65,HTML encoding,not
tqdm/tqdm/notebook.py,66,Py3,not
tqdm/tqdm/notebook.py,68,Py2,not
tqdm/tqdm/notebook.py,86,Fallback to text bar if there's no total,not
tqdm/tqdm/notebook.py,87,DEPRECATED: replaced with an 'info' style bar,not
tqdm/tqdm/notebook.py,88,if not total:,not
tqdm/tqdm/notebook.py,89,"return super(tqdm_notebook, tqdm_notebook).status_printer(file)",not
tqdm/tqdm/notebook.py,91,fp = file,not
tqdm/tqdm/notebook.py,93,Prepare IPython progress bar,not
tqdm/tqdm/notebook.py,97,No total? Show info style bar with no progress tqdm status,not
tqdm/tqdm/notebook.py,102,#187 #451 #558,not
tqdm/tqdm/notebook.py,112,Prepare status text,not
tqdm/tqdm/notebook.py,114,Only way to place text to the right of the bar is to use a container,not
tqdm/tqdm/notebook.py,116,Prepare layout,not
tqdm/tqdm/notebook.py,117,use default style of ipywidgets,not
tqdm/tqdm/notebook.py,118,"ncols could be 100, ""100px"", ""100%""",not
tqdm/tqdm/notebook.py,119,ipywidgets only accepts string,not
tqdm/tqdm/notebook.py,121,isnumeric and positive,not
tqdm/tqdm/notebook.py,134,additional signals,not
tqdm/tqdm/notebook.py,136,"Note: contrary to native tqdm, msg='' does NOT clear bar",not
tqdm/tqdm/notebook.py,137,goal is to keep all infos if error happens so user knows,not
tqdm/tqdm/notebook.py,138,at which iteration the loop failed.,not
tqdm/tqdm/notebook.py,140,Clear previous output (really necessary?),not
tqdm/tqdm/notebook.py,141,clear_output(wait=1),not
tqdm/tqdm/notebook.py,150,html escape special characters (like '&'),not
tqdm/tqdm/notebook.py,156,remove inesthetical pipes,not
tqdm/tqdm/notebook.py,162,Update description,not
tqdm/tqdm/notebook.py,167,never clear the bar (signal: msg=''),not
tqdm/tqdm/notebook.py,171,Change bar style,not
tqdm/tqdm/notebook.py,173,Hack-ish way to avoid the danger bar_style being overridden by,SATD
tqdm/tqdm/notebook.py,174,success because the bar gets closed after the error...,not
tqdm/tqdm/notebook.py,178,Special signal to close the bar,not
tqdm/tqdm/notebook.py,179,hide only if no error,not
tqdm/tqdm/notebook.py,186,Setup default output,not
tqdm/tqdm/notebook.py,189,avoid the red block in IPython,not
tqdm/tqdm/notebook.py,191,Initialize parent class + avoid printing by using gui=True,not
tqdm/tqdm/notebook.py,195,convert disable = None to False,not
tqdm/tqdm/notebook.py,202,Get bar width,not
tqdm/tqdm/notebook.py,205,Replace with IPython progress bar display (with correct total),not
tqdm/tqdm/notebook.py,212,Print initial bar state,not
tqdm/tqdm/notebook.py,219,return super(tqdm...) will not catch exception,not
tqdm/tqdm/notebook.py,221,NB: except ... [ as ...] breaks IPython async KeyboardInterrupt,not
tqdm/tqdm/notebook.py,222,NOQA,not
tqdm/tqdm/notebook.py,225,NB: don't `finally: close()`,not
tqdm/tqdm/notebook.py,226,since this could be a shared bar which the user will `reset()`,not
tqdm/tqdm/notebook.py,231,NB: except ... [ as ...] breaks IPython async KeyboardInterrupt,not
tqdm/tqdm/notebook.py,232,NOQA,not
tqdm/tqdm/notebook.py,233,cannot catch KeyboardInterrupt when using manual tqdm,not
tqdm/tqdm/notebook.py,234,as the interrupt will most likely happen on another statement,not
tqdm/tqdm/notebook.py,237,NB: don't `finally: close()`,not
tqdm/tqdm/notebook.py,238,since this could be a shared bar which the user will `reset()`,not
tqdm/tqdm/notebook.py,242,Try to detect if there was an error or KeyboardInterrupt,not
tqdm/tqdm/notebook.py,243,"in manual mode: if n < total, things probably got wrong",not
tqdm/tqdm/notebook.py,253,void -> avoid extraneous `\n` in IPython output cell,not
tqdm/tqdm/notebook.py,280,Aliases,not
tqdm/tqdm/_utils.py,1,NOQA,not
tqdm/tqdm/utils.py,17,Py2/3 compat. Empty conditional to avoid coverage,not
tqdm/tqdm/utils.py,18,pragma: no cover,not
tqdm/tqdm/utils.py,57,"py>=2.7,>=3.1",not
tqdm/tqdm/utils.py,60,older Python versions with backported ordereddict lib,not
tqdm/tqdm/utils.py,62,older Python versions without ordereddict lib,not
tqdm/tqdm/utils.py,63,"Py2.6,3.0 compat, from PEP 372",not
tqdm/tqdm/utils.py,67,Methods with direct access to underlying attributes,not
tqdm/tqdm/utils.py,108,Methods with indirect access via the above methods,not
tqdm/tqdm/utils.py,178,py2,not
tqdm/tqdm/utils.py,197,pylint: disable=too-few-public-methods,not
tqdm/tqdm/utils.py,241,pragma: no cover,not
tqdm/tqdm/utils.py,243,pragma: no cover,not
tqdm/tqdm/utils.py,268,pragma: no cover,not
tqdm/tqdm/utils.py,283,pragma: no cover,not
tqdm/tqdm/utils.py,289,assume stderr,not
tqdm/tqdm/utils.py,301,+1,not
tqdm/tqdm/utils.py,307,pragma: no cover,not
tqdm/tqdm/utils.py,318,pragma: no cover,not
tqdm/tqdm/utils.py,337,pragma: no cover,not
tqdm/tqdm/utils.py,355,pragma: no cover,not
tqdm/tqdm/utils.py,360,TODO consider using wcswidth third-party package for 0-width characters,SATD
tqdm/tqdm/utils.py,386,carefully delete one char at a time,not
tqdm/tqdm/utils.py,389,assume ANSI reset is required,not
tqdm/tqdm/cli.py,2,NOQA,not
tqdm/tqdm/cli.py,20,sys.stderr.write('\ndebug | `val:type`: `' + val + ':' + typ + '`.\n'),not
tqdm/tqdm/cli.py,38,pragma: no cover,not
tqdm/tqdm/cli.py,49,tmp = '',not
tqdm/tqdm/cli.py,54,flush at EOF,not
tqdm/tqdm/cli.py,56,pragma: no cover,not
tqdm/tqdm/cli.py,61,return,not
tqdm/tqdm/cli.py,64,n = 0,not
tqdm/tqdm/cli.py,68,flush at EOF,not
tqdm/tqdm/cli.py,72,n += 1 + buf.count(delim),not
tqdm/tqdm/cli.py,73,pragma: no cover,not
tqdm/tqdm/cli.py,74,n,not
tqdm/tqdm/cli.py,84,n += 1,not
tqdm/tqdm/cli.py,89,"((opt, type), ... )",not
tqdm/tqdm/cli.py,91,better split method assuming no positional args,SATD
tqdm/tqdm/cli.py,94,TODO: add custom support for some of the following?,SATD
tqdm/tqdm/cli.py,97,The 8 leading spaces are required for consistency,not
tqdm/tqdm/cli.py,140,argv.pop(log),not
tqdm/tqdm/cli.py,141,logLevel = argv.pop(log),not
tqdm/tqdm/cli.py,151,opt_types['delim'] = 'chr',not
tqdm/tqdm/cli.py,158,"d = RE_OPTS.sub(r'  --\1=<\1>  : \2', d)",not
tqdm/tqdm/cli.py,173,"opts = docopt(d, version=__version__)",not
tqdm/tqdm/gui.py,10,future division is important to divide integers and get as,not
tqdm/tqdm/gui.py,11,a result precise floating numbers (instead of truncated int),not
tqdm/tqdm/gui.py,13,import compatibility functions and utilities,not
tqdm/tqdm/gui.py,15,to inherit from the tqdm class,not
tqdm/tqdm/gui.py,25,pragma: no cover,not
tqdm/tqdm/gui.py,30,TODO: @classmethod: write() on GUI?,SATD
tqdm/tqdm/gui.py,40,Initialize the GUI display,not
tqdm/tqdm/gui.py,49,Remember if external environment uses toolbars,not
tqdm/tqdm/gui.py,55,self.fig.subplots_adjust(bottom=0.2),not
tqdm/tqdm/gui.py,73,progressbar,not
tqdm/tqdm/gui.py,77,"ax.set_xlim(-60, 0)",not
tqdm/tqdm/gui.py,83,ax.set_xlabel('seconds'),not
tqdm/tqdm/gui.py,90,Remember if external environment is interactive,not
tqdm/tqdm/gui.py,96,TODO: somehow allow the following:,SATD
tqdm/tqdm/gui.py,97,if not self.gui:,not
tqdm/tqdm/gui.py,98,"return super(tqdm_gui, self).__iter__()",not
tqdm/tqdm/gui.py,105,ncols = self.ncols,not
tqdm/tqdm/gui.py,113,dynamic_ncols = self.dynamic_ncols,not
tqdm/tqdm/gui.py,120,Update and possibly print the progressbar.,not
tqdm/tqdm/gui.py,121,Note: does not call self.update(1) for speed optimisation.,not
tqdm/tqdm/gui.py,123,check counter first to avoid calls to time(),not
tqdm/tqdm/gui.py,125,watch monitoring thread changes,not
tqdm/tqdm/gui.py,130,EMA (not just overall average),not
tqdm/tqdm/gui.py,139,"If no `miniters` was specified, adjust automatically",not
tqdm/tqdm/gui.py,140,to the max iteration rate seen so far between 2 prints,not
tqdm/tqdm/gui.py,143,Adjust miniters to time interval by rule of 3,not
tqdm/tqdm/gui.py,145,Set miniters to correspond to mininterval,not
tqdm/tqdm/gui.py,148,Set miniters to correspond to maxinterval,not
tqdm/tqdm/gui.py,151,EMA-weight miniters to converge,not
tqdm/tqdm/gui.py,152,towards the timeframe of mininterval,not
tqdm/tqdm/gui.py,158,Maximum nb of iterations between 2 prints,not
tqdm/tqdm/gui.py,161,Store old values for next call,not
tqdm/tqdm/gui.py,166,Closing the progress bar.,not
tqdm/tqdm/gui.py,167,Update some internal variables for close().,not
tqdm/tqdm/gui.py,174,if not self.gui:,not
tqdm/tqdm/gui.py,175,"return super(tqdm_gui, self).close()",not
tqdm/tqdm/gui.py,180,for auto-refresh logic to work,not
tqdm/tqdm/gui.py,183,check counter first to reduce calls to time(),not
tqdm/tqdm/gui.py,188,>= n,not
tqdm/tqdm/gui.py,189,elapsed = cur_t - self.start_t,not
tqdm/tqdm/gui.py,190,EMA (not just overall average),not
tqdm/tqdm/gui.py,198,"If no `miniters` was specified, adjust automatically to the",not
tqdm/tqdm/gui.py,199,maximum iteration rate seen so far between two prints.,not
tqdm/tqdm/gui.py,200,"e.g.: After running `tqdm.update(5)`, subsequent",not
tqdm/tqdm/gui.py,201,calls to `tqdm.update()` will only cause an update after,not
tqdm/tqdm/gui.py,202,at least 5 more iterations.,not
tqdm/tqdm/gui.py,220,Store old values for next call,not
tqdm/tqdm/gui.py,225,if not self.gui:,not
tqdm/tqdm/gui.py,226,"return super(tqdm_gui, self).close()",not
tqdm/tqdm/gui.py,235,Restore toolbars,not
tqdm/tqdm/gui.py,237,Return to non-interactive mode,not
tqdm/tqdm/gui.py,250,Inline due to multiple calls,not
tqdm/tqdm/gui.py,258,instantaneous rate,not
tqdm/tqdm/gui.py,260,overall rate,not
tqdm/tqdm/gui.py,262,update line data,not
tqdm/tqdm/gui.py,267,Discard old values,not
tqdm/tqdm/gui.py,268,"xmin, xmax = ax.get_xlim()",not
tqdm/tqdm/gui.py,269,if (not total) and elapsed > xmin * 1.1:,not
tqdm/tqdm/gui.py,319,Aliases,not
tqdm/tqdm/_tqdm_gui.py,1,NOQA,not
tqdm/tqdm/_tqdm_gui.py,2,NOQA,not
tqdm/tqdm/std.py,11,compatibility functions and utilities,not
tqdm/tqdm/std.py,17,native libraries,not
tqdm/tqdm/std.py,22,For parallelism safety,not
tqdm/tqdm/std.py,61,not suppressed if raised,not
tqdm/tqdm/std.py,80,Create global parallelism locks to avoid racing issues with parallel,not
tqdm/tqdm/std.py,81,"bars works only if fork available (Linux/MacOSX, but not Windows)",not
tqdm/tqdm/std.py,92,Release in inverse order of acquisition,not
tqdm/tqdm/std.py,106,multiprocessing lock,not
tqdm/tqdm/std.py,107,pragma: no cover,not
tqdm/tqdm/std.py,109,pragma: no cover,not
tqdm/tqdm/std.py,116,thread lock,not
tqdm/tqdm/std.py,117,pragma: no cover,not
tqdm/tqdm/std.py,121,Create a thread lock before instantiation so that no setup needs to be done,not
tqdm/tqdm/std.py,122,before running in a multithreaded environment.,not
tqdm/tqdm/std.py,123,Do not create the multiprocessing lock because it sets the multiprocessing,not
tqdm/tqdm/std.py,124,context and does not allow the user to use 'spawn' or 'forkserver' methods.,not
tqdm/tqdm/std.py,180,whitespace padding,not
tqdm/tqdm/std.py,194,set to 0 to disable the thread,not
tqdm/tqdm/std.py,295,pragma: no cover,not
tqdm/tqdm/std.py,375,sanity check: total,not
tqdm/tqdm/std.py,376,allow float imprecision (#849),not
tqdm/tqdm/std.py,379,apply custom scale if necessary,not
tqdm/tqdm/std.py,385,by default rate = 1 / self.avg_time,not
tqdm/tqdm/std.py,390,"if unspecified, attempt to use rate = average speed",not
tqdm/tqdm/std.py,391,(we allow manual override since predicting time is an arcane art),not
tqdm/tqdm/std.py,420,format the stats displayed to the left and right sides of the bar,not
tqdm/tqdm/std.py,422,old prefix setup work around,not
tqdm/tqdm/std.py,431,Custom bar formatting,not
tqdm/tqdm/std.py,432,Populate a dict with all available progress indicators,not
tqdm/tqdm/std.py,434,slight extension of self.format_dict,not
tqdm/tqdm/std.py,443,plus more useful definitions,not
tqdm/tqdm/std.py,448,total is known: we can predict some stats,not
tqdm/tqdm/std.py,450,fractional and percentage progress,not
tqdm/tqdm/std.py,463,auto-remove colon for empty `desc`,not
tqdm/tqdm/std.py,476,"no {bar}, we can just format and return",not
tqdm/tqdm/std.py,479,Formatting progress bar space available for bar's display,not
tqdm/tqdm/std.py,491,user-specified bar_format but no total,not
tqdm/tqdm/std.py,506,"no total: no progressbar, ETA, just progress stats",not
tqdm/tqdm/std.py,512,Create a new instance,not
tqdm/tqdm/std.py,514,Construct the lock if it does not exist,not
tqdm/tqdm/std.py,516,Add to the list of instances,not
tqdm/tqdm/std.py,520,Create the monitoring thread,not
tqdm/tqdm/std.py,525,pragma: nocover,not
tqdm/tqdm/std.py,530,Return the instance,not
tqdm/tqdm/std.py,554,if not instance.gui:  # pragma: no cover,not
tqdm/tqdm/std.py,555,raise,not
tqdm/tqdm/std.py,556,py2: maybe magically removed already,not
tqdm/tqdm/std.py,557,else:,not
tqdm/tqdm/std.py,560,find unfixed (`pos >= 0`) overflow (`pos >= nrows - 1`),not
tqdm/tqdm/std.py,564,set first found to current `pos`,not
tqdm/tqdm/std.py,569,Kill monitor if no instances are left,not
tqdm/tqdm/std.py,574,pragma: nocover,not
tqdm/tqdm/std.py,584,Write the message,not
tqdm/tqdm/std.py,600,Clear all bars,not
tqdm/tqdm/std.py,603,Clear instance if in the target output file,not
tqdm/tqdm/std.py,604,or if write output + tqdm output are both either,not
tqdm/tqdm/std.py,605,sys.stdout or sys.stderr (because both are mixed in terminal),not
tqdm/tqdm/std.py,611,Force refresh display of bars we cleared,not
tqdm/tqdm/std.py,669,TODO: pandas>0.25.2,SATD
tqdm/tqdm/std.py,671,pandas>=1.0.0,not
tqdm/tqdm/std.py,674,pandas>=0.18.0,not
tqdm/tqdm/std.py,676,pragma: no cover,not
tqdm/tqdm/std.py,678,pandas>=0.25.0,not
tqdm/tqdm/std.py,680,", NDFrameGroupBy",not
tqdm/tqdm/std.py,682,pandas>=0.23.0,not
tqdm/tqdm/std.py,688,pandas>=0.23.0,not
tqdm/tqdm/std.py,693,pandas>=0.23.0,not
tqdm/tqdm/std.py,698,pandas>=0.25.0,not
tqdm/tqdm/std.py,716,Precompute total iterations,not
tqdm/tqdm/std.py,718,not grouped,not
tqdm/tqdm/std.py,725,DataFrame or Panel,not
tqdm/tqdm/std.py,731,"when axis=0, total is shape[axis1]",not
tqdm/tqdm/std.py,734,Init bar,not
tqdm/tqdm/std.py,742,"*args intentionally not supported (see #244, #299)",not
tqdm/tqdm/std.py,755,Define bar updating wrapper,not
tqdm/tqdm/std.py,757,update tbar correctly,not
tqdm/tqdm/std.py,758,it seems `pandas apply` calls `func` twice,not
tqdm/tqdm/std.py,759,on the first column/row to decide whether it can,not
tqdm/tqdm/std.py,760,take a fast or slow code path; so stop when t.total==t.n,not
tqdm/tqdm/std.py,764,Apply the provided function (in **kwargs),not
tqdm/tqdm/std.py,765,on the df using our wrapper (which provides bar updating),not
tqdm/tqdm/std.py,773,Monkeypatch pandas to provide easy methods,not
tqdm/tqdm/std.py,774,Enable custom tqdm progress in pandas!,not
tqdm/tqdm/std.py,793,pragma: no cover,not
tqdm/tqdm/std.py,924,"Despite coercing unicode into bytes, py2 sys.std* streams",not
tqdm/tqdm/std.py,925,should have bytes written to them.,not
tqdm/tqdm/std.py,938,"Infinite iterations, behave same as unknown",not
tqdm/tqdm/std.py,965,Preprocess the arguments,not
tqdm/tqdm/std.py,968,pragma: no cover,not
