file path,line #,comment,satd
transformers/setup.py,50,Remove stale transformers.egg-info directory to avoid https://github.com/pypa/pip/issues/5466,not
transformers/setup.py,102,dataclasses for Python versions that don't have it,not
transformers/setup.py,104,filesystem locks e.g. to prevent parallel downloads,not
transformers/setup.py,106,for downloading models over HTTPS,not
transformers/setup.py,108,progress bars in model download and training scripts,not
transformers/setup.py,110,for OpenAI GPT,not
transformers/setup.py,112,for XLNet,not
transformers/setup.py,114,for XLM,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,1,coding=utf-8,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,2,Copyright 2018 XXX Authors.,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,3,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,4,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
transformers/templates/adding_a_new_model/tokenization_xxx.py,5,you may not use this file except in compliance with the License.,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,6,You may obtain a copy of the License at,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,7,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,8,http://www.apache.org/licenses/LICENSE-2.0,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,9,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,10,"Unless required by applicable law or agreed to in writing, software",not
transformers/templates/adding_a_new_model/tokenization_xxx.py,11,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
transformers/templates/adding_a_new_model/tokenization_xxx.py,12,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
transformers/templates/adding_a_new_model/tokenization_xxx.py,13,See the License for the specific language governing permissions and,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,14,limitations under the License.,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,27,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,28,"In this template, replace all the XXX (various casings) with your model name",SATD
transformers/templates/adding_a_new_model/tokenization_xxx.py,29,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,31,,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,32,Mapping from the keyword arguments names of Tokenizer `__init__`,not
transformers/templates/adding_a_new_model/tokenization_xxx.py,33,to file names for serializing Tokenizer instances,not
