file path,line #,comment,satd
wechat_jump_game/wechat_jump_auto_slim.py,1,!/usr/bin/env python3,not
wechat_jump_game/wechat_jump_auto_slim.py,2,-*- coding: utf-8 -*-,not
wechat_jump_game/wechat_jump_auto_slim.py,19,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,24,检查获取截图的方式,not
wechat_jump_game/wechat_jump_auto_slim.py,31,直接使用内存IO,not
wechat_jump_game/wechat_jump_auto_slim.py,38,获取截图,not
wechat_jump_game/wechat_jump_auto_slim.py,53,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,56,寻找起点和终点坐标,not
wechat_jump_game/wechat_jump_auto_slim.py,57,图片宽高,not
wechat_jump_game/wechat_jump_auto_slim.py,60,棋子取色精确范围,not
wechat_jump_game/wechat_jump_auto_slim.py,65,寻找棋子 ◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,67,粗查棋子位置,not
wechat_jump_game/wechat_jump_auto_slim.py,69,间隔单位,not
wechat_jump_game/wechat_jump_auto_slim.py,70,寻找下限 从画面中央的正方形的下缘开始,not
wechat_jump_game/wechat_jump_auto_slim.py,81,没找到棋子,not
wechat_jump_game/wechat_jump_auto_slim.py,83,精查棋子位置,not
wechat_jump_game/wechat_jump_auto_slim.py,84,棋子x/棋子坐标集合,not
wechat_jump_game/wechat_jump_auto_slim.py,85,估算棋子宽度,not
wechat_jump_game/wechat_jump_auto_slim.py,86,估算棋子高度,not
wechat_jump_game/wechat_jump_auto_slim.py,91,"print(nx,ny,pixel)",not
wechat_jump_game/wechat_jump_auto_slim.py,99,寻找落点 ◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,101,限制棋盘扫描的横坐标 避免音符bug,SATD
wechat_jump_game/wechat_jump_auto_slim.py,103,起点和终点的中点是画面中心,not
wechat_jump_game/wechat_jump_auto_slim.py,107,寻找落点顶点,not
wechat_jump_game/wechat_jump_auto_slim.py,108,目标坐标集合/改为list避免去重,not
wechat_jump_game/wechat_jump_auto_slim.py,113,修掉脑袋比下一个小格子还高的情况 屏蔽小人左右的范围,not
wechat_jump_game/wechat_jump_auto_slim.py,117,修掉圆顶的时候一条线导致的小bug 这个颜色判断应该OK,SATD
wechat_jump_game/wechat_jump_auto_slim.py,126,找到了退出,not
wechat_jump_game/wechat_jump_auto_slim.py,130,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,133,重设点击位置 再来一局位置,not
wechat_jump_game/wechat_jump_auto_slim.py,135,长窄屏 2px容差 获取ui描绘的高度,not
wechat_jump_game/wechat_jump_auto_slim.py,139,uiw = int(uih / 16 * 9),not
wechat_jump_game/wechat_jump_auto_slim.py,141,如果游戏结束 点击再来一局,not
wechat_jump_game/wechat_jump_auto_slim.py,142,按钮半宽约uiw//5,not
wechat_jump_game/wechat_jump_auto_slim.py,143,根据9:16实测按钮高度中心0.825 按钮半高约uiw//28,not
wechat_jump_game/wechat_jump_auto_slim.py,148,游戏中点击 随机位置防 ban,not
wechat_jump_game/wechat_jump_auto_slim.py,149,避开左下角按钮,not
wechat_jump_game/wechat_jump_auto_slim.py,153,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,157,起点到目标的水平距离,not
wechat_jump_game/wechat_jump_auto_slim.py,158,屏幕宽度,not
wechat_jump_game/wechat_jump_auto_slim.py,159,跳跃百分比,not
wechat_jump_game/wechat_jump_auto_slim.py,160,跳过整个宽度 需要按压的毫秒数,not
wechat_jump_game/wechat_jump_auto_slim.py,161,按压时长,not
wechat_jump_game/wechat_jump_auto_slim.py,163,press_time大于0时限定最小值,not
wechat_jump_game/wechat_jump_auto_slim.py,170,模拟位移,not
wechat_jump_game/wechat_jump_auto_slim.py,176,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto_slim.py,180,检查截图,not
wechat_jump_game/wechat_jump_auto_slim.py,187,获取截图,not
wechat_jump_game/wechat_jump_auto_slim.py,192,添加图片方向判断,not
wechat_jump_game/wechat_jump_auto_slim.py,193,"print('image | w:%s | h:%s'%(w,h))",not
wechat_jump_game/wechat_jump_auto_slim.py,195,获取棋子和 board 的位置,not
wechat_jump_game/wechat_jump_auto_slim.py,199,随机点击位置,not
wechat_jump_game/wechat_jump_auto_slim.py,201,标注截图并显示,not
wechat_jump_game/wechat_jump_auto_slim.py,202,draw = ImageDraw.Draw(im),not
wechat_jump_game/wechat_jump_auto_slim.py,203,"draw.line([piece_x, 0, piece_x, h], fill='blue', width=1)  # start",not
wechat_jump_game/wechat_jump_auto_slim.py,204,"draw.line([board_x, 0, board_x, h], fill='red', width=1)  # end",not
wechat_jump_game/wechat_jump_auto_slim.py,205,"draw.ellipse([swipe_x1 - 16, swipe_y1 - 16,",not
wechat_jump_game/wechat_jump_auto_slim.py,206,"swipe_x1 + 16, swipe_y1 + 16], fill='red')  # click",not
wechat_jump_game/wechat_jump_auto_slim.py,207,im.show(),not
wechat_jump_game/wechat_jump_auto_slim.py,211,停1~9秒 指数越高平均间隔越短,not
wechat_jump_game/wechat_jump_auto_slim.py,216,◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆◆,not
wechat_jump_game/wechat_jump_auto.py,1,-*- coding: utf-8 -*-,not
wechat_jump_game/wechat_jump_auto.py,41,DEBUG 开关，需要调试的时候请改为 True，不需要调试的时候为 False,not
wechat_jump_game/wechat_jump_auto.py,44,Magic Number，不设置可能无法正常执行，请根据具体截图从上到下按需,not
wechat_jump_game/wechat_jump_auto.py,45,设置，设置保存在 config 文件夹中,not
wechat_jump_game/wechat_jump_auto.py,48,长按的时间系数，请自己根据实际情况调节,not
wechat_jump_game/wechat_jump_auto.py,50,二分之一的棋子底座高度，可能要调节,not
wechat_jump_game/wechat_jump_auto.py,52,棋子的宽度，比截图中量到的稍微大一点比较安全，可能要调节,not
wechat_jump_game/wechat_jump_auto.py,54,图形中圆球的直径，可以利用系统自带画图工具，用直线测量像素，如果可以实现自动识别圆球直径，那么此处将可实现全自动。,not
wechat_jump_game/wechat_jump_auto.py,72,随机防 ban,not
wechat_jump_game/wechat_jump_auto.py,82,计算程序长度与截图测得的距离的比例,not
wechat_jump_game/wechat_jump_auto.py,88,设置 200ms 是最小的按压时间,not
wechat_jump_game/wechat_jump_auto.py,108,所有满足色素的点集合,not
wechat_jump_game/wechat_jump_auto.py,112,扫描棋子时的左右边界,not
wechat_jump_game/wechat_jump_auto.py,113,扫描的起始 y 坐标,not
wechat_jump_game/wechat_jump_auto.py,115,以 50px 步长，尝试探测 scan_start_y,not
wechat_jump_game/wechat_jump_auto.py,120,不是纯色的线，则记录 scan_start_y 的值，准备跳出循环,not
wechat_jump_game/wechat_jump_auto.py,128,从 scan_start_y 开始往下扫描，棋子应位于屏幕上半部分，这里暂定不超过 2/3,not
wechat_jump_game/wechat_jump_auto.py,130,横坐标方面也减少了一部分扫描开销,not
wechat_jump_game/wechat_jump_auto.py,133,根据棋子的最低行的颜色判断，找最后一行那些点的平均值，这个颜,not
wechat_jump_game/wechat_jump_auto.py,134,色这样应该 OK，暂时不提出来,not
wechat_jump_game/wechat_jump_auto.py,141,所有最底层的点的横坐标,not
wechat_jump_game/wechat_jump_auto.py,145,中间值,not
wechat_jump_game/wechat_jump_auto.py,146,上移棋子底盘高度的一半,not
wechat_jump_game/wechat_jump_auto.py,148,限制棋盘扫描的横坐标，避免音符 bug,SATD
wechat_jump_game/wechat_jump_auto.py,165,修掉脑袋比下一个小格子还高的情况的 bug,SATD
wechat_jump_game/wechat_jump_auto.py,169,检查Y轴下面5个像素， 和背景色相同， 那么是干扰,not
wechat_jump_game/wechat_jump_auto.py,183,首先找到游戏的对称中心，由对称中心做辅助线与x=board_x直线的交点即为棋盘的中心位置,not
wechat_jump_game/wechat_jump_auto.py,184,有了对称中心，可以知道棋子在棋盘上面的相对位置（偏高或偏低，偏高的话测量值比实际值大，,not
wechat_jump_game/wechat_jump_auto.py,185,偏低相反。最后通过delta_piece_y来对跳跃时间进行微调,not
wechat_jump_game/wechat_jump_auto.py,229,获取棋子和 board 的位置,not
wechat_jump_game/wechat_jump_auto.py,250,为了保证截图的时候应落稳了，多延迟一会儿，随机值防 ban,not
wechat_jump_game/wechat_jump_auto_curves.py,1,-*- coding: utf-8 -*-,not
wechat_jump_game/wechat_jump_auto_curves.py,45,DEBUG 开关，需要调试的时候请改为 True，不需要调试的时候为 False,not
wechat_jump_game/wechat_jump_auto_curves.py,49,Magic Number，不设置可能无法正常执行，请根据具体截图从上到下按需,not
wechat_jump_game/wechat_jump_auto_curves.py,50,设置，设置保存在 config 文件夹中,not
wechat_jump_game/wechat_jump_auto_curves.py,53,长按的时间系数，请自己根据实际情况调节,not
wechat_jump_game/wechat_jump_auto_curves.py,55,二分之一的棋子底座高度，可能要调节,not
wechat_jump_game/wechat_jump_auto_curves.py,57,棋子的宽度，比截图中量到的稍微大一点比较安全，可能要调节,not
wechat_jump_game/wechat_jump_auto_curves.py,60,目标分数,not
wechat_jump_game/wechat_jump_auto_curves.py,61,达到目标次数所需游戏次数,not
wechat_jump_game/wechat_jump_auto_curves.py,62,设置第一次分数(目前分数),not
wechat_jump_game/wechat_jump_auto_curves.py,75,随机防 ban,not
wechat_jump_game/wechat_jump_auto_curves.py,87,设置 200ms 是最小的按压时间,not
wechat_jump_game/wechat_jump_auto_curves.py,113,扫描棋子时的左右边界,not
wechat_jump_game/wechat_jump_auto_curves.py,114,扫描的起始 y 坐标,not
wechat_jump_game/wechat_jump_auto_curves.py,116,以 50px 步长，尝试探测 scan_start_y,not
wechat_jump_game/wechat_jump_auto_curves.py,121,不是纯色的线，则记录 scan_start_y 的值，准备跳出循环,not
wechat_jump_game/wechat_jump_auto_curves.py,129,从 scan_start_y 开始往下扫描，棋子应位于屏幕上半部分，这里暂定不超过 2/3,not
wechat_jump_game/wechat_jump_auto_curves.py,131,横坐标方面也减少了一部分扫描开销,not
wechat_jump_game/wechat_jump_auto_curves.py,134,根据棋子的最低行的颜色判断，找最后一行那些点的平均值，这个颜,not
wechat_jump_game/wechat_jump_auto_curves.py,135,色这样应该 OK，暂时不提出来,not
wechat_jump_game/wechat_jump_auto_curves.py,146,上移棋子底盘高度的一半,not
